unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,facility_type
58974915,2023-09-30T23:59:58.000,2023-10-01T00:16:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,260 PARKSIDE AVENUE,PARKSIDE AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,PARKSIDE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-10-01T00:16:51.000,09 BROOKLYN,3050550014,BROOKLYN,995577,178158,MOBILE,Unspecified,BROOKLYN,40.655672001198894,-73.95917686020623,"{'latitude': '40.655672001198894', 'longitude': '-73.95917686020623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58972386,2023-09-30T23:59:38.000,2023-10-01T00:14:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11361,200-18 34 AVENUE,34 AVENUE,200 STREET,201 STREET,200 STREET,201 STREET,ADDRESS,BAYSIDE,34 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T00:14:37.000,11 QUEENS,4060790009,QUEENS,1043108,218698,ONLINE,Unspecified,QUEENS,40.76675595839554,-73.78751847563191,"{'latitude': '40.76675595839554', 'longitude': '-73.78751847563191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58973465,2023-09-30T23:59:35.000,2023-10-01T00:27:47.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,61 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,ADDRESS,NEW YORK,CLINTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:27:53.000,03 MANHATTAN,1003490026,MANHATTAN,988445,201410,ONLINE,Unspecified,MANHATTAN,40.71949965458691,-73.98486650733275,"{'latitude': '40.71949965458691', 'longitude': '-73.98486650733275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58974769,2023-09-30T23:59:34.000,2023-10-01T01:44:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,111-42 147 STREET,147 STREET,111 AVENUE,LINDEN BOULEVARD,111 AVENUE,LINDEN BOULEVARD,ADDRESS,JAMAICA,147 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T01:44:49.000,12 QUEENS,4119630029,QUEENS,1040468,189816,ONLINE,Unspecified,QUEENS,40.687499303408536,-73.7972903094197,"{'latitude': '40.687499303408536', 'longitude': '-73.7972903094197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58968700,2023-09-30T23:59:28.000,2023-10-01T00:08:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,30 LINDEN BOULEVARD,LINDEN BOULEVARD,FLATBUSH AVENUE,CATON AVENUE,FLATBUSH AVENUE,CATON AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T00:08:41.000,14 BROOKLYN,3050860022,BROOKLYN,995919,176894,ONLINE,Unspecified,BROOKLYN,40.65220215349917,-73.9579464603267,"{'latitude': '40.65220215349917', 'longitude': '-73.9579464603267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58970117,2023-09-30T23:59:23.000,2023-10-01T00:51:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,116 STREET,116 STREET,116 STREET,LIBERTY AVENUE,116 STREET,LIBERTY AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:51:33.000,10 QUEENS,,QUEENS,1032272,189193,ONLINE,Unspecified,QUEENS,40.685837578189094,-73.8268476319625,"{'latitude': '40.685837578189094', 'longitude': '-73.8268476319625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58976534,2023-09-30T23:59:22.000,2023-10-01T03:03:12.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10465,3607 EAST TREMONT AVENUE,EAST TREMONT AVENUE,SULLIVAN PLACE,SCOTT PLACE,SULLIVAN PLACE,SCOTT PLACE,ADDRESS,BRONX,EAST TREMONT AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-10-01T03:03:21.000,10 BRONX,2054270050,BRONX,1032830,241283,PHONE,Unspecified,BRONX,40.82880796495104,-73.8244592806428,"{'latitude': '40.82880796495104', 'longitude': '-73.8244592806428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58969293,2023-09-30T23:59:06.000,2023-10-01T04:13:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,1517 BUSHWICK AVENUE,BUSHWICK AVENUE,FURMAN AVENUE,ABERDEEN STREET,FURMAN AVENUE,ABERDEEN STREET,ADDRESS,BROOKLYN,BUSHWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T04:13:52.000,04 BROOKLYN,3034670005,BROOKLYN,1010288,188004,MOBILE,Unspecified,BROOKLYN,40.682666020307025,-73.90611959395328,"{'latitude': '40.682666020307025', 'longitude': '-73.90611959395328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58969166,2023-09-30T23:59:03.000,2023-10-01T03:12:05.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,107-12 37 AVENUE,37 AVENUE,107 STREET,108 STREET,107 STREET,108 STREET,ADDRESS,CORONA,37 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T03:12:13.000,03 QUEENS,4017730005,QUEENS,1022736,213983,MOBILE,Unspecified,QUEENS,40.753926669283615,-73.86108966650822,"{'latitude': '40.753926669283615', 'longitude': '-73.86108966650822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58970166,2023-09-30T23:59:02.000,2023-10-01T00:18:12.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11375,99-06 67 ROAD,67 ROAD,AUSTIN STREET,BOOTH STREET,AUSTIN STREET,BOOTH STREET,ADDRESS,FOREST HILLS,67 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T00:18:17.000,06 QUEENS,4031690002,QUEENS,1024626,203097,ONLINE,Unspecified,QUEENS,40.72403891265318,-73.85433330218596,"{'latitude': '40.72403891265318', 'longitude': '-73.85433330218596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58970782,2023-09-30T23:59:00.000,2023-10-01T08:55:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10038,7 PLATT STREET,PLATT STREET,GOLD ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-01T08:55:00.000,01 MANHATTAN,1000690053,MANHATTAN,982440,197089,PHONE,Unspecified,MANHATTAN,40.707640349769996,-74.00652842632724,"{'latitude': '40.707640349769996', 'longitude': '-74.00652842632724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58974024,2023-09-30T23:58:56.000,2023-10-01T00:47:56.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10305,192 GRAHAM BOULEVARD,GRAHAM BOULEVARD,FREEBORN STREET,GRIMSBY STREET,FREEBORN STREET,GRIMSBY STREET,ADDRESS,STATEN ISLAND,GRAHAM BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:47:35.000,02 STATEN ISLAND,5037650025,STATEN ISLAND,959219,149782,ONLINE,Unspecified,STATEN ISLAND,40.5777576751329,-74.09010789501798,"{'latitude': '40.5777576751329', 'longitude': '-74.09010789501798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58968636,2023-09-30T23:58:45.000,2023-10-01T00:23:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,EAST   87 STREET,EAST   87 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:23:37.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,
59441523,2023-09-30T23:58:43.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59460079,2023-09-30T23:58:43.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59460604,2023-09-30T23:58:42.000,,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58971256,2023-09-30T23:58:42.000,2023-10-01T01:50:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,93 LINDEN STREET,LINDEN STREET,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,LINDEN STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-10-01T01:50:42.000,04 BROOKLYN,3033230001,BROOKLYN,1006424,191678,ONLINE,Unspecified,BROOKLYN,40.69276082638579,-73.92003920460266,"{'latitude': '40.69276082638579', 'longitude': '-73.92003920460266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59450088,2023-09-30T23:58:42.000,,HPD,Department of Housing Preservation and Development,Door/Window,Door,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59453342,2023-09-30T23:58:41.000,2023-10-01T08:55:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,10038,7 PLATT STREET,PLATT STREET,GOLD STREET,PEARL STREET,GOLD STREET,PEARL STREET,ADDRESS,NEW YORK,PLATT STREET,Closed,,2023-10-01T08:55:00.000,01 MANHATTAN,1000690053,MANHATTAN,982440,197089,PHONE,Unspecified,MANHATTAN,40.707640349769996,-74.00652842632724,"{'latitude': '40.707640349769996', 'longitude': '-74.00652842632724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59455616,2023-09-30T23:58:41.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59441668,2023-09-30T23:58:36.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,11233,1904 BERGEN STREET,BERGEN STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,,,16 BROOKLYN,3014520027,BROOKLYN,1006952,184973,PHONE,Unspecified,BROOKLYN,40.674355799552984,-73.91815779564554,"{'latitude': '40.674355799552984', 'longitude': '-73.91815779564554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58972827,2023-09-30T23:58:35.000,2023-10-01T06:43:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,44-15 JUDGE STREET,JUDGE STREET,WHITNEY AVENUE,43 AVENUE,WHITNEY AVENUE,43 AVENUE,ADDRESS,ELMHURST,JUDGE STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-10-01T06:43:19.000,04 QUEENS,4015710019,QUEENS,1018209,209982,ONLINE,Unspecified,QUEENS,40.7429634873875,-73.87744947924662,"{'latitude': '40.7429634873875', 'longitude': '-73.87744947924662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58973568,2023-09-30T23:58:33.000,2023-10-01T00:27:06.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,106 WASHINGTON PLACE,WASHINGTON PLACE,AVENUE OF THE AMERICAS,BARROW STREET,AVENUE OF THE AMERICAS,BARROW STREET,ADDRESS,NEW YORK,WASHINGTON PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:27:12.000,02 MANHATTAN,1005920016,MANHATTAN,983990,206152,PHONE,Unspecified,MANHATTAN,40.732516282516315,-74.00093813508674,"{'latitude': '40.732516282516315', 'longitude': '-74.00093813508674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58971707,2023-09-30T23:58:22.000,2023-10-01T09:50:24.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,1940 CLINTON AVENUE,CLINTON AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,FAIRMOUNT PLACE,EAST TREMONT AVENUE,ADDRESS,BRONX,CLINTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T09:50:27.000,06 BRONX,2029510041,BRONX,1014569,246973,ONLINE,Unspecified,BRONX,40.84450691785016,-73.89041842480547,"{'latitude': '40.84450691785016', 'longitude': '-73.89041842480547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58970902,2023-09-30T23:58:09.000,2023-10-01T00:43:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11249,103 BERRY STREET,BERRY STREET,NORTH    8 STREET,NORTH    7 STREET,NORTH    8 STREET,NORTH    7 STREET,ADDRESS,BROOKLYN,BERRY STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-10-01T00:43:08.000,01 BROOKLYN,3023190008,BROOKLYN,995755,201267,ONLINE,Unspecified,BROOKLYN,40.71910066757445,-73.95849587688183,"{'latitude': '40.71910066757445', 'longitude': '-73.95849587688183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58973486,2023-09-30T23:58:05.000,2023-10-01T00:22:46.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10023,143 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST   66 STREET,WEST   67 STREET,WEST   66 STREET,WEST   67 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-10-01T00:22:51.000,07 MANHATTAN,1011380001,MANHATTAN,988599,221613,PHONE,Unspecified,MANHATTAN,40.774951736555664,-73.9842978867971,"{'latitude': '40.774951736555664', 'longitude': '-73.9842978867971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59442928,2023-09-30T23:58:01.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Appliance,Refrigerator,Apartment,10452,935 SUMMIT AVENUE,SUMMIT AVENUE,WEST  161 STREET,WEST  162 STREET,WEST  161 STREET,WEST  162 STREET,ADDRESS,BRONX,SUMMIT AVENUE,Closed,,2023-10-16T00:00:00.000,04 BRONX,2025230067,BRONX,1003324,242289,PHONE,Unspecified,BRONX,40.831682151607964,-73.93107438401292,"{'latitude': '40.831682151607964', 'longitude': '-73.93107438401292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58969397,2023-09-30T23:57:51.000,2023-10-19T07:58:50.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10472,1243 HARROD AVENUE,HARROD AVENUE,BRONX RIVER PARKWAY EXIT    3 SB,EAST  172 STREET,BRONX RIVER PARKWAY EXIT    3 SB,EAST  172 STREET,ADDRESS,BRONX,HARROD AVENUE,Closed,The Department of Sanitation removed the items.,2023-10-03T10:52:10.000,09 BRONX,2037780045,BRONX,1019098,242136,ONLINE,Unspecified,BRONX,40.831214058011405,-73.8740744706314,"{'latitude': '40.831214058011405', 'longitude': '-73.8740744706314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58975879,2023-09-30T23:57:37.000,2023-10-01T00:19:39.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,711 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST   94 STREET,WEST   95 STREET,WEST   94 STREET,WEST   95 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-10-01T00:19:43.000,07 MANHATTAN,1012250001,MANHATTAN,992253,228201,PHONE,Unspecified,MANHATTAN,40.79303148882421,-73.97109723139283,"{'latitude': '40.79303148882421', 'longitude': '-73.97109723139283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58968737,2023-09-30T23:57:34.000,2023-10-01T00:26:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,1007 ATLANTIC AVENUE,ATLANTIC AVENUE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,ATLANTIC AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-10-01T00:26:28.000,02 BROOKLYN,3020197505,BROOKLYN,995586,187026,ONLINE,Unspecified,BROOKLYN,40.68001267124945,-73.95912951168442,"{'latitude': '40.68001267124945', 'longitude': '-73.95912951168442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58975186,2023-09-30T23:57:34.000,2023-10-12T20:14:16.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10034,618 ACADEMY STREET,ACADEMY STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,12 MANHATTAN,1022240022,MANHATTAN,1005218,254447,ONLINE,Unspecified,MANHATTAN,40.86504796739113,-73.92419222671695,"{'latitude': '40.86504796739113', 'longitude': '-73.92419222671695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
