unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,taxi_company_borough,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58977815,2023-09-30T07:19:39.000,2023-10-31T10:28:50.000,DOT,Department of Transportation,Outdoor Dining,Street Zone Blocked,Street,10014,247 WAVERLY PLACE,WAVERLY PLACE,WEST   11 STREET,BANK STREET,WEST   11 STREET,BANK STREET,ADDRESS,NEW YORK,WAVERLY PLACE,Closed,"The Department of Transportation's inspectors could not find the condition you reported. If you would like to pursue the complaint, please check the address and submit a new Service Request.",2023-10-31T10:28:54.000,02 MANHATTAN,1006140049,MANHATTAN,983683,207708,ONLINE,Unspecified,MANHATTAN,40.736787104804094,-74.00204598726484,"{'latitude': '40.736787104804094', 'longitude': '-74.00204598726484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975831,2023-09-30T07:19:30.000,2023-09-30T08:16:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11209,631 81 STREET,81 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,81 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T08:16:35.000,10 BROOKLYN,3059910045,BROOKLYN,978361,166294,ONLINE,Unspecified,BROOKLYN,40.623113146119444,-74.02121393051677,"{'latitude': '40.623113146119444', 'longitude': '-74.02121393051677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973309,2023-09-30T07:19:21.000,2023-09-30T11:04:27.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10465,370 BALCOM AVENUE,BALCOM AVENUE,MILES AVENUE,SAMPSON AVENUE,MILES AVENUE,SAMPSON AVENUE,ADDRESS,BRONX,BALCOM AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T11:04:15.000,10 BRONX,,BRONX,1033004,237309,MOBILE,Unspecified,BRONX,40.817899524703286,-73.82385941912376,"{'latitude': '40.817899524703286', 'longitude': '-73.82385941912376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59452164,2023-09-30T07:19:13.000,2023-10-18T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,10468,2350 CRESTON AVENUE,CRESTON AVENUE,FIELD PLACE,EAST  184 STREET,FIELD PLACE,EAST  184 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,,2023-10-18T00:00:00.000,05 BRONX,2031640037,BRONX,1011892,252324,ONLINE,Unspecified,BRONX,40.85920260109567,-73.90007180046051,"{'latitude': '40.85920260109567', 'longitude': '-73.90007180046051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59434932,2023-09-30T07:19:13.000,2023-10-18T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,10468,2350 CRESTON AVENUE,CRESTON AVENUE,FIELD PLACE,EAST  184 STREET,FIELD PLACE,EAST  184 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,,2023-10-18T00:00:00.000,05 BRONX,2031640037,BRONX,1011892,252324,ONLINE,Unspecified,BRONX,40.85920260109567,-73.90007180046051,"{'latitude': '40.85920260109567', 'longitude': '-73.90007180046051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59443197,2023-09-30T07:19:12.000,2023-10-18T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,10468,2350 CRESTON AVENUE,CRESTON AVENUE,FIELD PLACE,EAST  184 STREET,FIELD PLACE,EAST  184 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,,2023-10-18T00:00:00.000,05 BRONX,2031640037,BRONX,1011892,252324,ONLINE,Unspecified,BRONX,40.85920260109567,-73.90007180046051,"{'latitude': '40.85920260109567', 'longitude': '-73.90007180046051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59446089,2023-09-30T07:19:11.000,2023-10-18T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10468,2350 CRESTON AVENUE,CRESTON AVENUE,FIELD PLACE,EAST  184 STREET,FIELD PLACE,EAST  184 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,,2023-10-18T00:00:00.000,05 BRONX,2031640037,BRONX,1011892,252324,ONLINE,Unspecified,BRONX,40.85920260109567,-73.90007180046051,"{'latitude': '40.85920260109567', 'longitude': '-73.90007180046051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968333,2023-09-30T07:19:09.000,2023-09-30T09:34:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10466,4188 BARNES AVENUE,BARNES AVENUE,EAST  232 STREET,EAST  233 STREET,EAST  232 STREET,EAST  233 STREET,ADDRESS,BRONX,BARNES AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T09:34:59.000,12 BRONX,2048570082,BRONX,1024441,264366,ONLINE,Unspecified,BRONX,40.89220592066447,-73.85463391801748,"{'latitude': '40.89220592066447', 'longitude': '-73.85463391801748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58972782,2023-09-30T07:18:03.000,2023-10-01T00:20:35.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10027,436 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,10 MANHATTAN,1019580052,MANHATTAN,998346,236174,ONLINE,Unspecified,MANHATTAN,40.814907560607345,-73.94907567641553,"{'latitude': '40.814907560607345', 'longitude': '-73.94907567641553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58976497,2023-09-30T07:16:32.000,2023-10-02T13:47:48.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10466,4377 DEREIMER AVENUE,DEREIMER AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,ADDRESS,BRONX,DE REIMER AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-02T11:42:28.000,12 BRONX,2050570043,BRONX,1027141,266724,PHONE,Unspecified,BRONX,40.89866515876837,-73.84485325258584,"{'latitude': '40.89866515876837', 'longitude': '-73.84485325258584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58973669,2023-09-30T07:16:26.000,2023-09-30T07:34:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11232,4017 SEVENTH AVENUE,SEVENTH AVENUE,40 STREET,41 STREET,40 STREET,41 STREET,ADDRESS,BROOKLYN,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T07:34:09.000,07 BROOKLYN,3009190001,BROOKLYN,984187,175321,MOBILE,Unspecified,BROOKLYN,40.647892297993,-74.00022702903067,"{'latitude': '40.647892297993', 'longitude': '-74.00022702903067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
