unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,due_date
58879121,2023-09-20T19:54:58.000,2023-10-18T17:43:46.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10019,424 WEST   56 STREET,WEST   56 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-18T00:00:00.000,04 MANHATTAN,1010650044,MANHATTAN,987817,218941,ONLINE,Unspecified,MANHATTAN,40.76761814389863,-73.98712272471346,"{'latitude': '40.76761814389863', 'longitude': '-73.98712272471346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58880295,2023-09-20T19:54:54.000,2023-09-20T23:34:25.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10467,3242 WHITE PLAINS ROAD,WHITE PLAINS ROAD,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T23:34:35.000,12 BRONX,2045960019,BRONX,1021000,257085,ONLINE,Unspecified,BRONX,40.872236870165814,-73.86711953512611,"{'latitude': '40.872236870165814', 'longitude': '-73.86711953512611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BURKE AVENUE,ROSEWOOD STREET,BURKE AVENUE,ROSEWOOD STREET,WHITE PLAINS ROAD,,,,,,,
58880280,2023-09-20T19:54:47.000,2023-09-20T21:22:15.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,11201,62 COURT STREET,COURT STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T21:22:18.000,02 BROOKLYN,3002657501,BROOKLYN,986679,191401,MOBILE,Unspecified,BROOKLYN,40.692027970412305,-73.99124097544058,"{'latitude': '40.692027970412305', 'longitude': '-73.99124097544058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JORALEMON STREET,LIVINGSTON STREET,JORALEMON STREET,LIVINGSTON STREET,COURT STREET,,,,,,,
58871053,2023-09-20T19:54:42.000,2023-09-20T20:01:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10023,159 COLUMBUS AVENUE,COLUMBUS AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T20:01:05.000,07 MANHATTAN,1011207501,MANHATTAN,989510,221396,MOBILE,Unspecified,MANHATTAN,40.77435563332485,-73.9810088810483,"{'latitude': '40.77435563332485', 'longitude': '-73.9810088810483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   67 STREET,WEST   68 STREET,WEST   67 STREET,WEST   68 STREET,COLUMBUS AVENUE,,,,,,,
58877002,2023-09-20T19:54:38.000,2023-09-21T11:24:48.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,10470,4299 VIREO AVENUE,VIREO AVENUE,ADDRESS,BRONX,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-21T07:24:38.000,12 BRONX,2033850084,BRONX,1021945,266833,UNKNOWN,Unspecified,BRONX,40.89898805734182,-73.86364774990085,"{'latitude': '40.89898805734182', 'longitude': '-73.86364774990085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  236 STREET,EAST  237 STREET,EAST  236 STREET,EAST  237 STREET,VIREO AVENUE,,,,,,,
58878018,2023-09-20T19:54:31.000,2023-09-20T20:42:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10458,2308 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:42:33.000,05 BRONX,2031590003,BRONX,1011982,251796,ONLINE,Unspecified,BRONX,40.857753118164155,-73.89974862753033,"{'latitude': '40.857753118164155', 'longitude': '-73.89974862753033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,GRAND CONCOURSE,,,,,,,
58878338,2023-09-20T19:54:07.000,2023-09-20T20:30:59.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,11207,217 SCHAEFER STREET,SCHAEFER STREET,ADDRESS,BROOKLYN,Closed,The Police Department visited the location and no Encampment was found.,2023-09-20T20:31:02.000,04 BROOKLYN,3034240070,BROOKLYN,1010051,190883,MOBILE,Unspecified,BROOKLYN,40.690568905453695,-73.9069630755433,"{'latitude': '40.690568905453695', 'longitude': '-73.9069630755433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,SCHAEFER STREET,,,,,,,
58872248,2023-09-20T19:54:03.000,2023-09-20T20:21:00.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,1605 EAST   94 STREET,EAST   94 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T20:21:06.000,18 BROOKLYN,3082970029,BROOKLYN,1013878,170031,PHONE,Unspecified,BROOKLYN,40.63332283205719,-73.89325477328354,"{'latitude': '40.63332283205719', 'longitude': '-73.89325477328354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE N,CANARSIE ROAD,AVENUE N,CANARSIE ROAD,EAST   94 STREET,,,,,,,
58875423,2023-09-20T19:53:52.000,2023-09-20T20:41:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10458,2320 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T20:42:02.000,05 BRONX,2031590007,BRONX,1012018,251876,ONLINE,Unspecified,BRONX,40.857972580891314,-73.89961815598576,"{'latitude': '40.857972580891314', 'longitude': '-73.89961815598576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  183 STREET,FIELD PLACE,EAST  183 STREET,FIELD PLACE,GRAND CONCOURSE,,,,,,,
58880712,2023-09-20T19:53:45.000,2023-09-20T20:19:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,151 LOISAIDA AVENUE,LOISAIDA AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T20:19:31.000,03 MANHATTAN,1003920035,MANHATTAN,990402,203609,MOBILE,Unspecified,MANHATTAN,40.72553423319804,-73.97780460597261,"{'latitude': '40.72553423319804', 'longitude': '-73.97780460597261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    9 STREET,EAST   10 STREET,EAST    9 STREET,EAST   10 STREET,AVENUE C,,,,,,,
