unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,landmark,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date,taxi_pick_up_location,taxi_company_borough
58873647,2023-09-20T17:46:00.000,2023-09-22T11:40:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,11385,78-56 79 STREET,79 STREET,78 AVE,MYRTLE AVE,MYRTLE AVENUE,79 STREET,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T11:40:00.000,05 QUEENS,4038270039,QUEENS,1020092,195338,UNKNOWN,Unspecified,QUEENS,40.702761863826396,-73.87073214487003,"{'latitude': '40.702761863826396', 'longitude': '-73.87073214487003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58874752,2023-09-20T17:45:46.000,2023-09-20T19:04:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11235,2676 EAST   24 STREET,EAST   24 STREET,AVENUE Z,VOORHIES AVENUE,AVENUE Z,VOORHIES AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T19:04:24.000,15 BROOKLYN,3074687505,BROOKLYN,999457,153277,MOBILE,Unspecified,BROOKLYN,40.58737305063362,-73.94524917489879,"{'latitude': '40.58737305063362', 'longitude': '-73.94524917489879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST   24 STREET,,,,,,,,
58872818,2023-09-20T17:45:38.000,2023-09-25T13:35:14.000,DOT,Department of Transportation,Highway Condition,Crash Cushion Defect,,,,,,,,,,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction.,2023-09-25T13:35:18.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,Highway,,Whitestone Expwy,Southbound,Ramp,END Whitestone Expwy/Astoria Blvd,,,,
58874183,2023-09-20T17:45:36.000,2023-10-04T10:10:27.000,EDC,Economic Development Corporation,Noise - Helicopter,News Gathering,10471,5700 ARLINGTON AVENUE,ARLINGTON AVENUE,WEST  259 STREET,INDEPENDENCE AVENUE,WEST  259 STREET,INDEPENDENCE AVENUE,ADDRESS,BRONX,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:35.000,08 BRONX,2059530038,BRONX,1010005,269611,ONLINE,Unspecified,BRONX,40.90665570023825,-73.90682699003065,"{'latitude': '40.90665570023825', 'longitude': '-73.90682699003065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Above Address,ARLINGTON AVENUE,,,,,,,,
58879993,2023-09-20T17:45:19.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,11222,735 MANHATTAN AVENUE,MANHATTAN AVENUE,,,,,ADDRESS,BROOKLYN,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,01 BROOKLYN,3026190016,BROOKLYN,997490,203884,UNKNOWN,Unspecified,BROOKLYN,40.7262812720398,-73.95223174210793,"{'latitude': '40.7262812720398', 'longitude': '-73.95223174210793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Mixed Use,,,,,,N/A,2023-11-14T07:42:06.000,,
58875680,2023-09-20T17:45:19.000,2023-09-26T14:17:13.000,DOT,Department of Transportation,Street Condition,Cave-in,11362,246-40 54 AVENUE,54 AVENUE,OVERBROOK STREET,248 STREET,OVERBROOK STREET,248 STREET,ADDRESS,LITTLE NECK,Closed,This request required re-assignment to a new DOT unit.,2023-09-26T14:17:21.000,11 QUEENS,4082130018,QUEENS,1057303,216172,PHONE,Unspecified,QUEENS,40.75971686649037,-73.73630125712172,"{'latitude': '40.75971686649037', 'longitude': '-73.73630125712172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,54 AVENUE,,,,,,,,
58871718,2023-09-20T17:45:13.000,2023-09-26T11:37:54.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,11374,63-95 AUSTIN STREET,AUSTIN STREET,63 DRIVE,64 ROAD,63 DRIVE,64 ROAD,ADDRESS,REGO PARK,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-09-26T11:38:01.000,06 QUEENS,4030960118,QUEENS,1022365,204181,PHONE,Unspecified,QUEENS,40.72702425656697,-73.86248428200288,"{'latitude': '40.72702425656697', 'longitude': '-73.86248428200288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,AUSTIN STREET,,,,,,,,
58879532,2023-09-20T17:45:12.000,2023-09-21T02:59:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T02:59:13.000,09 BRONX,2038740063,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,COMMONWEALTH AVENUE,,,,,,,,
58879994,2023-09-20T17:45:02.000,2023-09-22T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,11222,733 MANHATTAN AVENUE,MANHATTAN AVENUE,,,,,ADDRESS,BROOKLYN,Closed,The City has removed the graffiti from this property.,2023-09-25T08:32:34.000,01 BROOKLYN,3026190017,BROOKLYN,997495,203871,UNKNOWN,Unspecified,BROOKLYN,40.726245582721596,-73.95221372832549,"{'latitude': '40.726245582721596', 'longitude': '-73.95221372832549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Mixed Use,,,,,,N/A,2023-10-20T17:45:02.000,,
58876985,2023-09-20T17:45:00.000,2023-09-22T11:55:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,10312,159 SHELDON AVENUE,SHELDON AVENUE,CARLTON BOULEVARD,ARDEN AVENUE,,,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the E-waste.,2023-09-22T11:55:00.000,03 STATEN ISLAND,5057100082,STATEN ISLAND,933369,139224,PHONE,Unspecified,STATEN ISLAND,40.54866739535243,-74.18308442885281,"{'latitude': '40.54866739535243', 'longitude': '-74.18308442885281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,,,,,,,,,
