unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,vehicle_type,taxi_company_borough
58871383,2023-09-20T15:40:30.000,2023-09-27T18:59:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10456,1191 BOSTON ROAD,BOSTON ROAD,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,03 BRONX,2026140038,BRONX,1011157,241372,PHONE,Unspecified,BRONX,40.82914486082958,-73.90277283121831,"{'latitude': '40.82914486082958', 'longitude': '-73.90277283121831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58878999,2023-09-20T15:40:28.000,2023-09-20T17:48:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10009,178 AVENUE D,AVENUE D,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T17:48:03.000,03 MANHATTAN,1003670001,MANHATTAN,991342,203741,ONLINE,Unspecified,MANHATTAN,40.72589583742323,-73.9744131031993,"{'latitude': '40.72589583742323', 'longitude': '-73.9744131031993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PEDESTRIAN PATH,EAST   12 STREET,PEDESTRIAN PATH,EAST   12 STREET,AVENUE D,,,,,
58878833,2023-09-20T15:40:26.000,2023-09-20T16:56:26.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11694,188 BEACH  115 STREET,BEACH  115 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T16:56:32.000,14 QUEENS,4161870077,QUEENS,1029807,150496,PHONE,Unspecified,QUEENS,40.57963574437674,-73.83599686471673,"{'latitude': '40.57963574437674', 'longitude': '-73.83599686471673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,BEACH  115 STREET,,,,,
58880056,2023-09-20T15:40:12.000,2023-09-20T16:23:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10019,802 9 AVENUE,9 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T16:24:03.000,04 MANHATTAN,1010440002,MANHATTAN,987722,218170,MOBILE,Unspecified,MANHATTAN,40.76550198639699,-73.98746608376727,"{'latitude': '40.76550198639699', 'longitude': '-73.98746608376727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   53 STREET,WEST   54 STREET,WEST   53 STREET,WEST   54 STREET,9 AVENUE,,,,,
58872388,2023-09-20T15:40:10.000,2023-09-20T16:22:40.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10019,318 WEST   51 STREET,WEST   51 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T16:22:39.000,04 MANHATTAN,1010410044,MANHATTAN,987999,217349,PHONE,Unspecified,MANHATTAN,40.76324844017083,-73.98646657198002,"{'latitude': '40.76324844017083', 'longitude': '-73.98646657198002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   51 STREET,,,,,
58881078,2023-09-20T15:40:05.000,2023-09-21T10:33:07.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11207,DEWITT AVENUE,DEWITT AVENUE,INTERSECTION,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T10:33:16.000,05 BROOKLYN,,BROOKLYN,1013711,178670,ONLINE,Unspecified,BROOKLYN,40.65703556373915,-73.8938187202921,"{'latitude': '40.65703556373915', 'longitude': '-73.8938187202921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEWITT AVENUE,LINDEN BOULEVARD,DEWITT AVENUE,LINDEN BOULEVARD,,,,,,
58877063,2023-09-20T15:39:48.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,11205,100 WASHINGTON PARK,WASHINGTON PARK,ADDRESS,BROOKLYN,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T19:37:04.000,02 BROOKLYN,,BROOKLYN,991541,191573,PHONE,Fort Greene Park,BROOKLYN,40.692497400764616,-73.9737083167811,"{'latitude': '40.692497400764616', 'longitude': '-73.9737083167811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,WASHINGTON PARK,,,,,
58875569,2023-09-20T15:39:42.000,,DOHMH,Department of Health and Mental Hygiene,Tattooing,Tattoo Artist Unlicensed,Tattoo Parlor,11372,37-53 91 STREET,91 STREET,ADDRESS,JACKSON HEIGHTS,In Progress,The Department of Health and Mental Hygiene will investigate the complaint. Please visit 311 Online at www.nyc.gov/311 or call 311 in 30 days for an updated status of your complaint.,2023-09-22T09:58:10.000,03 QUEENS,4014790051,QUEENS,1018701,212233,ONLINE,Unspecified,QUEENS,40.74914000872491,-73.875662431941,"{'latitude': '40.74914000872491', 'longitude': '-73.875662431941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,91 STREET,,,,,
58875405,2023-09-20T15:39:31.000,2023-09-20T16:01:22.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T16:01:25.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,164 STREET,,,,,
58878005,2023-09-20T15:39:27.000,2023-09-20T16:01:45.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T16:01:49.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,
