unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58880833,2023-09-20T13:49:29.000,2023-10-02T09:20:06.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11372,34-39 88 STREET,88 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,JACKSON HEIGHTS,88 STREET,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T09:20:09.000,03 QUEENS,4014490054,QUEENS,1017705,213720,PHONE,Unspecified,QUEENS,40.753225268234665,-73.87924970642304,"{'latitude': '40.753225268234665', 'longitude': '-73.87924970642304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58880111,2023-09-20T13:49:21.000,2023-09-20T14:51:09.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,1613 BROADWAY,BROADWAY,WEST   49 STREET,WEST   50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T14:51:07.000,05 MANHATTAN,1010210019,MANHATTAN,988558,216491,MOBILE,Unspecified,MANHATTAN,40.76089319611215,-73.98444920075104,"{'latitude': '40.76089319611215', 'longitude': '-73.98444920075104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58876882,2023-09-20T13:49:15.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11691,14-29 GIPSON STREET,GIPSON STREET,ENRIGHT ROAD,DEAD END,ENRIGHT ROAD,DEAD END,ADDRESS,FAR ROCKAWAY,GIPSON STREET,In Progress,,,14 QUEENS,4156560031,QUEENS,1051556,161388,PHONE,Unspecified,QUEENS,40.60939353354007,-73.75759327838126,"{'latitude': '40.60939353354007', 'longitude': '-73.75759327838126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881163,2023-09-20T13:49:01.000,2023-09-21T11:57:54.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11355,136-45 41 AVENUE,41 AVENUE,KISSENA BOULEVARD,UNION STREET,KISSENA BOULEVARD,UNION STREET,ADDRESS,FLUSHING,41 AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-21T00:26:01.000,07 QUEENS,4050190100,QUEENS,1031605,215730,PHONE,Unspecified,QUEENS,40.75867867905461,-73.82906590559085,"{'latitude': '40.75867867905461', 'longitude': '-73.82906590559085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58878803,2023-09-20T13:48:49.000,2023-10-03T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11237,224 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-04T06:59:07.000,04 BROOKLYN,3031860028,BROOKLYN,1004798,195438,UNKNOWN,Unspecified,BROOKLYN,40.70308507137097,-73.92589118581742,"{'latitude': '40.70308507137097', 'longitude': '-73.92589118581742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-20T13:48:49.000,,,,,
58875615,2023-09-20T13:48:41.000,2023-09-22T16:12:10.000,TLC,Taxi and Limousine Commission,Lost Property,Book/Stationery,Taxi,10003,BROADWAY,BROADWAY,BROADWAY,EAST   12 STREET,BROADWAY,EAST   12 STREET,INTERSECTION,,,Closed,See notes for information.,2023-09-22T16:12:12.000,02 MANHATTAN,,MANHATTAN,986713,206406,UNKNOWN,Unspecified,MANHATTAN,40.73321311099892,-73.99111288120781,"{'latitude': '40.73321311099892', 'longitude': '-73.99111288120781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"BROADWAY AND EAST   12 STREET, MANHATTAN, NY, 10003",,,,
58873836,2023-09-20T13:48:40.000,2023-09-20T14:15:26.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10019,306 WEST   54 STREET,WEST   54 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   54 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T14:15:31.000,04 MANHATTAN,1010440038,MANHATTAN,988451,217993,ONLINE,Unspecified,MANHATTAN,40.76501585078629,-73.98483450522959,"{'latitude': '40.76501585078629', 'longitude': '-73.98483450522959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58877341,2023-09-20T13:48:35.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11378,55-11 68 STREET,68 STREET,,,,,ADDRESS,MASPETH,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-29T00:00:00.000,05 QUEENS,4023980012,QUEENS,1012920,204375,UNKNOWN,Unspecified,QUEENS,40.72759239395757,-73.89656018511822,"{'latitude': '40.72759239395757', 'longitude': '-73.89656018511822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58877523,2023-09-20T13:48:31.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11102,30-40 21 STREET,21 STREET,,,,,ADDRESS,ASTORIA,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-22T00:00:00.000,01 QUEENS,4005350046,QUEENS,1004002,219380,UNKNOWN,Unspecified,QUEENS,40.768801738137405,-73.92869176085922,"{'latitude': '40.768801738137405', 'longitude': '-73.92869176085922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58876843,2023-09-20T13:48:24.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10032,57 AUDUBON AVENUE,AUDUBON AVENUE,WEST  168 STREET,WEST  169 STREET,WEST  168 STREET,WEST  169 STREET,ADDRESS,NEW YORK,AUDUBON AVENUE,In Progress,,,12 MANHATTAN,1021250026,MANHATTAN,1001325,245526,MOBILE,Unspecified,MANHATTAN,40.84057086877178,-73.93828970751925,"{'latitude': '40.84057086877178', 'longitude': '-73.93828970751925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
