unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,taxi_company_borough
58874475,2023-09-20T12:00:27.000,2023-09-22T09:31:21.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11233,161 ROCKAWAY AVENUE,ROCKAWAY AVENUE,HERKIMER STREET,ATLANTIC AVENUE,HERKIMER STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,ROCKAWAY AVENUE,Closed,The Department of Sanitation removed the items.,2023-09-21T11:18:12.000,16 BROOKLYN,3015680014,BROOKLYN,1008981,185992,ONLINE,Unspecified,BROOKLYN,40.67714728766126,-73.91083938280717,"{'latitude': '40.67714728766126', 'longitude': '-73.91083938280717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58880796,2023-09-20T12:00:08.000,2023-11-08T11:31:41.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11413,139-15 225 STREET,225 STREET,139 AVENUE,141 AVENUE,139 AVENUE,141 AVENUE,ADDRESS,SPRINGFIELD GARDENS,225 STREET,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-11-08T11:31:45.000,13 QUEENS,4131510026,QUEENS,1053834,183701,PHONE,Unspecified,QUEENS,40.67062009317535,-73.74915884366517,"{'latitude': '40.67062009317535', 'longitude': '-73.74915884366517', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873061,2023-09-20T12:00:00.000,2023-09-25T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11206,179 LYNCH STREET,LYNCH STREET,MARCY AVENUE,HARRISON AVENUE,,,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-25T12:00:00.000,01 BROOKLYN,3022330001,BROOKLYN,997489,195485,PHONE,Unspecified,BROOKLYN,40.70322802912427,-73.95225186750666,"{'latitude': '40.70322802912427', 'longitude': '-73.95225186750666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873068,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11356,9-41 119 STREET,119 STREET,9 AVENUE,12 AVENUE,,,ADDRESS,COLLEGE POINT,,Closed,The owner claimed the vehicle.Â Your request is now closed and no further action will be taken.,2023-09-21T12:00:00.000,07 QUEENS,4040270009,QUEENS,1026105,226798,PHONE,Unspecified,QUEENS,40.78908514130156,-73.84884989968664,"{'latitude': '40.78908514130156', 'longitude': '-73.84884989968664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878318,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11385,71-24 65 PLACE,65 PLACE,CENTRAL AVENUE,MYRTLE AVENUE,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,05 QUEENS,4036760017,QUEENS,1014842,195098,PHONE,Unspecified,QUEENS,40.702122828194035,-73.8896678777071,"{'latitude': '40.702122828194035', 'longitude': '-73.8896678777071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875718,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10465,338 BALCOM AVENUE,BALCOM AVENUE,MILES AVENUE,SAMPSON AVENUE,,,ADDRESS,BRONX,,Closed,The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,2023-09-22T12:00:00.000,10 BRONX,2055820116,BRONX,1033096,237102,PHONE,Unspecified,BRONX,40.81733086075899,-73.82352854502105,"{'latitude': '40.81733086075899', 'longitude': '-73.82352854502105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874378,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10457,1660 TOPPING AVENUE,TOPPING AVENUE,EAST MOUNT EDEN AVENUE,EAST 173 STREET,,,ADDRESS,BRONX,,Closed,The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,2023-09-21T12:00:00.000,04 BRONX,2027900010,BRONX,1010289,246498,PHONE,Unspecified,BRONX,40.8432168410879,-73.90588940580105,"{'latitude': '40.8432168410879', 'longitude': '-73.90588940580105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871772,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10306,748 NEW DORP LANE,NEW DORP LANE,ROMA AVENUE,CEDAR GROVE AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-21T12:00:00.000,02 STATEN ISLAND,5040780043,STATEN ISLAND,956638,145254,PHONE,Unspecified,STATEN ISLAND,40.56532154442458,-74.09938061260922,"{'latitude': '40.56532154442458', 'longitude': '-74.09938061260922', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879648,2023-09-20T12:00:00.000,2023-09-22T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,FOREST AVENUE,FOREST AVENUE,INTERSECTION,,,Closed,The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,2023-09-22T12:00:00.000,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,DSNY Garage,,,,,,,
58873049,2023-09-20T12:00:00.000,2023-09-21T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11231,495 CLINTON STREET,CLINTON STREET,3 PLACE,4 PLACE,,,ADDRESS,BROOKLYN,,Closed,DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,2023-09-21T12:00:00.000,06 BROOKLYN,3003710007,BROOKLYN,984295,186600,PHONE,Unspecified,BROOKLYN,40.678850656317856,-73.99983776112728,"{'latitude': '40.678850656317856', 'longitude': '-73.99983776112728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DSNY Garage,,,,,,,
