unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_company_borough
58874487,2023-09-20T10:29:53.000,2023-09-21T08:47:36.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11357,145-32 19 AVENUE,19 AVENUE,PARSONS BOULEVARD,147 STREET,PARSONS BOULEVARD,147 STREET,ADDRESS,WHITESTONE,19 AVENUE,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-21T08:47:35.000,07 QUEENS,4046300020,QUEENS,1033768,224432,ONLINE,Unspecified,QUEENS,40.782551501690584,-73.8211941771891,"{'latitude': '40.782551501690584', 'longitude': '-73.8211941771891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871354,2023-09-20T10:29:51.000,2023-09-25T19:26:04.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11691,409 BEACH   45 STREET,BEACH   45 STREET,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,14 QUEENS,4159680106,QUEENS,1046291,156477,PHONE,Unspecified,QUEENS,40.59595230791424,-73.77660052357467,"{'latitude': '40.59595230791424', 'longitude': '-73.77660052357467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877956,2023-09-20T10:29:50.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11356,111-03 14 ROAD,14 ROAD,,,,,ADDRESS,COLLEGE POINT,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-20T00:00:00.000,07 QUEENS,4040460020,QUEENS,1024193,225136,PHONE,Unspecified,QUEENS,40.78453225040553,-73.8557645358163,"{'latitude': '40.78453225040553', 'longitude': '-73.8557645358163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875391,2023-09-20T10:29:50.000,2023-09-25T15:11:54.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10453,74 WEST TREMONT AVENUE,WEST TREMONT AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,05 BRONX,2028620006,BRONX,1008561,249341,PHONE,Unspecified,BRONX,40.851024961315574,-73.91212446042722,"{'latitude': '40.851024961315574', 'longitude': '-73.91212446042722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58876499,2023-09-20T10:29:45.000,2023-09-21T16:22:00.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11379,68-14 78 STREET,78 STREET,,,,,ADDRESS,MIDDLE VILLAGE,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,05 QUEENS,4037890072,QUEENS,1018821,198207,PHONE,Unspecified,QUEENS,40.71064164047743,-73.87530140073792,"{'latitude': '40.71064164047743', 'longitude': '-73.87530140073792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874022,2023-09-20T10:29:45.000,2023-09-21T16:22:00.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11379,68-14 78 STREET,78 STREET,,,,,ADDRESS,MIDDLE VILLAGE,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,05 QUEENS,4037890072,QUEENS,1018821,198207,PHONE,Unspecified,QUEENS,40.71064164047743,-73.87530140073792,"{'latitude': '40.71064164047743', 'longitude': '-73.87530140073792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874336,2023-09-20T10:29:33.000,2023-09-28T09:17:07.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10065,822 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   62 STREET,EAST   63 STREET,EAST   62 STREET,EAST   63 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-28T09:17:10.000,08 MANHATTAN,1013977504,MANHATTAN,993548,217859,ONLINE,Unspecified,MANHATTAN,40.764644164060655,-73.96643466170018,"{'latitude': '40.764644164060655', 'longitude': '-73.96643466170018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874905,2023-09-20T10:29:14.000,2023-09-21T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Excavation Undermining Adjacent Building,,11432,187-12 WEXFORD TERRACE,WEXFORD TERRACE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-21T00:00:00.000,08 QUEENS,4099600035,QUEENS,1046477,200010,UNKNOWN,Unspecified,QUEENS,40.71543914690023,-73.77552908124869,"{'latitude': '40.71543914690023', 'longitude': '-73.77552908124869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58876202,2023-09-20T10:29:09.000,2023-09-21T00:00:00.000,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,,11210,1031 EAST   26 STREET,EAST   26 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-21T00:00:00.000,14 BROOKLYN,3076080031,BROOKLYN,997996,167164,UNKNOWN,Unspecified,BROOKLYN,40.62549240680705,-73.95048104995483,"{'latitude': '40.62549240680705', 'longitude': '-73.95048104995483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58880248,2023-09-20T10:29:09.000,2023-09-20T10:29:09.000,DOB,Department of Buildings,Boilers,Boiler - Defective/Inoperative/No Permit,,10035,2236 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-20T00:00:00.000,11 MANHATTAN,1017700038,MANHATTAN,1001574,231296,UNKNOWN,Unspecified,MANHATTAN,40.801513063125846,-73.93742654052042,"{'latitude': '40.801513063125846', 'longitude': '-73.93742654052042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
