unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,taxi_pick_up_location,road_ramp,due_date,vehicle_type
58890387,2023-09-20T08:53:25.000,2023-09-21T14:03:30.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11373,83-21 BROADWAY,BROADWAY,CORNISH AVENUE,DONGAN AVENUE,CORNISH AVENUE,DONGAN AVENUE,ADDRESS,ELMHURST,BROADWAY,Closed,The Department of Sanitation cleaned the location.,2023-09-21T03:26:56.000,04 QUEENS,4015800006,QUEENS,1017623,209188,ONLINE,Unspecified,QUEENS,40.74078638807691,-73.87956816037308,"{'latitude': '40.74078638807691', 'longitude': '-73.87956816037308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875511,2023-09-20T08:53:15.000,2023-09-22T12:20:45.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Street/Curbside,10457,CROTONA PARK,CROTONA PARK,CLAREMONT PARKWAY,CROTONA PARK NORTH,CLAREMONT PARKWAY,CROTONA PARK NORTH,UNRECOGNIZED,BRONX,CROTONA PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-22T12:20:48.000,03 BRONX,2029420001,BRONX,1013229,244598,UNKNOWN,Unspecified,BRONX,40.83799273965483,-73.89527182764397,"{'latitude': '40.83799273965483', 'longitude': '-73.89527182764397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874741,2023-09-20T08:53:03.000,2023-09-20T09:20:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11222,178 ECKFORD STREET,ECKFORD STREET,NASSAU AVENUE,NORMAN AVENUE,NASSAU AVENUE,NORMAN AVENUE,ADDRESS,BROOKLYN,ECKFORD STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T09:20:51.000,01 BROOKLYN,3026490052,BROOKLYN,998199,203561,MOBILE,Unspecified,BROOKLYN,40.7253936260723,-73.94967442916466,"{'latitude': '40.7253936260723', 'longitude': '-73.94967442916466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873371,2023-09-20T08:53:00.000,2023-09-25T09:00:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10303,323 DIXON AVENUE,DIXON AVENUE,LAKE AVE,SIMONSON AVE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,2023-09-25T09:00:00.000,01 STATEN ISLAND,5011760013,STATEN ISLAND,941916,168393,ONLINE,Unspecified,STATEN ISLAND,40.62877526360329,-74.15251267972972,"{'latitude': '40.62877526360329', 'longitude': '-74.15251267972972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873111,2023-09-20T08:52:45.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T12:24:30.000,Unspecified MANHATTAN,,MANHATTAN,989607,217865,MOBILE,Unspecified,MANHATTAN,40.764663898952584,-73.98066147906952,"{'latitude': '40.764663898952584', 'longitude': '-73.98066147906952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Q,Mezzanine,,,,,,
58879718,2023-09-20T08:52:27.000,2023-09-21T05:28:52.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11235,3000 OCEAN PARKWAY,OCEAN PARKWAY,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,BROOKLYN,OCEAN PARKWAY,Closed,The Department of Sanitation cleaned the location.,2023-09-21T05:28:56.000,13 BROOKLYN,3072740035,BROOKLYN,993033,149494,MOBILE,Unspecified,BROOKLYN,40.576998158310786,-73.96838286444817,"{'latitude': '40.576998158310786', 'longitude': '-73.96838286444817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873609,2023-09-20T08:52:27.000,2023-09-20T09:06:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11417,107-66 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,ADDRESS,OZONE PARK,CROSS BAY BOULEVARD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T09:06:22.000,10 QUEENS,4091600209,QUEENS,1027470,186445,MOBILE,Unspecified,QUEENS,40.67831970618058,-73.84417973443182,"{'latitude': '40.67831970618058', 'longitude': '-73.84417973443182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874577,2023-09-20T08:52:09.000,2023-09-22T12:37:22.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,10301,37 ONEIDA AVENUE,ONEIDA AVENUE,OSWEGO STREET,TIOGA STREET,OSWEGO STREET,TIOGA STREET,ADDRESS,STATEN ISLAND,ONEIDA AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T11:21:35.000,01 STATEN ISLAND,5006580030,STATEN ISLAND,956364,162461,PHONE,Unspecified,STATEN ISLAND,40.61255043334617,-74.10043779696662,"{'latitude': '40.61255043334617', 'longitude': '-74.10043779696662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874471,2023-09-20T08:52:04.000,2023-09-21T12:34:30.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10306,694 NEW DORP LANE,NEW DORP LANE,FINLEY AVENUE,HETT AVENUE,FINLEY AVENUE,HETT AVENUE,ADDRESS,STATEN ISLAND,NEW DORP LANE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T12:34:33.000,02 STATEN ISLAND,5040640035,STATEN ISLAND,956204,145531,PHONE,Unspecified,STATEN ISLAND,40.56608049310098,-74.10094380508762,"{'latitude': '40.56608049310098', 'longitude': '-74.10094380508762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872306,2023-09-20T08:52:00.000,2023-09-21T09:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10019,,,,,8 AVENUE,WEST 57 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T09:30:00.000,04 MANHATTAN,,MANHATTAN,988993,218612,UNKNOWN,Unspecified,MANHATTAN,40.76671457146749,-73.98287746335355,"{'latitude': '40.76671457146749', 'longitude': '-73.98287746335355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N/A,,,,,
58871782,2023-09-20T08:51:59.000,2023-09-20T08:58:59.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-20T08:59:02.000,02 MANHATTAN,1006100054,MANHATTAN,984277,206886,MOBILE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
