unique_key,created_date,agency,agency_name,complaint_type,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,descriptor,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,road_ramp,due_date,taxi_pick_up_location
58878336,2023-09-20T06:01:50.000,DHS,Department of Homeless Services,Homeless Person Assistance,Street/Sidewalk,10011,49 WEST   20 STREET,WEST   20 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   20 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T07:49:23.000,05 MANHATTAN,1008220001,MANHATTAN,986321,209006,MOBILE,Unspecified,MANHATTAN,40.74034956875391,-73.99252651465586,"{'latitude': '40.74034956875391', 'longitude': '-73.99252651465586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58872118,2023-09-20T06:01:19.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11235,2652 EAST   24 STREET,EAST   24 STREET,AVENUE Z,VOORHIES AVENUE,AVENUE Z,VOORHIES AVENUE,ADDRESS,BROOKLYN,EAST   24 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T06:29:38.000,15 BROOKLYN,3074680040,BROOKLYN,999437,153418,MOBILE,Unspecified,BROOKLYN,40.5877601017395,-73.94532086539621,"{'latitude': '40.5877601017395', 'longitude': '-73.94532086539621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:29:36.000,Blocked Hydrant,,,,,,,
58871381,2023-09-20T06:01:17.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,RESIDENTIAL BUILDING,11106,31-35 CRESCENT STREET,CRESCENT STREET,,,,,ADDRESS,ASTORIA,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,01 QUEENS,4005790036,QUEENS,1004421,217880,ONLINE,Unspecified,QUEENS,40.76468368198577,-73.92718359841146,"{'latitude': '40.76468368198577', 'longitude': '-73.92718359841146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T08:18:05.000,PESTS,,,,,,,
58877118,2023-09-20T06:00:17.000,DSNY,Department of Sanitation,Illegal Dumping,Sidewalk,10468,95 WEST  195 STREET,WEST  195 STREET,RESERVOIR AVENUE,UNIVERSITY AVENUE,RESERVOIR AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST  195 STREET,Closed,The Department of Sanitation removed the items.,2023-09-23T12:31:26.000,08 BRONX,2032490001,BRONX,1012049,256241,MOBILE,Unspecified,BRONX,40.869953079487324,-73.89948798451081,"{'latitude': '40.869953079487324', 'longitude': '-73.89948798451081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T03:24:04.000,Removal Request,,,,,,,
58874446,2023-09-20T06:00:07.000,DHS,Department of Homeless Services,Homeless Person Assistance,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-21T12:24:03.000,Unspecified MANHATTAN,,MANHATTAN,989607,217865,MOBILE,Unspecified,MANHATTAN,40.764663898952584,-73.98066147906952,"{'latitude': '40.764663898952584', 'longitude': '-73.98066147906952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N,N Q R W Downtown & Brooklyn,Platform,,,,
58871482,2023-09-20T05:59:59.000,NYPD,New York City Police Department,Abandoned Vehicle,Street/Sidewalk,11229,2285 BRAGG STREET,BRAGG STREET,AVENUE V,AVENUE W,AVENUE V,AVENUE W,ADDRESS,BROOKLYN,BRAGG STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:35:03.000,15 BROOKLYN,3073920001,BROOKLYN,1002183,156754,ONLINE,Unspecified,BROOKLYN,40.596911619922786,-73.93542534149296,"{'latitude': '40.596911619922786', 'longitude': '-73.93542534149296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:34:59.000,With License Plate,,,,,,,
58879730,2023-09-20T05:59:07.000,DSNY,Department of Sanitation,Illegal Dumping,Sidewalk,10468,95 WEST  195 STREET,WEST  195 STREET,RESERVOIR AVENUE,UNIVERSITY AVENUE,RESERVOIR AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST  195 STREET,Closed,The Department of Sanitation removed the items.,2023-09-23T12:31:22.000,08 BRONX,2032490001,BRONX,1012049,256241,MOBILE,Unspecified,BRONX,40.869953079487324,-73.89948798451081,"{'latitude': '40.869953079487324', 'longitude': '-73.89948798451081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-29T03:24:03.000,Removal Request,,,,,,,
58877625,2023-09-20T05:59:00.000,DOT,Department of Transportation,Street Light Condition,,,,,,,BOGART AVE,PIERCE AVE,INTERSECTION,,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T10:38:00.000,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,2023-09-22T10:38:00.000,Street Light Out,,,,,,,
58877380,2023-09-20T05:58:29.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11230,2026 OCEAN AVENUE,OCEAN AVENUE,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T06:42:52.000,14 BROOKLYN,3067660030,BROOKLYN,997053,162396,ONLINE,Unspecified,BROOKLYN,40.61240665276905,-73.95388717913691,"{'latitude': '40.61240665276905', 'longitude': '-73.95388717913691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:42:44.000,Blocked Hydrant,,,,,,,
58875841,2023-09-20T05:58:21.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11230,EAST   19 STREET,EAST   19 STREET,BAY AVENUE,EAST   19 STREET,BAY AVENUE,EAST   19 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:39:27.000,14 BROOKLYN,,BROOKLYN,996427,164395,MOBILE,Unspecified,BROOKLYN,40.61789437610167,-73.95613825034788,"{'latitude': '40.61789437610167', 'longitude': '-73.95613825034788', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:39:20.000,Blocked Crosswalk,,,,,,,
58872974,2023-09-20T05:57:31.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10460,1860 ARCHER STREET,ARCHER STREET,LELAND AVENUE,WHITE PLAINS ROAD,LELAND AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,ARCHER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T02:44:35.000,09 BRONX,2039020032,BRONX,1021758,244528,ONLINE,Unspecified,BRONX,40.837768503852274,-73.8644490258208,"{'latitude': '40.837768503852274', 'longitude': '-73.8644490258208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T02:44:32.000,Double Parked Blocking Vehicle,,,,,,,
58874958,2023-09-20T05:56:56.000,NYPD,New York City Police Department,Blocked Driveway,Street/Sidewalk,10454,383 CONCORD AVENUE,CONCORD AVENUE,EAST  142 STREET,ST MARYS STREET,EAST  142 STREET,ST MARYS STREET,ADDRESS,BRONX,CONCORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T06:42:04.000,01 BRONX,2025730056,BRONX,1009188,233792,ONLINE,Unspecified,BRONX,40.80834568369169,-73.90991588171056,"{'latitude': '40.80834568369169', 'longitude': '-73.90991588171056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:41:57.000,Partial Access,,,,,,,
58878673,2023-09-20T05:56:53.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10040,40 SHERMAN AVENUE,SHERMAN AVENUE,SICKLES STREET,ARDEN STREET,SICKLES STREET,ARDEN STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T06:12:53.000,12 MANHATTAN,1021750092,MANHATTAN,1004180,253651,ONLINE,Unspecified,MANHATTAN,40.86286559354403,-73.9279473806196,"{'latitude': '40.86286559354403', 'longitude': '-73.9279473806196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:12:48.000,Blocked Hydrant,,,,,,,
58877400,2023-09-20T05:56:53.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11230,1898 BAY AVENUE,BAY AVENUE,AVENUE M,EAST   19 STREET,AVENUE M,EAST   19 STREET,ADDRESS,BROOKLYN,BAY AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:39:04.000,14 BROOKLYN,3067470015,BROOKLYN,996399,164419,MOBILE,Unspecified,BROOKLYN,40.61796028954982,-73.95623906359397,"{'latitude': '40.61796028954982', 'longitude': '-73.95623906359397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:39:00.000,Blocked Hydrant,,,,,,,
