unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58855871,2023-09-19T23:36:26.000,2023-09-20T00:28:14.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10009,20 AVENUE D,AVENUE D,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,ADDRESS,NEW YORK,AVENUE D,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T00:28:17.000,03 MANHATTAN,1003560001,MANHATTAN,990295,201851,ONLINE,Unspecified,MANHATTAN,40.7207090226164,-73.97819222319721,"{'latitude': '40.7207090226164', 'longitude': '-73.97819222319721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859737,2023-09-19T23:36:17.000,2023-09-20T00:12:37.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,2965 MARION AVENUE,MARION AVENUE,BEDFORD PARK BOULEVARD,EAST  201 STREET,BEDFORD PARK BOULEVARD,EAST  201 STREET,ADDRESS,BRONX,MARION AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-20T00:12:40.000,07 BRONX,2032920001,BRONX,1016335,255957,PHONE,Unspecified,BRONX,40.86915904820484,-73.88399259888972,"{'latitude': '40.86915904820484', 'longitude': '-73.88399259888972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859305,2023-09-19T23:36:17.000,2023-09-20T01:51:13.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11378,52-55 69 STREET,69 STREET,52 DRIVE,53 AVENUE,52 DRIVE,53 AVENUE,ADDRESS,MASPETH,69 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T01:51:17.000,05 QUEENS,4024800013,QUEENS,1013121,205992,MOBILE,Unspecified,QUEENS,40.73203000664061,-73.89582805069631,"{'latitude': '40.73203000664061', 'longitude': '-73.89582805069631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867007,2023-09-19T23:36:10.000,2023-09-20T01:08:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,1373 EAST THIRD STREET,EAST THIRD STREET,DEAD END,AVENUE M,DEAD END,AVENUE M,ADDRESS,BROOKLYN,EAST    3 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T01:08:08.000,12 BROOKLYN,3065390056,BROOKLYN,991916,164056,MOBILE,Unspecified,BROOKLYN,40.61696894290624,-73.97238732834832,"{'latitude': '40.61696894290624', 'longitude': '-73.97238732834832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857313,2023-09-19T23:35:52.000,2023-09-20T01:26:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11372,37-60 93 STREET,93 STREET,ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,93 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T01:26:47.000,03 QUEENS,4014800034,QUEENS,1019201,212373,MOBILE,Unspecified,QUEENS,40.74952231092345,-73.8738571500711,"{'latitude': '40.74952231092345', 'longitude': '-73.8738571500711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855940,2023-09-19T23:35:25.000,2023-09-19T23:55:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11415,83-30 KEW GARDENS ROAD,KEW GARDENS ROAD,83 DRIVE,84 AVENUE,83 DRIVE,84 AVENUE,ADDRESS,KEW GARDENS,KEW GARDENS ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T23:55:26.000,09 QUEENS,4033560030,QUEENS,1032163,197952,ONLINE,Unspecified,QUEENS,40.7098795368134,-73.8271783420963,"{'latitude': '40.7098795368134', 'longitude': '-73.8271783420963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866285,2023-09-19T23:35:24.000,2023-09-29T13:06:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11235,3017 BRIGHTON    4 STREET,BRIGHTON    4 STREET,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,OCEAN VIEW AVENUE,BRIGHTON BEACH AVENUE,ADDRESS,BROOKLYN,BRIGHTON    4 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-19T23:35:24.000,13 BROOKLYN,3086740093,BROOKLYN,994310,150082,MOBILE,Unspecified,BROOKLYN,40.57861074531934,-73.96378503184641,"{'latitude': '40.57861074531934', 'longitude': '-73.96378503184641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867723,2023-09-19T23:35:13.000,2023-09-24T18:40:38.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10065,783 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 MANHATTAN,1013960022,MANHATTAN,993338,217468,PHONE,Unspecified,MANHATTAN,40.76357118836603,-73.96719328028105,"{'latitude': '40.76357118836603', 'longitude': '-73.96719328028105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860422,2023-09-19T23:35:03.000,2023-09-19T23:35:03.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,11203,790 EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,EAST NEW YORK AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T23:35:03.000,09 BROOKLYN,3048060001,BROOKLYN,1001900,180630,MOBILE,Unspecified,BROOKLYN,40.662446750091455,-73.93638195172005,"{'latitude': '40.662446750091455', 'longitude': '-73.93638195172005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855284,2023-09-19T23:35:00.000,2023-09-28T04:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10461,2105 BURR AVENUE,BURR AVENUE,E 196 ST,PELHAM PKWY S,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T04:45:00.000,10 BRONX,2042520025,BRONX,1031796,250786,ONLINE,Unspecified,BRONX,40.8548965012792,-73.82812818935987,"{'latitude': '40.8548965012792', 'longitude': '-73.82812818935987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
