unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,bridge_highway_direction
58857963,2023-09-19T21:23:14.000,2023-09-19T21:42:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11102,3-01 27 AVENUE,27 AVENUE,3 STREET,4 STREET,3 STREET,4 STREET,ADDRESS,ASTORIA,27 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:42:37.000,01 QUEENS,4009100001,QUEENS,1002458,221636,MOBILE,Unspecified,QUEENS,40.77499718224244,-73.93425976141172,"{'latitude': '40.77499718224244', 'longitude': '-73.93425976141172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862947,2023-09-19T21:23:13.000,2023-09-22T11:16:59.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tobacco Sales,Business,11229,2636 GERRITSEN AVENUE,GERRITSEN AVENUE,CHANNEL AVENUE,DEVON AVENUE,CHANNEL AVENUE,DEVON AVENUE,ADDRESS,BROOKLYN,GERRITSEN AVENUE,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-22T11:17:02.000,15 BROOKLYN,3089390841,BROOKLYN,1004537,155864,ONLINE,Unspecified,BROOKLYN,40.59446367437809,-73.9269515360188,"{'latitude': '40.59446367437809', 'longitude': '-73.9269515360188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867580,2023-09-19T21:23:07.000,2023-09-19T21:25:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3424 BROADWAY,BROADWAY,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:25:04.000,09 MANHATTAN,1020710001,MANHATTAN,997239,239060,MOBILE,Unspecified,MANHATTAN,40.82283051428899,-73.95306932541597,"{'latitude': '40.82283051428899', 'longitude': '-73.95306932541597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58870165,2023-09-19T21:23:05.000,2023-09-19T21:23:05.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11379,62-19 63 STREET,63 STREET,63 STREET,ELIOT AVENUE,63 STREET,ELIOT AVENUE,INTERSECTION,QUEENS,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T21:23:05.000,05 QUEENS,,QUEENS,1012176,199985,MOBILE,Unspecified,QUEENS,40.71554529209983,-73.89926270941694,"{'latitude': '40.71554529209983', 'longitude': '-73.89926270941694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857363,2023-09-19T21:23:03.000,2023-09-19T21:50:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11211,242 SOUTH    2 STREET,SOUTH    2 STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,SOUTH    2 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:50:17.000,01 BROOKLYN,3024200015,BROOKLYN,995826,198628,ONLINE,Unspecified,BROOKLYN,40.711857152089735,-73.95824428348773,"{'latitude': '40.711857152089735', 'longitude': '-73.95824428348773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867422,2023-09-19T21:23:00.000,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11218,OCEAN PARKWAY,OCEAN PARKWAY,CATON PLACE,KERMIT PLACE,OCEAN PARKWAY,KERMIT PLACE,INTERSECTION,BROOKLYN,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T07:38:00.000,07 BROOKLYN,,BROOKLYN,991271,175356,UNKNOWN,Unspecified,BROOKLYN,40.6479855825514,-73.97469884007734,"{'latitude': '40.6479855825514', 'longitude': '-73.97469884007734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857198,2023-09-19T21:23:00.000,2023-09-21T04:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11233,,,,,SHERLOCK PLACE,ATLANTIC AVENUE,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-21T04:00:00.000,16 BROOKLYN,,BROOKLYN,1010003,185626,ONLINE,Unspecified,BROOKLYN,40.676139786603045,-73.90715625246015,"{'latitude': '40.676139786603045', 'longitude': '-73.90715625246015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58858275,2023-09-19T21:22:51.000,2023-09-19T21:39:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10022,11 EAST   52 STREET,EAST   52 STREET,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,EAST   52 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T21:39:09.000,05 MANHATTAN,1012880010,MANHATTAN,990974,216006,MOBILE,Unspecified,MANHATTAN,40.75956048817871,-73.9757285323132,"{'latitude': '40.75956048817871', 'longitude': '-73.9757285323132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58863269,2023-09-19T21:22:39.000,2023-09-19T21:55:32.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10006,90 WASHINGTON STREET,WASHINGTON STREET,JOSEPH P WARD STREET,RECTOR STREET,JOSEPH P WARD STREET,RECTOR STREET,ADDRESS,NEW YORK,WASHINGTON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:55:34.000,01 MANHATTAN,1000170029,MANHATTAN,980245,197250,MOBILE,Unspecified,MANHATTAN,40.70808153542161,-74.01444559148298,"{'latitude': '40.70808153542161', 'longitude': '-74.01444559148298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864196,2023-09-19T21:22:33.000,2023-09-19T21:39:58.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10009,180 AVENUE D,AVENUE D,PEDESTRIAN PATH,EAST   12 STREET,PEDESTRIAN PATH,EAST   12 STREET,ADDRESS,NEW YORK,AVENUE D,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T21:40:02.000,03 MANHATTAN,,MANHATTAN,991366,203784,MOBILE,Unspecified,MANHATTAN,40.72601384269101,-73.97432646925229,"{'latitude': '40.72601384269101', 'longitude': '-73.97432646925229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867323,2023-09-19T21:22:32.000,2023-09-19T21:42:12.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,104-21 48 AVENUE,48 AVENUE,104 STREET,108 STREET,104 STREET,108 STREET,ADDRESS,CORONA,48 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T21:42:14.000,04 QUEENS,4019910079,QUEENS,1023384,210806,MOBILE,Unspecified,QUEENS,40.74520377249032,-73.85876928464565,"{'latitude': '40.74520377249032', 'longitude': '-73.85876928464565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
