unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
59435794,2023-09-30T01:19:15.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,Apartment,11375,105-15 66 ROAD,66 ROAD,YELLOWSTONE BOULEVARD,108 STREET,YELLOWSTONE BOULEVARD,108 STREET,ADDRESS,FOREST HILLS,66 ROAD,Closed,2023-10-16T00:00:00.000,06 QUEENS,4021530001,QUEENS,1026042,204992,ONLINE,Unspecified,QUEENS,40.72923364243449,-73.84921296320566,"{'latitude': '40.72923364243449', 'longitude': '-73.84921296320566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
59446047,2023-09-30T01:19:14.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11375,105-15 66 ROAD,66 ROAD,YELLOWSTONE BOULEVARD,108 STREET,YELLOWSTONE BOULEVARD,108 STREET,ADDRESS,FOREST HILLS,66 ROAD,Closed,2023-10-16T00:00:00.000,06 QUEENS,4021530001,QUEENS,1026042,204992,ONLINE,Unspecified,QUEENS,40.72923364243449,-73.84921296320566,"{'latitude': '40.72923364243449', 'longitude': '-73.84921296320566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58961003,2023-09-30T01:19:10.000,2023-09-30T01:49:40.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10034,37 PAYSON AVENUE,PAYSON AVENUE,DYCKMAN STREET,BEAK STREET,DYCKMAN STREET,BEAK STREET,ADDRESS,NEW YORK,PAYSON AVENUE,Closed,2023-09-30T01:49:43.000,12 MANHATTAN,1022470001,MANHATTAN,1004049,255139,ONLINE,Unspecified,MANHATTAN,40.86694999597032,-73.9284165865752,"{'latitude': '40.86694999597032', 'longitude': '-73.9284165865752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58968046,2023-09-30T01:18:43.000,2023-09-30T02:39:35.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10454,900 EAST  132 STREET,EAST  132 STREET,WALNUT AVENUE,LOCUST AVENUE,WALNUT AVENUE,LOCUST AVENUE,ADDRESS,BRONX,EAST  132 STREET,Closed,2023-09-30T02:39:41.000,01 BRONX,2025830030,BRONX,1008857,230280,MOBILE,Unspecified,BRONX,40.798707141139616,-73.91112443150786,"{'latitude': '40.798707141139616', 'longitude': '-73.91112443150786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58961812,2023-09-30T01:18:38.000,2023-09-30T08:39:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11414,155-55 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,BELT PY EB EN CROSS BAY BLVD NB,156 AVENUE,BELT PY EB EN CROSS BAY BLVD NB,156 AVENUE,ADDRESS,HOWARD BEACH,CROSS BAY BOULEVARD,Closed,2023-09-30T08:40:07.000,10 QUEENS,4115880075,QUEENS,1028319,181365,ONLINE,Unspecified,QUEENS,40.66437208074051,-73.8411520689931,"{'latitude': '40.66437208074051', 'longitude': '-73.8411520689931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58956399,2023-09-30T01:18:37.000,2023-09-30T01:20:17.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11105,20-30 STEINWAY STREET,STEINWAY STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,STEINWAY STREET,Closed,2023-09-30T01:20:21.000,01 QUEENS,4008090045,QUEENS,1011258,221933,MOBILE,Unspecified,QUEENS,40.775789861408725,-73.90248606662297,"{'latitude': '40.775789861408725', 'longitude': '-73.90248606662297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58961027,2023-09-30T01:18:30.000,2023-09-30T01:30:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,Closed,2023-09-30T01:30:07.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58975783,2023-09-30T01:18:30.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10037,2235 5 AVENUE,5 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,2023-10-02T00:00:00.000,11 MANHATTAN,1017600001,MANHATTAN,1001617,235569,UNKNOWN,Unspecified,MANHATTAN,40.813241180098736,-73.93726017241876,"{'latitude': '40.813241180098736', 'longitude': '-73.93726017241876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",N/A,,,,,
58962518,2023-09-30T01:18:25.000,2023-09-30T01:34:12.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10454,82 LOCUST AVENUE,LOCUST AVENUE,EAST  132 STREET,EAST  133 STREET,EAST  132 STREET,EAST  133 STREET,ADDRESS,BRONX,LOCUST AVENUE,Closed,2023-09-30T01:34:16.000,01 BRONX,2025830365,BRONX,1008951,230263,MOBILE,Unspecified,BRONX,40.798660218526514,-73.91078498505424,"{'latitude': '40.798660218526514', 'longitude': '-73.91078498505424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58956171,2023-09-30T01:18:21.000,2023-09-30T01:31:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11105,23-05 41 STREET,41 STREET,23 AVENUE,23 ROAD,23 AVENUE,23 ROAD,ADDRESS,ASTORIA,41 STREET,Closed,2023-09-30T01:31:36.000,01 QUEENS,4007920071,QUEENS,1009815,219963,MOBILE,Unspecified,QUEENS,40.77038702108413,-73.90770359130221,"{'latitude': '40.77038702108413', 'longitude': '-73.90770359130221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
