unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58862855,2023-09-19T19:12:53.000,2023-09-26T13:51:11.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,10026,5 AVENUE,5 AVENUE,5 AVENUE,WEST  116 STREET,5 AVENUE,WEST  116 STREET,INTERSECTION,Closed,The location does not meet the criteria for Litter Basket placement.,2023-09-25T05:50:34.000,10 MANHATTAN,MANHATTAN,999073,230985,ONLINE,Unspecified,MANHATTAN,40.80066400296945,-73.94646071704003,"{'latitude': '40.80066400296945', 'longitude': '-73.94646071704003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58870298,2023-09-19T19:12:51.000,2023-10-04T10:10:22.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10024,103 WEST   86 STREET,WEST   86 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:30.000,07 MANHATTAN,MANHATTAN,991899,225851,ONLINE,Unspecified,MANHATTAN,40.78658168399548,-73.97237837555912,"{'latitude': '40.78658168399548', 'longitude': '-73.97237837555912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   86 STREET,1012170034,,,,,,,,
58858599,2023-09-19T19:12:38.000,2023-09-20T08:30:59.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10014,WEST STREET,WEST STREET,WEST STREET,CHRISTOPHER STREET,WEST STREET,CHRISTOPHER STREET,INTERSECTION,Closed,NYC Parks didn't take action because the issue you reported is out of their jurisdiction.,2023-09-20T08:31:05.000,02 MANHATTAN,MANHATTAN,981381,206104,PHONE,Unspecified,MANHATTAN,40.73238407282097,-74.01035193934565,"{'latitude': '40.73238407282097', 'longitude': '-74.01035193934565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58868144,2023-09-19T19:12:38.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,10025,929 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  105 STREET,WEST  106 STREET,WEST  105 STREET,WEST  106 STREET,ADDRESS,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:12:54.000,07 MANHATTAN,MANHATTAN,994471,230348,ONLINE,Unspecified,MANHATTAN,40.79892213377373,-73.96308367576603,"{'latitude': '40.79892213377373', 'longitude': '-73.96308367576603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,COLUMBUS AVENUE,1018410064,,,,,,,,
58867087,2023-09-19T19:12:26.000,2023-09-19T19:44:36.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10023,2131 BROADWAY,BROADWAY,WEST   74 STREET,WEST   75 STREET,WEST   74 STREET,WEST   75 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T19:44:40.000,07 MANHATTAN,MANHATTAN,989399,223715,MOBILE,Unspecified,MANHATTAN,40.780720742519044,-73.98140786712331,"{'latitude': '40.780720742519044', 'longitude': '-73.98140786712331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1011660024,,,,,,,,
58865501,2023-09-19T19:12:10.000,2023-09-19T19:33:32.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10024,40 WEST   86 STREET,WEST   86 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T19:33:34.000,07 MANHATTAN,MANHATTAN,992296,225624,MOBILE,Unspecified,MANHATTAN,40.78595827715962,-73.97094502421947,"{'latitude': '40.78595827715962', 'longitude': '-73.97094502421947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   86 STREET,1011990055,,,,,,,,
58869234,2023-09-19T19:11:41.000,2023-09-19T20:08:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11205,105 CLERMONT AVENUE,CLERMONT AVENUE,PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T20:09:00.000,02 BROOKLYN,BROOKLYN,992255,192331,PHONE,Unspecified,BROOKLYN,40.69457731822955,-73.97113269916076,"{'latitude': '40.69457731822955', 'longitude': '-73.97113269916076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CLERMONT AVENUE,3020460016,,,,,,,,
58866390,2023-09-19T19:11:38.000,2023-10-23T13:43:11.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park,10029,192 EAST  101 STREET,EAST  101 STREET,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,Closed,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",2023-10-23T13:43:16.000,11 MANHATTAN,MANHATTAN,998819,226566,ONLINE,Unspecified,MANHATTAN,40.78853546891955,-73.94738772738077,"{'latitude': '40.78853546891955', 'longitude': '-73.94738772738077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  101 STREET,1016280042,,,,,,,,
58864626,2023-09-19T19:11:24.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Park/Playground,11232,158 23 STREET,23 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T01:25:41.000,07 BROOKLYN,BROOKLYN,984938,180453,PHONE,Riverside Park,BROOKLYN,40.6619784893449,-73.99752017529036,"{'latitude': '40.6619784893449', 'longitude': '-73.99752017529036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,23 STREET,3006480029,,,,,,,,
58867762,2023-09-19T19:11:20.000,2023-09-27T07:57:36.000,HPD,Department of Housing Preservation and Development,GENERAL,MAILBOX,RESIDENTIAL BUILDING,10462,2198 CRUGER AVENUE,CRUGER AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,11 BRONX,BRONX,1021145,251285,PHONE,Unspecified,BRONX,40.85631703985628,-73.86662717636435,"{'latitude': '40.85631703985628', 'longitude': '-73.86662717636435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,2043190025,,,,,,,,
