unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date
58870259,2023-09-19T16:56:16.000,2023-09-20T04:53:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11355,130-08 57 ROAD,57 ROAD,COLLEGE POINT BOULEVARD,LAWRENCE STREET,COLLEGE POINT BOULEVARD,LAWRENCE STREET,ADDRESS,FLUSHING,57 ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T04:53:57.000,07 QUEENS,4063520005,QUEENS,1030155,211415,MOBILE,Unspecified,QUEENS,40.746842766023995,-73.83432931609637,"{'latitude': '40.746842766023995', 'longitude': '-73.83432931609637', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858255,2023-09-19T16:56:10.000,2023-09-19T17:33:27.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T17:33:30.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868815,2023-09-19T16:56:00.000,2023-09-20T02:10:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10034,11 SEAMAN AVENUE,SEAMAN AVENUE,DYCKMAN ST,CUMMING ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-20T02:10:00.000,12 MANHATTAN,1022370012,MANHATTAN,1004292,254996,PHONE,Unspecified,MANHATTAN,40.86655695619762,-73.92753844657459,"{'latitude': '40.86655695619762', 'longitude': '-73.92753844657459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857587,2023-09-19T16:55:49.000,2023-09-19T17:22:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,5218 9 AVENUE,9 AVENUE,52 STREET,53 STREET,52 STREET,53 STREET,ADDRESS,BROOKLYN,9 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T17:22:22.000,12 BROOKLYN,3056580045,BROOKLYN,983461,171905,ONLINE,Unspecified,BROOKLYN,40.638516077580384,-74.00284286882784,"{'latitude': '40.638516077580384', 'longitude': '-74.00284286882784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866430,2023-09-19T16:55:49.000,2023-09-22T14:07:11.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10303,13 ORINOCO PLACE,ORINOCO PLACE,DE HART AVENUE,ERASTINA PLACE,DE HART AVENUE,ERASTINA PLACE,ADDRESS,STATEN ISLAND,ORINOCO PLACE,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-22T14:07:15.000,01 STATEN ISLAND,5012110069,STATEN ISLAND,940841,171040,PHONE,Unspecified,STATEN ISLAND,40.636035503956734,-74.15640249839188,"{'latitude': '40.636035503956734', 'longitude': '-74.15640249839188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857153,2023-09-19T16:55:43.000,2023-09-21T13:12:52.000,DSNY,Department of Sanitation,Illegal Posting,Sticker or Decal,Sidewalk,11207,JAMAICA AVENUE,JAMAICA AVENUE,JAMAICA AVENUE,MILLER AVENUE,JAMAICA AVENUE,MILLER AVENUE,INTERSECTION,,,Closed,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,2023-09-21T13:12:59.000,05 BROOKLYN,,BROOKLYN,1013876,187096,ONLINE,Unspecified,BROOKLYN,40.6801624866782,-73.89318700925243,"{'latitude': '40.6801624866782', 'longitude': '-73.89318700925243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58870031,2023-09-19T16:55:35.000,2023-09-19T17:57:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11226,161 EAST   19 STREET,EAST   19 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,ALBEMARLE ROAD,BEVERLEY ROAD,ADDRESS,BROOKLYN,EAST   19 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T17:57:09.000,14 BROOKLYN,3051230051,BROOKLYN,994963,174536,PHONE,Unspecified,BROOKLYN,40.64573116344231,-73.96139550306718,"{'latitude': '40.64573116344231', 'longitude': '-73.96139550306718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858421,2023-09-19T16:55:34.000,2023-09-25T13:52:37.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),3+ Family Apartment Building,11216,22 HALSEY STREET,HALSEY STREET,BEDFORD AVENUE,ARLINGTON PLACE,BEDFORD AVENUE,ARLINGTON PLACE,ADDRESS,BROOKLYN,HALSEY STREET,Closed,,2023-09-25T13:52:37.000,03 BROOKLYN,3018420017,BROOKLYN,997392,187561,ONLINE,Unspecified,BROOKLYN,40.681478627500866,-73.95261716905709,"{'latitude': '40.681478627500866', 'longitude': '-73.95261716905709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857621,2023-09-19T16:55:20.000,2023-09-19T17:21:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,1770 66 STREET,66 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,66 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T17:21:13.000,11 BROOKLYN,3055607501,BROOKLYN,986580,164795,MOBILE,Unspecified,BROOKLYN,40.61900035451509,-73.99160716384128,"{'latitude': '40.61900035451509', 'longitude': '-73.99160716384128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869711,2023-09-19T16:55:06.000,2023-09-23T09:18:05.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10456,1341 FRANKLIN AVENUE,FRANKLIN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,03 BRONX,2029310082,BRONX,1011599,242686,PHONE,Unspecified,BRONX,40.83275005391324,-73.90117032960677,"{'latitude': '40.83275005391324', 'longitude': '-73.90117032960677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857170,2023-09-19T16:55:00.000,2023-09-20T02:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,11215,,,,,PROSPECT PARK CIRCLE,PARKSIDE AVENUE,INTERSECTION,BROOKLYN,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-20T02:20:00.000,55 BROOKLYN,,BROOKLYN,992075,176553,UNKNOWN,Unspecified,BROOKLYN,40.6512704137436,-73.97180012465965,"{'latitude': '40.6512704137436', 'longitude': '-73.97180012465965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58856457,2023-09-19T16:54:37.000,2023-09-19T18:03:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10301,34 CURTIS PLACE,CURTIS PLACE,HAMILTON AVENUE,WESTERVELT AVENUE,HAMILTON AVENUE,WESTERVELT AVENUE,ADDRESS,STATEN ISLAND,CURTIS PLACE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T18:03:59.000,01 STATEN ISLAND,5000300018,STATEN ISLAND,961012,174038,MOBILE,Unspecified,STATEN ISLAND,40.64434025403751,-74.08373683438364,"{'latitude': '40.64434025403751', 'longitude': '-74.08373683438364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
