unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,road_ramp,due_date,taxi_pick_up_location
58869820,2023-09-19T14:57:48.000,2023-11-14T13:29:18.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11216,339 MACON STREET,MACON STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-14T00:00:00.000,03 BROOKLYN,3018470041,BROOKLYN,1001347,187894,PHONE,Unspecified,BROOKLYN,40.6823858810056,-73.93835677146353,"{'latitude': '40.6823858810056', 'longitude': '-73.93835677146353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58864363,2023-09-19T14:57:39.000,2023-11-22T15:13:06.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11221,249 WOODBINE STREET,WOODBINE STREET,ADDRESS,BROOKLYN,Closed,"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NYC Tree Map for a new inspection.   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.",2023-11-22T15:13:33.000,04 BROOKLYN,3033520049,BROOKLYN,1008067,192576,PHONE,Unspecified,BROOKLYN,40.69522135822496,-73.91411127505327,"{'latitude': '40.69522135822496', 'longitude': '-73.91411127505327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WILSON AVENUE,KNICKERBOCKER AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,WOODBINE STREET,,,,,,,
58860915,2023-09-19T14:57:38.000,2023-09-23T07:21:09.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11209,8523 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T07:21:13.000,10 BROOKLYN,3060370001,BROOKLYN,977492,165345,PHONE,Unspecified,BROOKLYN,40.62050771899987,-74.0243433769454,"{'latitude': '40.62050771899987', 'longitude': '-74.0243433769454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",85 STREET,86 STREET,85 STREET,86 STREET,FORT HAMILTON PARKWAY,,,,,,,
58861361,2023-09-19T14:57:38.000,2023-09-19T15:00:26.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10034,DYCKMAN STREET,DYCKMAN STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T15:00:31.000,12 MANHATTAN,,MANHATTAN,1003614,255446,ONLINE,Unspecified,MANHATTAN,40.86779358224087,-73.92998844410148,"{'latitude': '40.86779358224087', 'longitude': '-73.92998844410148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DYCKMAN STREET,STAFF STREET,DYCKMAN STREET,STAFF STREET,,,,,,,,
58864014,2023-09-19T14:57:37.000,2023-09-28T13:39:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11691,311 BEACH   32 STREET,BEACH   32 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,14 QUEENS,4159450001,QUEENS,1049596,156544,ONLINE,Unspecified,QUEENS,40.59611245733169,-73.76469916780019,"{'latitude': '40.59611245733169', 'longitude': '-73.76469916780019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58856263,2023-09-19T14:57:35.000,,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10451,2773 3 AVENUE,3 AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-19T00:00:00.000,01 BRONX,2023270001,BRONX,1006350,236116,PHONE,Unspecified,BRONX,40.81473196950131,-73.92015999756622,"{'latitude': '40.81473196950131', 'longitude': '-73.92015999756622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58860720,2023-09-19T14:57:35.000,2023-09-20T09:46:47.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,10462,2133 WALLACE AVENUE,WALLACE AVENUE,ADDRESS,BRONX,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-20T09:46:47.000,11 BRONX,2042910024,BRONX,1021641,250439,PHONE,Unspecified,BRONX,40.853992938306924,-73.86483889295916,"{'latitude': '40.853992938306924', 'longitude': '-73.86483889295916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRADY AVENUE,LYDIG AVENUE,BRADY AVENUE,LYDIG AVENUE,WALLACE AVENUE,,,,,,,
58869045,2023-09-19T14:57:27.000,2023-09-19T15:46:50.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11231,64 2 STREET,2 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T15:46:56.000,06 BROOKLYN,3004600031,BROOKLYN,986021,186518,ONLINE,Unspecified,BROOKLYN,40.67862540783542,-73.99361502059199,"{'latitude': '40.67862540783542', 'longitude': '-73.99361502059199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SMITH STREET,HOYT STREET,SMITH STREET,HOYT STREET,2 STREET,,,,,,,
58866223,2023-09-19T14:57:24.000,2023-09-28T12:53:39.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10309,91 SHARROTTS ROAD,SHARROTTS ROAD,ADDRESS,STATEN ISLAND,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-28T12:53:46.000,03 STATEN ISLAND,5072670013,STATEN ISLAND,922800,135175,ONLINE,Unspecified,STATEN ISLAND,40.5374867596824,-74.22107780371815,"{'latitude': '40.5374867596824', 'longitude': '-74.22107780371815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WHITE OAK LANE,ROBIN COURT,WHITE OAK LANE,ROBIN COURT,SHARROTTS ROAD,,,,,,,
58857289,2023-09-19T14:57:02.000,2023-09-19T15:11:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10031,514 WEST  136 STREET,WEST  136 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T15:11:15.000,09 MANHATTAN,1019880118,MANHATTAN,997300,238040,ONLINE,Unspecified,MANHATTAN,40.82003081301524,-73.952850909447,"{'latitude': '40.82003081301524', 'longitude': '-73.952850909447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,,,,,,,
58889002,2023-09-19T14:56:46.000,2023-09-21T12:29:09.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10014,270 BLEECKER STREET,BLEECKER STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T12:29:13.000,02 MANHATTAN,1005860061,MANHATTAN,983385,205750,MOBILE,Unspecified,MANHATTAN,40.73141285267358,-74.0031210515874,"{'latitude': '40.73141285267358', 'longitude': '-74.0031210515874', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORNELIA STREET,MORTON STREET,CORNELIA STREET,MORTON STREET,BLEECKER STREET,,,,,,,
