unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,taxi_company_borough,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58865457,2023-09-19T13:10:27.000,2023-09-19T13:33:37.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11212,345 EAST   98 STREET,EAST   98 STREET,GRAFTON STREET,LEGION STREET,GRAFTON STREET,LEGION STREET,ADDRESS,BROOKLYN,EAST   98 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T13:33:40.000,16 BROOKLYN,3035940016,BROOKLYN,1007316,179587,ONLINE,Unspecified,BROOKLYN,40.659571493658696,-73.9168639804701,"{'latitude': '40.659571493658696', 'longitude': '-73.9168639804701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861084,2023-09-19T13:10:23.000,2023-09-19T14:10:17.000,NYPD,New York City Police Department,Illegal Parking,Detached Trailer,Street/Sidewalk,11101,27-20 42 ROAD,42 ROAD,27 STREET,28 STREET,27 STREET,28 STREET,ADDRESS,LONG ISLAND CITY,42 ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T14:10:20.000,02 QUEENS,4004310017,QUEENS,1000793,212268,ONLINE,Unspecified,QUEENS,40.749287710434885,-73.9402943189619,"{'latitude': '40.749287710434885', 'longitude': '-73.9402943189619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856624,2023-09-19T13:10:03.000,2023-11-14T08:31:23.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10469,1285 MACE AVENUE,MACE AVENUE,BOUCK AVENUE,WILSON AVENUE,BOUCK AVENUE,WILSON AVENUE,ADDRESS,BRONX,MACE AVENUE,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-14T08:31:26.000,11 BRONX,2044680004,BRONX,1025820,253688,ONLINE,Unspecified,BRONX,40.862891768501484,-73.84971250887132,"{'latitude': '40.862891768501484', 'longitude': '-73.84971250887132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868004,2023-09-19T13:10:03.000,2023-09-19T14:24:51.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T14:24:49.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904316,2023-09-19T13:10:01.000,2023-09-23T13:34:38.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Street Not Swept,Street,11225,28 STODDARD PLACE,STODDARD PLACE,MONTGOMERY STREET,SULLIVAN PLACE,MONTGOMERY STREET,SULLIVAN PLACE,ADDRESS,BROOKLYN,STODDARD PLACE,Closed,The Department of Sanitation cleaned the location.,2023-09-16T07:33:06.000,09 BROOKLYN,3013040034,BROOKLYN,996461,181553,PHONE,Unspecified,BROOKLYN,40.66498935199688,-73.95598472726819,"{'latitude': '40.66498935199688', 'longitude': '-73.95598472726819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870242,2023-09-19T13:09:53.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Bare Hands in Contact w/ Food,Restaurant/Bar/Deli/Bakery,11432,166-14 HILLSIDE AVENUE,HILLSIDE AVENUE,166 STREET,167 STREET,166 STREET,167 STREET,ADDRESS,JAMAICA,HILLSIDE AVENUE,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-20T07:55:15.000,12 QUEENS,4098180062,QUEENS,1040753,197861,PHONE,Unspecified,QUEENS,40.70957907795082,-73.7961951746628,"{'latitude': '40.70957907795082', 'longitude': '-73.7961951746628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859215,2023-09-19T13:09:47.000,2023-09-19T16:33:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,2069 BAY RIDGE AVENUE,BAY RIDGE AVENUE,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:33:42.000,11 BROOKLYN,3055790049,BROOKLYN,987908,162755,ONLINE,Unspecified,BROOKLYN,40.613400528273345,-73.98682471272753,"{'latitude': '40.613400528273345', 'longitude': '-73.98682471272753', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860575,2023-09-19T13:09:46.000,2023-09-29T12:48:22.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11373,42-70 HAMPTON STREET,HAMPTON STREET,WHITNEY AVENUE,LAMONT AVENUE,WHITNEY AVENUE,LAMONT AVENUE,ADDRESS,ELMHURST,HAMPTON STREET,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-29T12:48:26.000,04 QUEENS,4015700018,QUEENS,1018663,210301,ONLINE,Unspecified,QUEENS,40.74383730684234,-73.8758094637249,"{'latitude': '40.74383730684234', 'longitude': '-73.8758094637249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867045,2023-09-19T13:09:40.000,2023-09-19T13:24:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10306,3034 RICHMOND ROAD,RICHMOND ROAD,GELDNER AVENUE,BEACON AVENUE,GELDNER AVENUE,BEACON AVENUE,ADDRESS,STATEN ISLAND,RICHMOND ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:24:38.000,03 STATEN ISLAND,5043020087,STATEN ISLAND,950112,149017,MOBILE,Unspecified,STATEN ISLAND,40.57562751159184,-74.12288784640855,"{'latitude': '40.57562751159184', 'longitude': '-74.12288784640855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862173,2023-09-19T13:09:34.000,2023-09-19T13:52:39.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T13:52:44.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
