unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58865277,2023-09-19T11:52:02.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11249,35 KENT AVENUE,KENT AVENUE,ADDRESS,BROOKLYN,N/A,Open,The propery is owned by a Federal or State Agency. The City will attempt to notify the appropriate agency.,2023-09-19T11:52:02.000,01 BROOKLYN,3022880001,BROOKLYN,995661,202686,UNKNOWN,Unspecified,BROOKLYN,40.72299560153062,-73.95883257473963,"{'latitude': '40.72299560153062', 'longitude': '-73.95883257473963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58855698,2023-09-19T11:52:00.000,DOT,Department of Transportation,Traffic Signal Condition,Cable,,10017,,,INTERSECTION,MANHATTAN,N/A,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-23T09:30:00.000,05 MANHATTAN,,MANHATTAN,990886,215158,UNKNOWN,Unspecified,MANHATTAN,40.75723301154987,-73.97604702088242,"{'latitude': '40.75723301154987', 'longitude': '-73.97604702088242', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-23T09:30:00.000,MADISON AVENUE,EAST 49 STREET,,,,,,,,,
58861130,2023-09-19T11:52:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,66-25 53 AVENUE,53 AVENUE,ADDRESS,MASPETH,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T20:23:37.000,05 QUEENS,4024080042,QUEENS,1012285,205754,MOBILE,Unspecified,QUEENS,40.731379444729015,-73.8988454834529,"{'latitude': '40.731379444729015', 'longitude': '-73.8988454834529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T20:23:33.000,66 STREET,68 STREET,66 STREET,68 STREET,53 AVENUE,,,,,,
58855462,2023-09-19T11:51:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10029,146 EAST   98 STREET,EAST   98 STREET,ADDRESS,NEW YORK,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-19T11:53:34.000,11 MANHATTAN,1016250047,MANHATTAN,998202,226006,ONLINE,Unspecified,MANHATTAN,40.78699941473998,-73.94961703007391,"{'latitude': '40.78699941473998', 'longitude': '-73.94961703007391', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:53:29.000,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,EAST   98 STREET,,,,,,
58858611,2023-09-19T11:51:40.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016,208 EAST   28 STREET,EAST   28 STREET,ADDRESS,NEW YORK,,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:20.000,06 MANHATTAN,1009080047,MANHATTAN,989655,209538,ONLINE,Unspecified,MANHATTAN,40.74180836717385,-73.98049489472714,"{'latitude': '40.74180836717385', 'longitude': '-73.98049489472714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-04T10:10:15.000,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   28 STREET,,,,,,
58860920,2023-09-19T11:51:32.000,DSNY,Department of Sanitation,Street Sweeping Complaint,Inadequate Sweeping,Street,11226,2220 VANDERVEER PLACE,VANDERVEER PLACE,ADDRESS,BROOKLYN,,Closed,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T14:06:49.000,14 BROOKLYN,3051880030,BROOKLYN,996299,173171,PHONE,Unspecified,BROOKLYN,40.64198281582489,-73.95658364062837,"{'latitude': '40.64198281582489', 'longitude': '-73.95658364062837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T14:06:49.000,FLATBUSH AVENUE,EAST   23 STREET,FLATBUSH AVENUE,EAST   23 STREET,VANDERVEER PLACE,,,,,,
58856547,2023-09-19T11:51:28.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Dust from Construction,3+ Family Apartment Building,10128,305 EAST   92 STREET,EAST   92 STREET,ADDRESS,NEW YORK,,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-19T12:59:32.000,08 MANHATTAN,1015550005,MANHATTAN,998504,224009,PHONE,Unspecified,MANHATTAN,40.781517700571726,-73.94853069582386,"{'latitude': '40.781517700571726', 'longitude': '-73.94853069582386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T12:59:32.000,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   92 STREET,,,,,,
58870183,2023-09-19T11:51:14.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11355,41-62 BOWNE STREET,BOWNE STREET,ADDRESS,FLUSHING,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-19T11:51:14.000,07 QUEENS,4051817503,QUEENS,1033286,215456,PHONE,Unspecified,QUEENS,40.757917457405355,-73.82300012991934,"{'latitude': '40.757917457405355', 'longitude': '-73.82300012991934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T11:51:14.000,SANFORD AVENUE,FRANKLIN AVENUE,SANFORD AVENUE,FRANKLIN AVENUE,BOWNE STREET,,,,,,
58866249,2023-09-19T11:51:08.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11237,353 HIMROD STREET,HIMROD STREET,ADDRESS,BROOKLYN,,In Progress,,,04 BROOKLYN,3032700041,BROOKLYN,1007149,195263,MOBILE,Unspecified,BROOKLYN,40.70259896603564,-73.91741262357868,"{'latitude': '40.70259896603564', 'longitude': '-73.91741262357868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,IRVING AVENUE,WYCKOFF AVENUE,IRVING AVENUE,WYCKOFF AVENUE,HIMROD STREET,,,,,,
58862015,2023-09-19T11:51:04.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10002,248 BROOME STREET,BROOME STREET,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,03 MANHATTAN,1004090027,MANHATTAN,987113,200850,PHONE,Unspecified,MANHATTAN,40.717963120574815,-73.98967194504654,"{'latitude': '40.717963120574815', 'longitude': '-73.98967194504654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T15:27:42.000,,,,,,,,,,,
