unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough,taxi_pick_up_location,road_ramp,due_date
58858268,2023-09-19T10:22:42.000,2023-09-19T10:49:19.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10017,295 MADISON AVENUE,MADISON AVENUE,EAST   40 STREET,EAST   41 STREET,EAST   40 STREET,EAST   41 STREET,ADDRESS,NEW YORK,MADISON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T10:49:17.000,05 MANHATTAN,1012750050,MANHATTAN,989829,213250,PHONE,Unspecified,MANHATTAN,40.751996766736994,-73.97986389906207,"{'latitude': '40.751996766736994', 'longitude': '-73.97986389906207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58855470,2023-09-19T10:22:29.000,2023-09-19T10:43:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11215,325 NEVINS STREET,NEVINS STREET,PRESIDENT STREET,CARROLL STREET,PRESIDENT STREET,CARROLL STREET,ADDRESS,BROOKLYN,NEVINS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T10:43:22.000,06 BROOKLYN,3004470007,BROOKLYN,987613,186425,ONLINE,Unspecified,BROOKLYN,40.67836968221903,-73.98787543565203,"{'latitude': '40.67836968221903', 'longitude': '-73.98787543565203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858328,2023-09-19T10:22:16.000,2023-09-19T11:15:16.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11231,363 BOND STREET,BOND STREET,CARROLL STREET,1 STREET,CARROLL STREET,1 STREET,ADDRESS,BROOKLYN,BOND STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T11:15:22.000,06 BROOKLYN,3004520001,BROOKLYN,986794,186359,PHONE,Unspecified,BROOKLYN,40.678188800410695,-73.99082818673837,"{'latitude': '40.678188800410695', 'longitude': '-73.99082818673837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856218,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858139,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856341,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865818,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856379,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862075,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859997,2023-09-19T10:22:14.000,2023-09-22T11:01:33.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11691,14-10 NEW HAVEN AVENUE,NEW HAVEN AVENUE,,,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,14 QUEENS,4156220100,QUEENS,1054142,157374,PHONE,Unspecified,QUEENS,40.59835594693631,-73.7483212256282,"{'latitude': '40.59835594693631', 'longitude': '-73.7483212256282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
