unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58864001,2023-09-19T06:50:55.000,2023-10-05T06:59:14.000,HPD,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58865915,2023-09-19T06:50:55.000,2023-10-05T06:59:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11220,5511 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,07 BROOKLYN,3008340005,BROOKLYN,981768,172269,PHONE,Unspecified,BROOKLYN,40.63951486715956,-74.00894310019692,"{'latitude': '40.63951486715956', 'longitude': '-74.00894310019692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58861478,2023-09-19T06:50:36.000,2023-09-19T10:55:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10472,1128 MANOR AVENUE,MANOR AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T10:55:21.000,09 BRONX,2037430016,BRONX,1018563,240734,PHONE,Unspecified,BRONX,40.827368067804294,-73.87601489627394,"{'latitude': '40.827368067804294', 'longitude': '-73.87601489627394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,MANOR AVENUE,,,,,,,
58877598,2023-09-19T06:50:34.000,2023-09-19T11:15:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10451,EAST  138 STREET,EAST  138 STREET,BLOCKFACE,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T11:15:00.000,01 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,GRAND CONCOURSE,PARK AVENUE,,,,N/A,,,,,,
58857308,2023-09-19T06:50:17.000,2023-09-19T08:25:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11372,76-10 34 AVENUE,34 AVENUE,ADDRESS,JACKSON HEIGHTS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T08:25:44.000,03 QUEENS,4012630001,QUEENS,1014614,213692,MOBILE,Unspecified,QUEENS,40.75315957009566,-73.89040627429479,"{'latitude': '40.75315957009566', 'longitude': '-73.89040627429479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",76 STREET,77 STREET,76 STREET,77 STREET,34 AVENUE,,,,,,,
58865430,2023-09-19T06:50:07.000,2023-09-19T06:50:07.000,DOB,Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,,10011,350 WEST   24 STREET,WEST   24 STREET,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-19T00:00:00.000,04 MANHATTAN,1007470001,MANHATTAN,984126,211365,UNKNOWN,Unspecified,MANHATTAN,40.74682467606051,-74.00044751436617,"{'latitude': '40.74682467606051', 'longitude': '-74.00044751436617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,N/A,,,,,,
58865265,2023-09-19T06:50:07.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,10302,126 TREADWELL AVENUE,TREADWELL AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-25T00:00:00.000,01 STATEN ISLAND,5010880051,STATEN ISLAND,945886,171255,UNKNOWN,Unspecified,STATEN ISLAND,40.63664891995359,-74.1382266328686,"{'latitude': '40.63664891995359', 'longitude': '-74.1382266328686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58880234,2023-09-19T06:49:20.000,2023-09-19T11:05:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10451,,,INTERSECTION,BRONX,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-19T11:05:00.000,01 BRONX,,BRONX,1003813,235345,UNKNOWN,Unspecified,BRONX,40.81262177278995,-73.92932758379884,"{'latitude': '40.81262177278995', 'longitude': '-73.92932758379884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,PARK AVENUE,EAST 138 STREET,,N/A,,,,,,
58868676,2023-09-19T06:49:08.000,2023-09-21T13:42:38.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11219,6522 11 AVENUE,11 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T13:42:41.000,10 BROOKLYN,3057510047,BROOKLYN,982549,168242,MOBILE,Unspecified,BROOKLYN,40.628461791325584,-74.0061279992174,"{'latitude': '40.628461791325584', 'longitude': '-74.0061279992174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",65 STREET,66 STREET,65 STREET,66 STREET,11 AVENUE,,,,,,,
58866936,2023-09-19T06:49:06.000,2023-09-19T16:25:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,72 BAY    8 STREET,BAY    8 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T16:25:37.000,11 BROOKLYN,3063580058,BROOKLYN,981034,161731,ONLINE,Unspecified,BROOKLYN,40.61059003059875,-74.01158281574251,"{'latitude': '40.61059003059875', 'longitude': '-74.01158281574251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,BAY    8 STREET,,,,,,,
58859522,2023-09-19T06:49:04.000,2023-09-19T08:05:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230,222 PARKVILLE AVENUE,PARKVILLE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T08:07:23.000,14 BROOKLYN,3054287501,BROOKLYN,992468,169305,ONLINE,Unspecified,BROOKLYN,40.63137585328764,-73.97039265288183,"{'latitude': '40.63137585328764', 'longitude': '-73.97039265288183', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PARKWAY,EAST    8 STREET,OCEAN PARKWAY,EAST    8 STREET,PARKVILLE AVENUE,,,,,,,
58868447,2023-09-19T06:49:02.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10019,206 WEST   51 STREET,WEST   51 STREET,ADDRESS,NEW YORK,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-19T09:11:43.000,05 MANHATTAN,1010220035,MANHATTAN,988858,216874,ONLINE,Unspecified,MANHATTAN,40.761944281442496,-73.98336601350574,"{'latitude': '40.761944281442496', 'longitude': '-73.98336601350574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,BROADWAY,7 AVENUE,BROADWAY,WEST   51 STREET,,,,,,,
