unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough,road_ramp,vehicle_type
58848397,2023-09-18T20:48:56.000,2023-09-27T14:02:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10010,245 3 AVENUE,3 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,06 MANHATTAN,1009010001,MANHATTAN,988564,207804,PHONE,Unspecified,MANHATTAN,40.737049567125176,-73.98443311486075,"{'latitude': '40.737049567125176', 'longitude': '-73.98443311486075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58846356,2023-09-18T20:48:54.000,2023-09-21T20:51:21.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11210,2325 FOSTER AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-21T20:51:23.000,14 BROOKLYN,3052240150,BROOKLYN,996736,171707,ONLINE,Unspecified,BROOKLYN,40.63796384442136,-73.95501170090334,"{'latitude': '40.63796384442136', 'longitude': '-73.95501170090334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   23 STREET,EAST   24 STREET,EAST   23 STREET,EAST   24 STREET,FOSTER AVENUE,,,,,,,,,
58869988,2023-09-18T20:48:54.000,2023-09-18T20:48:54.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11693,88-02 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-18T00:00:00.000,14 QUEENS,4161230086,QUEENS,1036138,153302,UNKNOWN,Unspecified,QUEENS,40.587302845261114,-73.81318407346318,"{'latitude': '40.587302845261114', 'longitude': '-73.81318407346318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58846795,2023-09-18T20:48:33.000,2023-09-18T21:17:30.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,2409 AVENUE Z,AVENUE Z,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T21:17:33.000,15 BROOKLYN,3074417501,BROOKLYN,999433,153857,MOBILE,Unspecified,BROOKLYN,40.58896507575402,-73.94533428058796,"{'latitude': '40.58896507575402', 'longitude': '-73.94533428058796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   24 STREET,BEDFORD AVENUE,EAST   24 STREET,BEDFORD AVENUE,AVENUE Z,,,,,,,,,
58853279,2023-09-18T20:48:25.000,2023-09-18T21:44:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,65 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T21:44:27.000,09 BRONX,,BRONX,1025754,233095,MOBILE,Unspecified,BRONX,40.80637032311237,-73.85007853673036,"{'latitude': '40.80637032311237', 'longitude': '-73.85007853673036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HORIZON LANE,PUGSLEY AVENUE,HORIZON LANE,PUGSLEY AVENUE,SOUNDVIEW AVENUE,,,,,,,,,
58848915,2023-09-18T20:48:18.000,2023-09-18T21:56:00.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10306,3189 RICHMOND ROAD,RICHMOND ROAD,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T21:56:03.000,02 STATEN ISLAND,5022420080,STATEN ISLAND,948882,149101,MOBILE,Unspecified,STATEN ISLAND,40.57585325327913,-74.12731595716478,"{'latitude': '40.57585325327913', 'longitude': '-74.12731595716478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROCKLAND AVENUE,MORLEY AVENUE,ROCKLAND AVENUE,MORLEY AVENUE,RICHMOND ROAD,,,,,,,,,
58855103,2023-09-18T20:48:13.000,2023-09-19T12:43:07.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10033,53 OVERLOOK TERRACE,OVERLOOK TERRACE,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-09-19T12:43:09.000,12 MANHATTAN,1021800035,MANHATTAN,1001860,250416,MOBILE,Unspecified,MANHATTAN,40.8539914240274,-73.9363433364758,"{'latitude': '40.8539914240274', 'longitude': '-73.9363433364758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  186 STREET,WEST  187 STREET,WEST  186 STREET,WEST  187 STREET,OVERLOOK TERRACE,,,,,,,,,
58848746,2023-09-18T20:48:11.000,2023-10-03T15:33:06.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11354,136-59 37 AVENUE,37 AVENUE,ADDRESS,FLUSHING,Closed,"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-03T15:33:10.000,07 QUEENS,4049770082,QUEENS,1031527,216933,PHONE,Unspecified,QUEENS,40.76198101672253,-73.8293389960971,"{'latitude': '40.76198101672253', 'longitude': '-73.8293389960971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",138 STREET,UNION STREET,138 STREET,UNION STREET,37 AVENUE,,,,,,,,,
58851782,2023-09-18T20:48:10.000,2023-09-18T21:25:21.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11215,463 7 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T21:25:25.000,07 BROOKLYN,3011080008,BROOKLYN,988338,180629,MOBILE,Unspecified,BROOKLYN,40.662460653462475,-73.9852651210233,"{'latitude': '40.662460653462475', 'longitude': '-73.9852651210233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16 STREET,WINDSOR PLACE,16 STREET,WINDSOR PLACE,7 AVENUE,,,,,,,,,
58851184,2023-09-18T20:48:05.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,11369,LAGUARDIA AIRPORT,LAGUARDIA AIRPORT,UNRECOGNIZED,EAST ELMHURST,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T11:24:34.000,80 QUEENS,4009260001,QUEENS,1018236,221443,PHONE,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,LA GUARDIA AIRPORT,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,,,,,,,
58852706,2023-09-18T20:48:01.000,2023-09-19T01:12:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11421,82-01 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,WOODHAVEN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T01:12:25.000,09 QUEENS,4089620054,QUEENS,1023459,189009,ONLINE,Unspecified,QUEENS,40.68537596878957,-73.85862557313865,"{'latitude': '40.68537596878957', 'longitude': '-73.85862557313865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",82 PLACE,83 STREET,82 PLACE,83 STREET,ATLANTIC AVENUE,,,,,,,,,
58845329,2023-09-18T20:47:54.000,2023-09-18T21:17:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,135-46 GRAND CENTRAL PARKWAY,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T21:18:00.000,08 QUEENS,4066367501,QUEENS,1033372,200238,MOBILE,Unspecified,QUEENS,40.71614741962241,-73.82280082446177,"{'latitude': '40.71614741962241', 'longitude': '-73.82280082446177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",135 STREET,UNION TURNPIKE,135 STREET,UNION TURNPIKE,GRAND CENTRAL PARKWAY SR EB,,,,,,,,,
58847515,2023-09-18T20:47:48.000,2023-09-18T20:49:40.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10011,131 WEST   14 STREET,WEST   14 STREET,ADDRESS,NEW YORK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-18T20:49:44.000,04 MANHATTAN,1007900018,MANHATTAN,984840,208078,ONLINE,Unspecified,MANHATTAN,40.7378026617673,-73.99787098609319,"{'latitude': '40.7378026617673', 'longitude': '-73.99787098609319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,WEST   14 STREET,,,,,,,,,
58854168,2023-09-18T20:47:37.000,2023-10-17T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11216,465 MARCUS GARVEY BOULEVARD,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,Closed,"The City inspected the property for cleaning, but no graffiti was found.",2023-10-18T06:53:52.000,03 BROOKLYN,3016740079,BROOKLYN,1001536,187454,UNKNOWN,Unspecified,BROOKLYN,40.681177814288105,-73.93767646095043,"{'latitude': '40.681177814288105', 'longitude': '-73.93767646095043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,2023-10-18T20:47:37.000,,,,,,
58849072,2023-09-18T20:47:00.000,2023-09-19T21:43:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,11205,168 CLERMONT AVENUE,CLERMONT AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T21:43:00.000,02 BROOKLYN,3020740034,BROOKLYN,992358,191621,ONLINE,Unspecified,BROOKLYN,40.69262843889207,-73.97076211942806,"{'latitude': '40.69262843889207', 'longitude': '-73.97076211942806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MYRTLE AVE,WILLOUGHBY AVE,,,,,N/A,,,,,,,
58846754,2023-09-18T20:46:51.000,2023-09-18T21:09:35.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Street/Sidewalk,10011,HUDSON RIVER PARK,HUDSON RIVER PARK,UNRECOGNIZED,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T21:09:38.000,04 MANHATTAN,1200989999,MANHATTAN,981762,212451,PHONE,Unspecified,MANHATTAN,40.74980512361341,-74.00897956095878,"{'latitude': '40.74980512361341', 'longitude': '-74.00897956095878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   23 STREET,WEST   24 STREET,WEST   23 STREET,WEST   24 STREET,HUDSON RIVER PARK,,,,,,,,,
58853049,2023-09-18T20:46:50.000,2023-09-18T23:03:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11225,572 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T23:03:42.000,09 BROOKLYN,3050260099,BROOKLYN,995184,179648,ONLINE,Unspecified,BROOKLYN,40.65976221767591,-73.9605908380011,"{'latitude': '40.65976221767591', 'longitude': '-73.9605908380011', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEEKMAN PLACE,MIDWOOD STREET,BEEKMAN PLACE,MIDWOOD STREET,FLATBUSH AVENUE,,,,,,,,,
58846117,2023-09-18T20:46:41.000,2023-09-18T20:46:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11377,55-12 ROOSEVELT AVENUE,ROOSEVELT AVENUE,ADDRESS,WOODSIDE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-18T20:46:41.000,02 QUEENS,4013250050,QUEENS,1009366,210702,MOBILE,Unspecified,QUEENS,40.74496924197317,-73.90935919517446,"{'latitude': '40.74496924197317', 'longitude': '-73.90935919517446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",55 STREET,56 STREET,55 STREET,56 STREET,ROOSEVELT AVENUE,,,,,,,,,
58850106,2023-09-18T20:46:40.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11211,456 GRAND STREET,GRAND STREET,ADDRESS,BROOKLYN,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-19T16:34:36.000,01 BROOKLYN,3023990001,BROOKLYN,997393,198399,MOBILE,Unspecified,BROOKLYN,40.711226412656714,-73.9525924157633,"{'latitude': '40.711226412656714', 'longitude': '-73.9525924157633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KEAP STREET,BORINQUEN PLACE,KEAP STREET,BORINQUEN PLACE,GRAND STREET,,,,,,,,,
58847584,2023-09-18T20:46:29.000,2023-09-19T13:45:59.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11204,5901 18 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-19T04:45:48.000,12 BROOKLYN,3055120007,BROOKLYN,987929,166078,ONLINE,Unspecified,BROOKLYN,40.62252146465356,-73.98674726472215,"{'latitude': '40.62252146465356', 'longitude': '-73.98674726472215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",59 STREET,60 STREET,59 STREET,60 STREET,18 AVENUE,,,,,,,,,
58846688,2023-09-18T20:46:17.000,2023-09-18T21:43:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11207,DEWITT AVENUE,DEWITT AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T21:43:03.000,05 BROOKLYN,,BROOKLYN,1012926,178335,PHONE,Unspecified,BROOKLYN,40.65611863977343,-73.89664938435196,"{'latitude': '40.65611863977343', 'longitude': '-73.89664938435196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEWITT AVENUE,HINSDALE STREET,DEWITT AVENUE,HINSDALE STREET,,,,,,,,,,
58854325,2023-09-18T20:46:15.000,2023-09-18T21:06:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,438 QUENTIN ROAD,QUENTIN ROAD,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T21:06:41.000,15 BROOKLYN,3066600009,BROOKLYN,992648,160415,PHONE,Unspecified,BROOKLYN,40.606974484623635,-73.96975521755397,"{'latitude': '40.606974484623635', 'longitude': '-73.96975521755397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,QUENTIN ROAD,,,,,,,,,
58854169,2023-09-18T20:45:59.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11216,411 TOMPKINS AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:29:10.000,03 BROOKLYN,3018350003,BROOKLYN,999805,188268,UNKNOWN,Unspecified,BROOKLYN,40.683415269712846,-73.9439155870674,"{'latitude': '40.683415269712846', 'longitude': '-73.9439155870674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,2023-11-14T07:29:10.000,,,,,,
58855084,2023-09-18T20:45:59.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-28T08:07:01.000,Unspecified BROOKLYN,,BROOKLYN,979287,172942,MOBILE,Unspecified,BROOKLYN,40.641361065264945,-74.01788309207973,"{'latitude': '40.641361065264945', 'longitude': '-74.01788309207973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,N,N R to Manhattan,Platform,,,
58855268,2023-09-18T20:45:50.000,2023-09-20T16:08:12.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,E-Cigarette Sales,Business,10034,232 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,"The Department of Consumer and Worker Protection (DCWP) closed your NYC311 Service Request.   DCWP couldn't take action on your complaint because it didn't include important details, such as your contact information or the business's name or location.  If you would like to pursue this complaint, you can file a new NYC311 Service Request. Please provide more information about the complaint so DCWP can help you.",2023-09-20T16:08:14.000,12 MANHATTAN,1022270029,MANHATTAN,1006453,254761,ONLINE,Unspecified,MANHATTAN,40.86590678189336,-73.91972616592787,"{'latitude': '40.86590678189336', 'longitude': '-73.91972616592787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  207 STREET,ISHAM STREET,WEST  207 STREET,ISHAM STREET,SHERMAN AVENUE,,,,,,,,,
