unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date,vehicle_type
58958039,2023-09-29T22:49:52.000,2023-09-29T23:20:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,123-19 INWOOD STREET,INWOOD STREET,123 AVENUE,ROCKAWAY BOULEVARD,123 AVENUE,ROCKAWAY BOULEVARD,ADDRESS,JAMAICA,INWOOD STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T23:20:29.000,12 QUEENS,4120490006,QUEENS,1041649,185159,ONLINE,Unspecified,QUEENS,40.674709351868664,-73.7930715674165,"{'latitude': '40.674709351868664', 'longitude': '-73.7930715674165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58962522,2023-09-29T22:49:48.000,2023-09-29T23:08:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10021,967 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   70 STREET,EAST   71 STREET,EAST   70 STREET,EAST   71 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T23:08:09.000,08 MANHATTAN,1014050021,MANHATTAN,994493,219552,ONLINE,Unspecified,MANHATTAN,40.769289965565335,-73.9630206769355,"{'latitude': '40.769289965565335', 'longitude': '-73.9630206769355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58958057,2023-09-29T22:49:47.000,2023-09-29T23:07:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,7 WEST   16 STREET,WEST   16 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   16 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:07:29.000,05 MANHATTAN,1008180035,MANHATTAN,986115,208004,ONLINE,Unspecified,MANHATTAN,40.73759937312752,-73.9932701714825,"{'latitude': '40.73759937312752', 'longitude': '-73.9932701714825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58968105,2023-09-29T22:49:37.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10002,402 GRAND STREET,GRAND STREET,SUFFOLK STREET,CLINTON STREET,SUFFOLK STREET,CLINTON STREET,ADDRESS,NEW YORK,GRAND STREET,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T09:12:08.000,03 MANHATTAN,1003467501,MANHATTAN,987859,200150,ONLINE,Unspecified,MANHATTAN,40.716041515569714,-73.98698118206538,"{'latitude': '40.716041515569714', 'longitude': '-73.98698118206538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","402 GRAND STREET, MANHATTAN (NEW YORK), NY, 10002",,,,,,,
58957972,2023-09-29T22:49:30.000,2023-09-29T23:07:22.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,108 WEST HOUSTON STREET,WEST HOUSTON STREET,THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,ADDRESS,NEW YORK,WEST HOUSTON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:07:24.000,02 MANHATTAN,1005250025,MANHATTAN,984045,204270,ONLINE,Unspecified,MANHATTAN,40.727350654273856,-74.00073962609699,"{'latitude': '40.727350654273856', 'longitude': '-74.00073962609699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58957209,2023-09-29T22:49:30.000,2023-09-30T02:14:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,2588 PITKIN AVENUE,PITKIN AVENUE,MILFORD STREET,LOGAN STREET,MILFORD STREET,LOGAN STREET,ADDRESS,BROOKLYN,PITKIN AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T02:14:23.000,05 BROOKLYN,3042270021,BROOKLYN,1018457,185115,MOBILE,Unspecified,BROOKLYN,40.674708577214545,-73.87668083823802,"{'latitude': '40.674708577214545', 'longitude': '-73.87668083823802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58962634,2023-09-29T22:49:07.000,2023-09-29T23:15:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11435,90 AVENUE,90 AVENUE,90 AVENUE,139 STREET,90 AVENUE,139 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T23:15:56.000,12 QUEENS,,QUEENS,1036237,194892,ONLINE,Unspecified,QUEENS,40.701457577891716,-73.81250713690643,"{'latitude': '40.701457577891716', 'longitude': '-73.81250713690643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58956396,2023-09-29T22:49:03.000,2023-09-29T22:58:57.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,22 ORCHARD STREET,ORCHARD STREET,CANAL STREET,HESTER STREET,CANAL STREET,HESTER STREET,ADDRESS,NEW YORK,ORCHARD STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T22:59:04.000,03 MANHATTAN,1002980005,MANHATTAN,986577,199927,MOBILE,Unspecified,MANHATTAN,40.71542986402135,-73.9916058433748,"{'latitude': '40.71542986402135', 'longitude': '-73.9916058433748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58964947,2023-09-29T22:48:57.000,2023-11-16T13:07:50.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10002,402 GRAND STREET,GRAND STREET,SUFFOLK STREET,CLINTON STREET,SUFFOLK STREET,CLINTON STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-16T13:07:53.000,03 MANHATTAN,1003467501,MANHATTAN,987859,200150,ONLINE,Unspecified,MANHATTAN,40.716041515569714,-73.98698118206538,"{'latitude': '40.716041515569714', 'longitude': '-73.98698118206538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","402 GRAND STREET, MANHATTAN (NEW YORK), NY, 10002",,,,,,,
58956277,2023-09-29T22:48:25.000,2023-09-29T23:08:21.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10304,81 TOWNSEND AVENUE,TOWNSEND AVENUE,BAY STREET,TOMPKINS AVENUE,BAY STREET,TOMPKINS AVENUE,ADDRESS,STATEN ISLAND,TOWNSEND AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T23:08:24.000,01 STATEN ISLAND,5028390150,STATEN ISLAND,963803,165162,PHONE,Unspecified,STATEN ISLAND,40.61998440522082,-74.07365273427664,"{'latitude': '40.61998440522082', 'longitude': '-74.07365273427664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
