unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
58850508,2023-09-18T18:15:07.000,2023-09-18T18:28:18.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-18T18:28:22.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846086,2023-09-18T18:14:27.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,138-40 GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PY EB EN UNION TP,139 STREET,GRAND CENTRAL PY EB EN UNION TP,139 STREET,ADDRESS,JAMAICA,GRAND CENTRAL PARKWAY SR SOUTH,In Progress,,,08 QUEENS,4066370029,QUEENS,1033961,200229,UNKNOWN,Unspecified,QUEENS,40.71611942689889,-73.82067618051884,"{'latitude': '40.71611942689889', 'longitude': '-73.82067618051884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846098,2023-09-18T18:14:27.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,139-14 GRAND CENTRAL PARKWAY SR SOUTH,GRAND CENTRAL PARKWAY SR SOUTH,139 STREET,141 STREET,139 STREET,141 STREET,ADDRESS,JAMAICA,GRAND CENTRAL PARKWAY SR SOUTH,In Progress,,,08 QUEENS,4066380009,QUEENS,1034373,200146,UNKNOWN,Unspecified,QUEENS,40.71588928767308,-73.81919058411407,"{'latitude': '40.71588928767308', 'longitude': '-73.81919058411407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58852401,2023-09-18T18:14:27.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11435,82-35 MAIN STREET,MAIN STREET,COOLIDGE AVENUE,HOOVER AVENUE,COOLIDGE AVENUE,HOOVER AVENUE,ADDRESS,JAMAICA,MAIN STREET,In Progress,,,08 QUEENS,4097210255,QUEENS,1035152,199698,UNKNOWN,Unspecified,QUEENS,40.71465518982621,-73.81638388194322,"{'latitude': '40.71465518982621', 'longitude': '-73.81638388194322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848511,2023-09-18T18:14:21.000,2023-09-18T19:33:31.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11420,124-19 149 AVENUE,149 AVENUE,124 STREET,125 STREET,124 STREET,125 STREET,ADDRESS,SOUTH OZONE PARK,149 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T19:33:34.000,10 QUEENS,4118580001,QUEENS,1035384,182588,PHONE,Unspecified,QUEENS,40.667690952837596,-73.81567687473759,"{'latitude': '40.667690952837596', 'longitude': '-73.81567687473759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58850015,2023-09-18T18:14:13.000,2023-09-26T11:58:17.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11427,211-14 HILLSIDE AVENUE,HILLSIDE AVENUE,211 STREET,HOLLIS COURT BOULEVARD,211 STREET,HOLLIS COURT BOULEVARD,ADDRESS,QUEENS VILLAGE,HILLSIDE AVENUE,Closed,"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",2023-09-26T11:58:21.000,13 QUEENS,4105870049,QUEENS,1052049,203097,PHONE,Unspecified,QUEENS,40.72387124019187,-73.75539825936383,"{'latitude': '40.72387124019187', 'longitude': '-73.75539825936383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58846737,2023-09-18T18:13:58.000,2023-09-18T18:26:19.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10016,3 AVENUE,3 AVENUE,3 AVENUE,EAST   36 STREET,3 AVENUE,EAST   36 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T18:26:24.000,06 MANHATTAN,,MANHATTAN,990571,211433,PHONE,Unspecified,MANHATTAN,40.74700906072902,-73.9771875308903,"{'latitude': '40.74700906072902', 'longitude': '-73.9771875308903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58847828,2023-09-18T18:13:48.000,2023-09-18T20:54:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,61-66 71 STREET,71 STREET,ELIOT AVENUE,DEAD END,ELIOT AVENUE,DEAD END,ADDRESS,MIDDLE VILLAGE,71 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T20:54:22.000,05 QUEENS,4029270043,QUEENS,1015753,201661,MOBILE,Unspecified,QUEENS,40.72013349197805,-73.88635158881601,"{'latitude': '40.72013349197805', 'longitude': '-73.88635158881601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58853126,2023-09-18T18:13:32.000,2023-09-18T20:51:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,751 CRAWFORD AVENUE,CRAWFORD AVENUE,EAST    7 STREET,CONEY ISLAND AVENUE,EAST    7 STREET,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,CRAWFORD AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T20:51:54.000,15 BROOKLYN,3071840095,BROOKLYN,994697,155015,ONLINE,Unspecified,BROOKLYN,40.59215040084078,-73.96238424599301,"{'latitude': '40.59215040084078', 'longitude': '-73.96238424599301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58848496,2023-09-18T18:13:18.000,2023-11-13T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10451,253 EAST  142 STREET,EAST  142 STREET,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-13T00:00:00.000,01 BRONX,2023347501,BRONX,1004970,236145,UNKNOWN,Unspecified,BRONX,40.81481491086839,-73.9251453898462,"{'latitude': '40.81481491086839', 'longitude': '-73.9251453898462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
