unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58846721,2023-09-18T15:58:34.000,2023-09-20T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,11416,75-16 95 AVENUE,95 AVENUE,ADDRESS,OZONE PARK,N/A,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,09 QUEENS,4090000008,QUEENS,1022118,187975,UNKNOWN,Unspecified,QUEENS,40.68254371693492,-73.8634665698234,"{'latitude': '40.68254371693492', 'longitude': '-73.8634665698234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58849124,2023-09-18T15:58:32.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,10309,40 ADELPHI AVENUE,ADELPHI AVENUE,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-25T00:00:00.000,03 STATEN ISLAND,5077710074,STATEN ISLAND,919966,127420,UNKNOWN,Unspecified,STATEN ISLAND,40.51618071022873,-74.23119996156902,"{'latitude': '40.51618071022873', 'longitude': '-74.23119996156902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58849304,2023-09-18T15:58:32.000,2023-10-10T00:00:00.000,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),11249,174 WYTHE AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-10T00:00:00.000,01 BROOKLYN,3023250021,BROOKLYN,995148,201339,UNKNOWN,Unspecified,BROOKLYN,40.719299058802285,-73.96068550383346,"{'latitude': '40.719299058802285', 'longitude': '-73.96068550383346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58852990,2023-09-18T15:58:24.000,2023-09-18T16:51:02.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,10467,250 EAST  207 STREET,EAST  207 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:51:07.000,07 BRONX,2033420026,BRONX,1017988,258308,ONLINE,Unspecified,BRONX,40.87560565251797,-73.87800413620468,"{'latitude': '40.87560565251797', 'longitude': '-73.87800413620468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BAINBRIDGE AVENUE,PERRY AVENUE,BAINBRIDGE AVENUE,PERRY AVENUE,EAST  207 STREET,,,,,,
58848788,2023-09-18T15:58:10.000,2023-09-19T08:37:19.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,10466,4137 MURDOCK AVENUE,MURDOCK AVENUE,ADDRESS,BRONX,,Closed,NYC Parks does not perform tree work for phone or cable service. Please contact the appropriate service provider.,2023-09-19T08:37:23.000,12 BRONX,2050220070,BRONX,1028088,265211,PHONE,Unspecified,BRONX,40.894507808862606,-73.84143764678758,"{'latitude': '40.894507808862606', 'longitude': '-73.84143764678758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EDENWALD AVENUE,BUSSING AVENUE,EDENWALD AVENUE,BUSSING AVENUE,MURDOCK AVENUE,,,,,,
58855099,2023-09-18T15:58:06.000,2023-09-19T11:21:15.000,DSNY,Department of Sanitation,Dirty Condition,Trash,10023,147 WEST   72 STREET,WEST   72 STREET,ADDRESS,NEW YORK,,Closed,The Department of Sanitation cleaned the location.,2023-09-19T11:21:18.000,07 MANHATTAN,1011440113,MANHATTAN,989684,222757,MOBILE,Unspecified,MANHATTAN,40.778091115123786,-73.9803795571124,"{'latitude': '40.778091115123786', 'longitude': '-73.9803795571124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST   72 STREET,,,,,,
58851416,2023-09-18T15:57:59.000,2023-10-11T12:50:59.000,DSNY,Department of Sanitation,Missed Collection,Trash,10014,803 WASHINGTON STREET,WASHINGTON STREET,ADDRESS,NEW YORK,,Closed,The Department of Sanitation collected the requested items.,2023-09-19T10:21:24.000,02 MANHATTAN,1006430038,MANHATTAN,982012,208504,ONLINE,Unspecified,MANHATTAN,40.738971662719294,-74.00807596055489,"{'latitude': '40.738971662719294', 'longitude': '-74.00807596055489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,HORATIO STREET,GANSEVOORT STREET,HORATIO STREET,GANSEVOORT STREET,WASHINGTON STREET,,,,,,
58848867,2023-09-18T15:57:57.000,2023-09-19T13:31:10.000,DSNY,Department of Sanitation,Dirty Condition,Trash,10012,163 BLEECKER STREET,BLEECKER STREET,ADDRESS,NEW YORK,,Closed,The Department of Sanitation cleaned the location.,2023-09-19T13:31:13.000,02 MANHATTAN,1005390039,MANHATTAN,984225,204738,ONLINE,Unspecified,MANHATTAN,40.7286352024897,-74.0000902000432,"{'latitude': '40.7286352024897', 'longitude': '-74.0000902000432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,BLEECKER STREET,,,,,,
58851216,2023-09-18T15:57:38.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Pet/Animal,11201,151 COURT STREET,COURT STREET,ADDRESS,BROOKLYN,,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:18:44.000,02 BROOKLYN,3002790022,BROOKLYN,986296,190348,MOBILE,Unspecified,BROOKLYN,40.68913782485511,-73.99262240120761,"{'latitude': '40.68913782485511', 'longitude': '-73.99262240120761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Restaurant/Bar/Deli/Bakery,PACIFIC STREET,PACIFIC STREET,PACIFIC STREET,PACIFIC STREET,COURT STREET,,,,,,
58846312,2023-09-18T15:57:19.000,2023-09-19T12:26:48.000,DSNY,Department of Sanitation,Dirty Condition,Trash,10310,14 DONGAN STREET,DONGAN STREET,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-19T12:26:52.000,01 STATEN ISLAND,5002000036,STATEN ISLAND,949683,171369,MOBILE,Unspecified,STATEN ISLAND,40.636977457136936,-74.12454653240445,"{'latitude': '40.636977457136936', 'longitude': '-74.12454653240445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,RICHMOND TERRACE,DE GROOT PLACE,RICHMOND TERRACE,DE GROOT PLACE,DONGAN STREET,,,,,,
