unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,vehicle_type,bridge_highway_direction,road_ramp
58850313,2023-09-18T14:10:27.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tow Truck Company,Business,11417,91-54 GOLD ROAD,GOLD ROAD,SITKA STREET,CROSS BAY BOULEVARD,SITKA STREET,CROSS BAY BOULEVARD,ADDRESS,OZONE PARK,GOLD ROAD,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-11-02T11:25:44.000,10 QUEENS,4113730038,QUEENS,1027398,184909,PHONE,Unspecified,QUEENS,40.67410409048972,-73.84444914773904,"{'latitude': '40.67410409048972', 'longitude': '-73.84444914773904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58853713,2023-09-18T14:10:26.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Street,11378,55-20 69 STREET,69 STREET,55 AVENUE,CLINTON AVENUE,55 AVENUE,CLINTON AVENUE,ADDRESS,MASPETH,69 STREET,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-19T08:48:53.000,05 QUEENS,4023980077,QUEENS,1013218,204338,PHONE,Unspecified,QUEENS,40.72748986715959,-73.89548517746907,"{'latitude': '40.72748986715959', 'longitude': '-73.89548517746907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T08:48:50.000,,,,,,,
58850538,2023-09-18T14:10:18.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10016,335 EAST   27 STREET,EAST   27 STREET,MOUNT CARMEL PLACE,1 AVENUE,MOUNT CARMEL PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   27 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T14:42:39.000,06 MANHATTAN,1009337501,MANHATTAN,990613,208721,PHONE,Unspecified,MANHATTAN,40.73956526804239,-73.97703851861026,"{'latitude': '40.73956526804239', 'longitude': '-73.97703851861026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:42:34.000,,,,,,,
58853257,2023-09-18T14:10:16.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,280 WYCKOFF AVENUE,WYCKOFF AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,WYCKOFF AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-18T18:51:57.000,04 BROOKLYN,3033370029,BROOKLYN,1008671,194315,PHONE,Unspecified,BROOKLYN,40.69999285980173,-73.91192683002241,"{'latitude': '40.69999285980173', 'longitude': '-73.91192683002241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T18:51:54.000,,,,,,,
58849132,2023-09-18T14:10:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10002,151 STANTON STREET,STANTON STREET,SUFFOLK STREET,CLINTON STREET,SUFFOLK STREET,CLINTON STREET,ADDRESS,NEW YORK,STANTON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T14:45:05.000,03 MANHATTAN,1003497501,MANHATTAN,988353,201754,MOBILE,Unspecified,MANHATTAN,40.72044389486117,-73.98519818829196,"{'latitude': '40.72044389486117', 'longitude': '-73.98519818829196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:44:59.000,,,,,,,
58845975,2023-09-18T14:10:12.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T16:09:22.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T16:09:18.000,,,,,,,
58845974,2023-09-18T14:10:02.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T16:08:44.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T16:08:40.000,,,,,,,
58849378,2023-09-18T14:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Support Bracket,,11417,,,,,CROSS BAY BOULEVARD,LINDEN BOULEVARD,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T11:30:00.000,10 QUEENS,,QUEENS,1027736,184780,UNKNOWN,Unspecified,QUEENS,40.6737483611764,-73.84323147449767,"{'latitude': '40.6737483611764', 'longitude': '-73.84323147449767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T11:30:00.000,N/A,,,,,,
58850635,2023-09-18T14:09:58.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11214,8772 18 AVENUE,18 AVENUE,BATH AVENUE,CROPSEY AVENUE,BATH AVENUE,CROPSEY AVENUE,ADDRESS,BROOKLYN,18 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T16:18:37.000,11 BROOKLYN,3064350036,BROOKLYN,982480,159223,PHONE,Unspecified,BROOKLYN,40.603706490500855,-74.00637421333315,"{'latitude': '40.603706490500855', 'longitude': '-74.00637421333315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T16:18:35.000,,,,,,,
58854204,2023-09-18T14:09:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11224,1270 NEPTUNE AVENUE,NEPTUNE AVENUE,WEST END/SEA BEACH LINE,STILLWELL AVENUE,WEST END/SEA BEACH LINE,STILLWELL AVENUE,ADDRESS,BROOKLYN,NEPTUNE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T14:25:44.000,13 BROOKLYN,3072660001,BROOKLYN,989388,150305,ONLINE,Unspecified,BROOKLYN,40.57922705533765,-73.98150355671274,"{'latitude': '40.57922705533765', 'longitude': '-73.98150355671274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:25:40.000,,,,,,,
