unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,bridge_highway_direction,road_ramp,taxi_company_borough
58849624,2023-09-18T12:22:21.000,2023-09-20T20:33:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,2323 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,14 BROOKLYN,3052090022,BROOKLYN,996670,172234,PHONE,Unspecified,BROOKLYN,40.63941043943263,-73.95524853535079,"{'latitude': '40.63941043943263', 'longitude': '-73.95524853535079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58852228,2023-09-18T12:22:21.000,2023-09-20T20:33:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,RESIDENTIAL BUILDING,11226,2323 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,14 BROOKLYN,3052090022,BROOKLYN,996670,172234,PHONE,Unspecified,BROOKLYN,40.63941043943263,-73.95524853535079,"{'latitude': '40.63941043943263', 'longitude': '-73.95524853535079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58852218,2023-09-18T12:22:21.000,2023-09-20T20:33:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11226,2323 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,14 BROOKLYN,3052090022,BROOKLYN,996670,172234,PHONE,Unspecified,BROOKLYN,40.63941043943263,-73.95524853535079,"{'latitude': '40.63941043943263', 'longitude': '-73.95524853535079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58848335,2023-09-18T12:22:21.000,2023-09-20T20:33:41.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,2323 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,14 BROOKLYN,3052090022,BROOKLYN,996670,172234,PHONE,Unspecified,BROOKLYN,40.63941043943263,-73.95524853535079,"{'latitude': '40.63941043943263', 'longitude': '-73.95524853535079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58849546,2023-09-18T12:22:16.000,2023-10-03T13:13:09.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10011,112 8 AVENUE,8 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,04 MANHATTAN,1007650001,MANHATTAN,983762,209163,ONLINE,Unspecified,MANHATTAN,40.740780723738915,-74.00176102580623,"{'latitude': '40.740780723738915', 'longitude': '-74.00176102580623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58852066,2023-09-18T12:22:12.000,2023-09-19T20:45:58.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11363,34-10 BROOKSIDE STREET,BROOKSIDE STREET,ADDRESS,LITTLE NECK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,11 QUEENS,4081600103,QUEENS,1055077,222236,PHONE,Unspecified,QUEENS,40.7763790139254,-73.74427248042032,"{'latitude': '40.7763790139254', 'longitude': '-73.74427248042032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58848522,2023-09-18T12:22:12.000,2023-09-18T12:43:49.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11203,461 RUTLAND ROAD,RUTLAND ROAD,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T12:43:54.000,09 BROOKLYN,3048020031,BROOKLYN,999322,179630,PHONE,Unspecified,BROOKLYN,40.6597067349276,-73.94567638433678,"{'latitude': '40.6597067349276', 'longitude': '-73.94567638433678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK AVENUE,BROOKLYN AVENUE,NEW YORK AVENUE,BROOKLYN AVENUE,RUTLAND ROAD,,,,,,,,
58854194,2023-09-18T12:21:54.000,2023-09-18T12:26:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,600 MCDONALD AVENUE,MCDONALD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T12:26:34.000,12 BROOKLYN,3053690006,BROOKLYN,990102,172234,MOBILE,Unspecified,BROOKLYN,40.639417214178884,-73.97891420379608,"{'latitude': '40.639417214178884', 'longitude': '-73.97891420379608', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE C,CORTELYOU ROAD,AVENUE C,CORTELYOU ROAD,MCDONALD AVENUE,,,,,,,,
58847280,2023-09-18T12:21:42.000,2023-10-23T05:01:13.000,DOT,Department of Transportation,Broken Parking Meter,No Receipt,Street,11101,JACKSON AVENUE,JACKSON AVENUE,BLOCKFACE,,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-23T05:01:20.000,Unspecified QUEENS,,QUEENS,999172,210902,PHONE,Unspecified,QUEENS,40.74554126842025,-73.94614773265604,"{'latitude': '40.74554126842025', 'longitude': '-73.94614773265604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CRANE STREET,23 STREET,CRANE STREET,23 STREET,,,,,,,,,
58851372,2023-09-18T12:21:34.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-29T12:04:14.000,Unspecified MANHATTAN,,MANHATTAN,981681,199944,MOBILE,Unspecified,MANHATTAN,40.71547645799355,-74.00926712653734,"{'latitude': '40.71547645799355', 'longitude': '-74.00926712653734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,1,Mezzanine,,,,,,
