unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction
58850315,2023-09-18T10:56:00.000,2023-09-18T12:30:00.000,DEP,Department of Environmental Protection,Hazardous Materials,Chemical Spill/Release (HA1),10011,74 5 AVENUE,5 AVENUE,E 13 ST,E 14 ST,ADDRESS,NEW YORK,N/A,Closed,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,2023-09-18T12:30:00.000,02 MANHATTAN,1005770042,MANHATTAN,985918,207246,PHONE,Unspecified,MANHATTAN,40.735518889783606,-73.99398123138357,"{'latitude': '40.735518889783606', 'longitude': '-73.99398123138357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58849800,2023-09-18T10:56:00.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,10029,404 EAST  105 STREET,EAST  105 STREET,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-19T00:00:00.000,11 MANHATTAN,1016960001,MANHATTAN,1000763,226685,UNKNOWN,Unspecified,MANHATTAN,40.78885867337903,-73.94036717069295,"{'latitude': '40.78885867337903', 'longitude': '-73.94036717069295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58851586,2023-09-18T10:56:00.000,2023-09-20T04:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),11238,446 ST JOHNS PLACE,ST JOHNS PLACE,UNDERHILL AVE,WASHINGTON AVE,ADDRESS,BROOKLYN,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T04:15:00.000,08 BROOKLYN,3011760042,BROOKLYN,994302,184744,ONLINE,Unspecified,BROOKLYN,40.67375064817118,-73.9637622113752,"{'latitude': '40.67375064817118', 'longitude': '-73.9637622113752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58847281,2023-09-18T10:56:00.000,2023-09-18T11:59:44.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,11221,15 DODWORTH STREET,DODWORTH STREET,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T11:59:52.000,04 BROOKLYN,3032290039,BROOKLYN,1003642,192415,ONLINE,Unspecified,BROOKLYN,40.69479025314484,-73.93006913990853,"{'latitude': '40.69479025314484', 'longitude': '-73.93006913990853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,BROADWAY,BUSHWICK AVENUE,DODWORTH STREET,,,,,
58846095,2023-09-18T10:55:47.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11219,1563 44 STREET,44 STREET,15 AVENUE,16 AVENUE,ADDRESS,BROOKLYN,,In Progress,,,12 BROOKLYN,3054300052,BROOKLYN,988833,170401,PHONE,Unspecified,BROOKLYN,40.634386767432275,-73.98348788121473,"{'latitude': '40.634386767432275', 'longitude': '-73.98348788121473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,15 AVENUE,16 AVENUE,44 STREET,,,,,
58848875,2023-09-18T10:55:40.000,2023-09-20T08:35:12.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11211,765 GRAND STREET,GRAND STREET,GRAHAM AVENUE,HUMBOLDT STREET,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T09:27:36.000,01 BROOKLYN,3027830029,BROOKLYN,1000153,198599,PHONE,Unspecified,BROOKLYN,40.711770834620324,-73.94263646146398,"{'latitude': '40.711770834620324', 'longitude': '-73.94263646146398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,GRAHAM AVENUE,HUMBOLDT STREET,GRAND STREET,,,,,
58848601,2023-09-18T10:55:33.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11378,58-54 61 STREET,61 STREET,FLUSHING AVENUE,59 AVENUE,ADDRESS,MASPETH,,In Progress,,,05 QUEENS,4027380058,QUEENS,1011023,201507,MOBILE,Unspecified,QUEENS,40.71972637856174,-73.90341586231885,"{'latitude': '40.71972637856174', 'longitude': '-73.90341586231885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,FLUSHING AVENUE,59 AVENUE,61 STREET,,,,,
58845411,2023-09-18T10:55:26.000,2023-09-18T16:11:50.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11365,72-04 160 STREET,160 STREET,72 AVENUE,73 AVENUE,ADDRESS,FRESH MEADOWS,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T16:11:54.000,08 QUEENS,4068210054,QUEENS,1037204,204546,MOBILE,Unspecified,QUEENS,40.72794970409676,-73.80894369037782,"{'latitude': '40.72794970409676', 'longitude': '-73.80894369037782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,72 AVENUE,73 AVENUE,160 STREET,,,,,
58854888,2023-09-18T10:55:11.000,2023-09-18T10:55:11.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,10466,764 EAST  236 STREET,EAST  236 STREET,BYRON AVENUE,BARNES AVENUE,ADDRESS,BRONX,,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-18T10:55:11.000,12 BRONX,2049990018,BRONX,1024636,265348,PHONE,Unspecified,BRONX,40.89490030484522,-73.85392270449586,"{'latitude': '40.89490030484522', 'longitude': '-73.85392270449586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1-2 Family Dwelling,BYRON AVENUE,BARNES AVENUE,EAST  236 STREET,,,,,
58852383,2023-09-18T10:55:07.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11366,162-11 78 ROAD,78 ROAD,162 STREET,164 STREET,ADDRESS,FRESH MEADOWS,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-26T06:27:34.000,08 QUEENS,4068510027,QUEENS,1038109,202413,PHONE,Unspecified,QUEENS,40.72208968717505,-73.80569556089043,"{'latitude': '40.72208968717505', 'longitude': '-73.80569556089043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,162 STREET,164 STREET,78 ROAD,,,,,
58846631,2023-09-18T10:55:05.000,2023-09-18T13:09:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11358,170-16 39 AVENUE,39 AVENUE,170 STREET,171 STREET,ADDRESS,FLUSHING,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T13:10:05.000,07 QUEENS,4053230005,QUEENS,1040890,216800,PHONE,Unspecified,QUEENS,40.761560941035825,-73.79554157499989,"{'latitude': '40.761560941035825', 'longitude': '-73.79554157499989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,170 STREET,171 STREET,39 AVENUE,,,,,
