unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,vehicle_type
58849302,2023-09-18T09:10:32.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,11225,212 CROWN STREET,CROWN STREET,ADDRESS,BROOKLYN,Closed,The Department of Buildings reviewed this complaint and referred it to the Department of Housing Preservation and Development for further action.,2023-09-19T00:00:00.000,09 BROOKLYN,3012960008,BROOKLYN,997177,182075,UNKNOWN,Unspecified,BROOKLYN,40.6664211094233,-73.95340286243254,"{'latitude': '40.6664211094233', 'longitude': '-73.95340286243254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58850598,2023-09-18T09:10:31.000,2023-09-18T09:42:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11220,526 56 STREET,56 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T09:42:45.000,07 BROOKLYN,3008400016,BROOKLYN,980619,172917,PHONE,Unspecified,BROOKLYN,40.641293091855125,-74.01308350614252,"{'latitude': '40.641293091855125', 'longitude': '-74.01308350614252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,56 STREET,,,,,,,,
58850616,2023-09-18T09:10:06.000,2023-09-18T09:39:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11217,170 SOUTH OXFORD STREET,SOUTH OXFORD STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T09:40:00.000,02 BROOKLYN,3020040061,BROOKLYN,991710,188650,PHONE,Unspecified,BROOKLYN,40.68447429664178,-73.9731021315917,"{'latitude': '40.68447429664178', 'longitude': '-73.9731021315917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,HANSON PLACE,ATLANTIC COMMONS,HANSON PLACE,ATLANTIC COMMONS,SOUTH OXFORD STREET,,,,,,,,
58845955,2023-09-18T09:09:37.000,2023-09-18T16:50:38.000,HPD,Department of Housing Preservation and Development,PLUMBING,STEAM PIPE/RISER,11373,40-51 DENMAN STREET,DENMAN STREET,ADDRESS,ELMHURST,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,04 QUEENS,4015520001,QUEENS,1018511,211572,PHONE,Unspecified,QUEENS,40.747326470048094,-73.876351530028,"{'latitude': '40.747326470048094', 'longitude': '-73.876351530028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58854667,2023-09-18T09:09:31.000,2023-09-25T10:49:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58854671,2023-09-18T09:09:28.000,2023-09-22T12:58:27.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,11692,69-46 ALMEDA AVENUE,ALMEDA AVENUE,ADDRESS,ARVERNE,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,14 QUEENS,4160470053,QUEENS,1040078,156792,ONLINE,Unspecified,QUEENS,40.596858230809616,-73.79896983267868,"{'latitude': '40.596858230809616', 'longitude': '-73.79896983267868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58848752,2023-09-18T09:09:19.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,11238,195 UNDERHILL AVENUE,UNDERHILL AVENUE,ADDRESS,BROOKLYN,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T11:58:27.000,08 BROOKLYN,3011730007,BROOKLYN,993480,185187,ONLINE,Unspecified,BROOKLYN,40.674967478644184,-73.96672494129623,"{'latitude': '40.674967478644184', 'longitude': '-73.96672494129623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,UNDERHILL AVENUE,,,,,,,,
58853961,2023-09-18T09:09:06.000,2023-09-18T09:55:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,10467,EAST  205 STREET,EAST  205 STREET,INTERSECTION,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T09:55:35.000,07 BRONX,,BRONX,1018354,257648,MOBILE,Unspecified,BRONX,40.8737927509132,-73.87668404970023,"{'latitude': '40.8737927509132', 'longitude': '-73.87668404970023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST  205 STREET,HULL AVENUE,EAST  205 STREET,HULL AVENUE,,,,,,,,,
58848033,2023-09-18T09:08:59.000,2023-09-18T11:41:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11233,1772A PACIFIC STREET,PACIFIC STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T11:41:43.000,08 BROOKLYN,3013430125,BROOKLYN,1003877,185761,PHONE,Unspecified,BROOKLYN,40.67652603294346,-73.92924107313439,"{'latitude': '40.67652603294346', 'longitude': '-73.92924107313439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,PACIFIC STREET,,,,,,,,
58853606,2023-09-18T09:08:53.000,2023-09-18T09:25:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11226,85 CLARKSON AVENUE,CLARKSON AVENUE,ADDRESS,BROOKLYN,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-18T09:25:10.000,09 BROOKLYN,3050550065,BROOKLYN,996117,177913,ONLINE,Unspecified,BROOKLYN,40.6549988226691,-73.95723110150566,"{'latitude': '40.6549988226691', 'longitude': '-73.95723110150566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,CLARKSON AVENUE,,,,,,,,
