unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,taxi_pick_up_location
58849540,2023-09-18T05:31:49.000,2023-10-04T21:45:40.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58853401,2023-09-18T05:31:49.000,2023-10-04T21:45:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58847120,2023-09-18T05:31:49.000,2023-10-04T21:45:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58848341,2023-09-18T05:31:49.000,2023-10-04T21:45:41.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58845897,2023-09-18T05:31:49.000,2023-10-04T21:45:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58848433,2023-09-18T05:31:49.000,2023-10-04T21:45:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58850865,2023-09-18T05:31:49.000,2023-10-04T21:45:41.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,RESIDENTIAL BUILDING,11225,441 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,09 BROOKLYN,3013230017,BROOKLYN,999381,181248,PHONE,Unspecified,BROOKLYN,40.66414768607463,-73.94546010128431,"{'latitude': '40.66414768607463', 'longitude': '-73.94546010128431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58851948,2023-09-18T05:29:25.000,2023-09-18T05:55:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,87-06 85 STREET,85 STREET,ADDRESS,WOODHAVEN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T05:55:46.000,09 QUEENS,4089180029,QUEENS,1023418,191295,ONLINE,Unspecified,QUEENS,40.691650687106474,-73.85876011496099,"{'latitude': '40.691650687106474', 'longitude': '-73.85876011496099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",87 AVENUE,87 ROAD,87 AVENUE,87 ROAD,85 STREET,,,,,,,
58849877,2023-09-18T05:29:16.000,,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,Street,11427,89-14 LYMAN STREET,LYMAN STREET,ADDRESS,QUEENS VILLAGE,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-17T10:43:59.000,13 QUEENS,4079730029,QUEENS,1058429,204874,UNKNOWN,Unspecified,QUEENS,40.72869745131896,-73.73236137342298,"{'latitude': '40.72869745131896', 'longitude': '-73.73236137342298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",89 AVENUE,91 ROAD,89 AVENUE,91 ROAD,LYMAN STREET,,,,,,,
58850651,2023-09-18T05:28:26.000,2023-09-18T08:58:24.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11201,172 CADMAN PLAZA EAST,CADMAN PLAZA EAST,ADDRESS,BROOKLYN,Closed,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,2023-09-18T08:58:29.000,02 BROOKLYN,3000580050,BROOKLYN,987049,193760,ONLINE,Unspecified,BROOKLYN,40.69850276876315,-73.98990576749503,"{'latitude': '40.69850276876315', 'longitude': '-73.98990576749503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RED CROSS PLACE,TILLARY STREET,RED CROSS PLACE,TILLARY STREET,CADMAN PLAZA EAST,,,,,,,
