unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date
58837151,2023-09-17T23:07:48.000,2023-09-17T23:09:11.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11223,2449 WEST STREET,WEST STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,WEST STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T23:09:17.000,15 BROOKLYN,3071960058,BROOKLYN,992578,154049,MOBILE,Unspecified,BROOKLYN,40.58950116867458,-73.97001516529427,"{'latitude': '40.58950116867458', 'longitude': '-73.97001516529427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840953,2023-09-17T23:07:46.000,2023-10-04T11:44:42.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Equipment Complaint,Highway,10009,620 EAST   20 STREET,EAST   20 STREET,20 STREET LOOP,AVENUE C,20 STREET LOOP,AVENUE C,ADDRESS,NEW YORK,EAST   20 STREET,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-10-04T11:44:47.000,06 MANHATTAN,1009720001,MANHATTAN,991124,206295,ONLINE,Unspecified,MANHATTAN,40.73290611507112,-73.9751970061562,"{'latitude': '40.73290611507112', 'longitude': '-73.9751970061562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","620 EAST   20 STREET, MANHATTAN (NEW YORK), NY, 10009",FDR Dr,Southbound/Downtown,Roadway,E 23 St (Exit 7) - E 15 St (Exit 6),,
58838032,2023-09-17T23:07:46.000,2023-09-17T23:45:08.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10018,450 WEST   37 STREET,WEST   37 STREET,DYER AVENUE,10 AVENUE,DYER AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   37 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T23:45:18.000,04 MANHATTAN,1007347502,MANHATTAN,985148,214729,MOBILE,Unspecified,MANHATTAN,40.75605796060075,-73.99675868059943,"{'latitude': '40.75605796060075', 'longitude': '-73.99675868059943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844647,2023-09-17T23:07:42.000,2023-09-18T00:21:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,HALSEY STREET,HALSEY STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,BLOCKFACE,,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-18T00:21:39.000,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
58842019,2023-09-17T23:07:35.000,2023-09-22T09:39:55.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11238,770 FRANKLIN AVENUE,FRANKLIN AVENUE,ST JOHNS PLACE,LINCOLN PLACE,ST JOHNS PLACE,LINCOLN PLACE,ADDRESS,BROOKLYN,FRANKLIN AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T17:21:39.000,08 BROOKLYN,3011780046,BROOKLYN,996052,184155,PHONE,Unspecified,BROOKLYN,40.67213181550784,-73.95745443638998,"{'latitude': '40.67213181550784', 'longitude': '-73.95745443638998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842675,2023-09-17T23:07:30.000,2023-09-18T00:11:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,2330 ARTHUR AVENUE,ARTHUR AVENUE,CRESCENT AVENUE,EAST  186 STREET,CRESCENT AVENUE,EAST  186 STREET,ADDRESS,BRONX,ARTHUR AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-18T00:11:19.000,06 BRONX,2030730008,BRONX,1014993,250442,MOBILE,Unspecified,BRONX,40.85402682399926,-73.88887006240707,"{'latitude': '40.85402682399926', 'longitude': '-73.88887006240707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839346,2023-09-17T23:07:18.000,2023-09-17T23:31:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11232,362 41 STREET,41 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,41 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T23:31:58.000,07 BROOKLYN,3007180035,BROOKLYN,981994,176810,ONLINE,Unspecified,BROOKLYN,40.6519789926096,-74.0081302994817,"{'latitude': '40.6519789926096', 'longitude': '-74.0081302994817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839705,2023-09-17T23:07:02.000,2023-09-18T02:49:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1503 EAST   22 STREET,EAST   22 STREET,OLEAN STREET,BAY AVENUE,OLEAN STREET,BAY AVENUE,ADDRESS,BROOKLYN,EAST   22 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T02:49:27.000,14 BROOKLYN,3076760044,BROOKLYN,997461,163461,PHONE,Unspecified,BROOKLYN,40.61532925857018,-73.9524155939777,"{'latitude': '40.61532925857018', 'longitude': '-73.9524155939777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58843950,2023-09-17T23:06:56.000,2023-09-18T12:11:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11102,25-99 25 ROAD,25 ROAD,DEAD END,27 STREET,DEAD END,27 STREET,ADDRESS,ASTORIA,25 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T12:11:39.000,01 QUEENS,4008610266,QUEENS,1006042,220503,ONLINE,Unspecified,QUEENS,40.77187928590296,-73.92132335981441,"{'latitude': '40.77187928590296', 'longitude': '-73.92132335981441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58838662,2023-09-17T23:06:53.000,2023-09-18T08:19:34.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10004,54 PEARL STREET,PEARL STREET,BROAD STREET,COENTIES SLIP,BROAD STREET,COENTIES SLIP,ADDRESS,NEW YORK,PEARL STREET,Closed,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,2023-09-18T08:19:21.000,01 MANHATTAN,1000070035,MANHATTAN,981096,195579,ONLINE,Unspecified,MANHATTAN,40.7034953786261,-74.01137534608392,"{'latitude': '40.7034953786261', 'longitude': '-74.01137534608392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
