unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment
58842462,2023-09-17T15:59:05.000,2023-09-17T16:48:23.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10032,601 WEST  173 STREET,WEST  173 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  173 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T16:48:28.000,12 MANHATTAN,1021430020,MANHATTAN,1001489,246856,MOBILE,Unspecified,MANHATTAN,40.84422101049836,-73.93769358084928,"{'latitude': '40.84422101049836', 'longitude': '-73.93769358084928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840867,2023-09-17T15:59:00.000,2023-09-25T11:08:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10305,31 HARVEY STREET,HARVEY STREET,GARFIELD AVENUE,BROWN PLACE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-25T11:08:00.000,01 STATEN ISLAND,5030760028,STATEN ISLAND,965416,159712,PHONE,Unspecified,STATEN ISLAND,40.60502885846529,-74.06782730149635,"{'latitude': '40.60502885846529', 'longitude': '-74.06782730149635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842151,2023-09-17T15:59:00.000,2023-10-24T08:15:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11204,1775 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,17 AVE,18 AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-24T08:15:00.000,11 BROOKLYN,3062150052,BROOKLYN,985187,162895,ONLINE,Unspecified,BROOKLYN,40.6137855049203,-73.99662511882822,"{'latitude': '40.6137855049203', 'longitude': '-73.99662511882822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58838912,2023-09-17T15:58:48.000,2023-09-19T07:32:51.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11420,131-09 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,131 STREET,132 STREET,131 STREET,132 STREET,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,Closed,The Department of Sanitation periodically conducted surveillance at the location and during those times no violations were observed.,2023-09-19T07:32:57.000,10 QUEENS,4116950020,QUEENS,1037724,185214,PHONE,Unspecified,QUEENS,40.67488489330232,-73.80722105316462,"{'latitude': '40.67488489330232', 'longitude': '-73.80722105316462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837425,2023-09-17T15:58:33.000,2023-09-17T16:28:25.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,769 10 AVENUE,10 AVENUE,WEST   51 STREET,WEST   52 STREET,WEST   51 STREET,WEST   52 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:28:28.000,04 MANHATTAN,1010800028,MANHATTAN,986756,218295,ONLINE,Unspecified,MANHATTAN,40.7658454056745,-73.9909532960862,"{'latitude': '40.7658454056745', 'longitude': '-73.9909532960862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840541,2023-09-17T15:58:30.000,2023-09-17T16:35:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,265 EUCLID AVENUE,EUCLID AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:35:45.000,05 BROOKLYN,3041450019,BROOKLYN,1019245,187789,ONLINE,Unspecified,BROOKLYN,40.68204501462856,-73.87382614938845,"{'latitude': '40.68204501462856', 'longitude': '-73.87382614938845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58842691,2023-09-17T15:58:13.000,2023-09-17T16:35:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10017,235 EAST   44 STREET,EAST   44 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   44 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T16:35:14.000,06 MANHATTAN,1013187501,MANHATTAN,991836,213143,ONLINE,Unspecified,MANHATTAN,40.75170158476373,-73.97262022118812,"{'latitude': '40.75170158476373', 'longitude': '-73.97262022118812', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58837371,2023-09-17T15:58:12.000,2023-09-17T16:33:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,2240 RYER AVENUE,RYER AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,ADDRESS,BRONX,RYER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T16:33:29.000,05 BRONX,2031500005,BRONX,1012049,251170,ONLINE,Unspecified,BRONX,40.85603472587042,-73.89950901836905,"{'latitude': '40.85603472587042', 'longitude': '-73.89950901836905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838400,2023-09-17T15:58:03.000,2023-09-17T16:35:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11208,265 EUCLID AVENUE,EUCLID AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:36:00.000,05 BROOKLYN,3041450019,BROOKLYN,1019245,187789,MOBILE,Unspecified,BROOKLYN,40.68204501462856,-73.87382614938845,"{'latitude': '40.68204501462856', 'longitude': '-73.87382614938845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58843294,2023-09-17T15:57:41.000,2023-09-17T16:33:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10002,158 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,LUDLOW STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T16:33:15.000,03 MANHATTAN,1004110050,MANHATTAN,987610,201957,MOBILE,Unspecified,MANHATTAN,40.721001394303194,-73.98787850273274,"{'latitude': '40.721001394303194', 'longitude': '-73.98787850273274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58845098,2023-09-17T15:57:05.000,2023-09-18T04:51:38.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11385,90-45 MYRTLE AVENUE,MYRTLE AVENUE,WOODHAVEN BOULEVARD,FOREST PARK DRIVE,WOODHAVEN BOULEVARD,FOREST PARK DRIVE,ADDRESS,RIDGEWOOD,MYRTLE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T04:51:45.000,06 QUEENS,4038830001,QUEENS,1024728,195237,MOBILE,Unspecified,QUEENS,40.70246465051451,-73.85401257086819,"{'latitude': '40.70246465051451', 'longitude': '-73.85401257086819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58839596,2023-09-17T15:57:03.000,2023-09-22T16:10:24.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-22T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58838833,2023-09-17T15:56:57.000,2023-09-20T15:47:33.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11105,19-21 38 STREET,38 STREET,19 AVENUE,20 AVENUE,19 AVENUE,20 AVENUE,ADDRESS,ASTORIA,38 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-20T12:17:39.000,01 QUEENS,4008110019,QUEENS,1011721,222827,PHONE,Unspecified,QUEENS,40.778242227672436,-73.900810724991,"{'latitude': '40.778242227672436', 'longitude': '-73.900810724991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58840261,2023-09-17T15:56:54.000,2023-09-17T16:13:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10467,3323 STEUBEN AVENUE,STEUBEN AVENUE,EAST  208 STREET,EAST  210 STREET,EAST  208 STREET,EAST  210 STREET,ADDRESS,BRONX,STEUBEN AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T16:13:44.000,07 BRONX,2033260084,BRONX,1017083,259445,MOBILE,Unspecified,BRONX,40.87872977611684,-73.88127101964996,"{'latitude': '40.87872977611684', 'longitude': '-73.88127101964996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
