unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,due_date,taxi_company_borough,bridge_highway_direction
58842912,2023-09-17T13:28:52.000,2023-09-18T09:13:01.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10468,2820 MORRIS AVENUE,MORRIS AVENUE,EAST 196 STREET,BEND,EAST  196 STREET,BEND,ADDRESS,BRONX,MORRIS AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-17T13:28:52.000,07 BRONX,2033180098,BRONX,1013699,256362,ONLINE,Unspecified,BRONX,40.87027983660848,-73.89352160262047,"{'latitude': '40.87027983660848', 'longitude': '-73.89352160262047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58842488,2023-09-17T13:28:37.000,2023-09-17T14:07:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10002,69 COLUMBIA STREET,COLUMBIA STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,COLUMBIA STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T14:07:55.000,03 MANHATTAN,1003330001,MANHATTAN,989766,200628,ONLINE,Unspecified,MANHATTAN,40.71735252752486,-73.9801016313048,"{'latitude': '40.71735252752486', 'longitude': '-73.9801016313048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58837716,2023-09-17T13:28:33.000,2023-09-21T16:16:18.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10002,502 CHERRY STREET,CHERRY STREET,JACKSON STREET,FRANKLIN D ROOSEVELT DRIVE,JACKSON STREET,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,CHERRY STREET,Closed,This request required re-assignment to a new DOT unit.,2023-09-21T16:16:28.000,03 MANHATTAN,,MANHATTAN,990211,198813,MOBILE,Unspecified,MANHATTAN,40.7123704978095,-73.97849794953761,"{'latitude': '40.7123704978095', 'longitude': '-73.97849794953761', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838585,2023-09-17T13:28:29.000,2023-09-27T21:42:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,26 DITMARS STREET,DITMARS STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,04 BROOKLYN,3031940018,BROOKLYN,1002758,193141,ONLINE,Unspecified,BROOKLYN,40.69678484687172,-73.93325499859299,"{'latitude': '40.69678484687172', 'longitude': '-73.93325499859299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58838915,2023-09-17T13:28:24.000,2023-09-20T17:13:02.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10029,75 EAST  112 STREET,EAST  112 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  112 STREET,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-20T17:10:50.000,11 MANHATTAN,1016200023,MANHATTAN,999354,229623,MOBILE,Unspecified,MANHATTAN,40.79692520901447,-73.94544883527325,"{'latitude': '40.79692520901447', 'longitude': '-73.94544883527325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58842933,2023-09-17T13:28:24.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,11206,359 SCHOLES STREET,SCHOLES STREET,BOGART STREET,MORGAN AVENUE,BOGART STREET,MORGAN AVENUE,ADDRESS,BROOKLYN,SCHOLES STREET,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-17T10:52:36.000,01 BROOKLYN,3030390023,BROOKLYN,1002596,197907,MOBILE,Unspecified,BROOKLYN,40.709866731150754,-73.93382623147149,"{'latitude': '40.709866731150754', 'longitude': '-73.93382623147149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","359 SCHOLES STREET, BROOKLYN, NY, 11206",,,,,,,
58844605,2023-09-17T13:28:07.000,2023-09-17T14:21:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,3215 HOLLAND AVENUE,HOLLAND AVENUE,BURKE AVENUE,SOUTH OAK DRIVE,BURKE AVENUE,SOUTH OAK DRIVE,ADDRESS,BRONX,HOLLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T14:22:02.000,12 BRONX,2045970031,BRONX,1021528,256868,PHONE,Unspecified,BRONX,40.87163905824152,-73.86521160570618,"{'latitude': '40.87163905824152', 'longitude': '-73.86521160570618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58842713,2023-09-17T13:27:50.000,2023-09-17T13:30:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10022,931 1 AVENUE,1 AVENUE,EAST   51 STREET,EAST   52 STREET,EAST   51 STREET,EAST   52 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T13:30:51.000,06 MANHATTAN,1013447502,MANHATTAN,993829,214307,ONLINE,Unspecified,MANHATTAN,40.754894534879895,-73.96542532622047,"{'latitude': '40.754894534879895', 'longitude': '-73.96542532622047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58839139,2023-09-17T13:27:46.000,2023-09-26T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,11428,93-46 207 STREET,207 STREET,,,,,ADDRESS,QUEENS VILLAGE,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-26T00:00:00.000,13 QUEENS,4105470074,QUEENS,1052320,200198,UNKNOWN,Unspecified,QUEENS,40.71591213348414,-73.75444988254867,"{'latitude': '40.71591213348414', 'longitude': '-73.75444988254867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
58839986,2023-09-17T13:27:44.000,2023-09-17T13:27:44.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11433,106-80 155 STREET,155 STREET,,,,,ADDRESS,JAMAICA,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-17T00:00:00.000,12 QUEENS,,QUEENS,1040110,192909,UNKNOWN,Unspecified,QUEENS,40.69599111877843,-73.79855552638475,"{'latitude': '40.69599111877843', 'longitude': '-73.79855552638475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
