unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58840413,2023-09-17T11:03:53.000,2023-09-17T11:11:05.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,2149 8 AVENUE,8 AVENUE,WEST  115 STREET,WEST  116 STREET,WEST  115 STREET,WEST  116 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T11:11:11.000,10 MANHATTAN,1018480053,MANHATTAN,996574,232301,ONLINE,Unspecified,MANHATTAN,40.80427990061059,-73.95548445294015,"{'latitude': '40.80427990061059', 'longitude': '-73.95548445294015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837531,2023-09-17T11:03:53.000,2023-10-10T08:44:41.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11208,445 AMBER STREET,AMBER STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,05 BROOKLYN,3045190137,BROOKLYN,1023755,182583,PHONE,Unspecified,BROOKLYN,40.66773675598989,-73.85759596554853,"{'latitude': '40.66773675598989', 'longitude': '-73.85759596554853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839625,2023-09-17T11:03:52.000,2023-10-10T08:44:41.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11208,445 AMBER STREET,AMBER STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,05 BROOKLYN,3045190137,BROOKLYN,1023755,182583,PHONE,Unspecified,BROOKLYN,40.66773675598989,-73.85759596554853,"{'latitude': '40.66773675598989', 'longitude': '-73.85759596554853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839585,2023-09-17T11:03:52.000,2023-10-10T08:44:41.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11208,445 AMBER STREET,AMBER STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,05 BROOKLYN,3045190137,BROOKLYN,1023755,182583,PHONE,Unspecified,BROOKLYN,40.66773675598989,-73.85759596554853,"{'latitude': '40.66773675598989', 'longitude': '-73.85759596554853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841933,2023-09-17T11:03:38.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11373,81-11 45 AVENUE,45 AVENUE,81 STREET,82 STREET,81 STREET,82 STREET,ADDRESS,ELMHURST,45 AVENUE,In Progress,,,04 QUEENS,4015270001,QUEENS,1016486,209460,PHONE,Unspecified,QUEENS,40.741537177199554,-73.88366989937091,"{'latitude': '40.741537177199554', 'longitude': '-73.88366989937091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840711,2023-09-17T11:03:28.000,2023-09-25T02:03:23.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10023,32 WEST   71 STREET,WEST   71 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,07 MANHATTAN,1011230048,MANHATTAN,990360,222050,ONLINE,Unspecified,MANHATTAN,40.77615014490311,-73.9779393794525,"{'latitude': '40.77615014490311', 'longitude': '-73.9779393794525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841932,2023-09-17T11:02:52.000,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Restaurant/Bar/Deli/Bakery,11106,31-05 33 STREET,33 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,33 STREET,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:06:34.000,01 QUEENS,4006230038,QUEENS,1005798,217322,ONLINE,Unspecified,QUEENS,40.76314886747992,-73.92221448168283,"{'latitude': '40.76314886747992', 'longitude': '-73.92221448168283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840733,2023-09-17T11:02:48.000,2023-09-17T12:53:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11104,40-05 SKILLMAN AVENUE,SKILLMAN AVENUE,40 STREET,41 STREET,40 STREET,41 STREET,ADDRESS,SUNNYSIDE,SKILLMAN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T12:54:00.000,02 QUEENS,4001830292,QUEENS,1005470,211512,ONLINE,Unspecified,QUEENS,40.74720269486773,-73.92341685529124,"{'latitude': '40.74720269486773', 'longitude': '-73.92341685529124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842346,2023-09-17T11:02:36.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Fence - None/Inadequate,,10023,2030 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-28T00:00:00.000,07 MANHATTAN,1011410051,MANHATTAN,989205,222260,UNKNOWN,Unspecified,MANHATTAN,40.776727262576145,-73.98210943997101,"{'latitude': '40.776727262576145', 'longitude': '-73.98210943997101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844129,2023-09-17T11:02:32.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tow Truck Company,Business,11224,2127 NEPTUNE AVENUE,NEPTUNE AVENUE,WEST   21 STREET,WEST   22 STREET,WEST   21 STREET,WEST   22 STREET,ADDRESS,BROOKLYN,NEPTUNE AVENUE,In Progress,"The Department of Consumer and Worker Protection (DCWP) sent you a complaint form.  To help you, DCWP must get the completed form and any requested documents within 30 days.  You can send requested information by email, fax, or mail. Contact information is on the complaint form.  You may also be able to submit requested information at nyc.gov/dcwp. You must enter your NYC311 Service Request number.  If you didn't receive the complaint form within 15 days from the date you filed your Service Request, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.  DCWP will contact you about 30 days after getting your completed form and documents.",2023-09-18T10:20:05.000,13 BROOKLYN,3069910048,BROOKLYN,987374,150060,PHONE,Unspecified,BROOKLYN,40.57855551713102,-73.98875393001504,"{'latitude': '40.57855551713102', 'longitude': '-73.98875393001504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
