unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,facility_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58841776,2023-09-17T08:11:17.000,2023-09-24T11:16:14.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,10461,1346 EDWARDS AVENUE,EDWARDS AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,10 BRONX,2053500020,BRONX,1029697,244483,PHONE,Unspecified,BRONX,40.83760770465401,-73.83575846793126,"{'latitude': '40.83760770465401', 'longitude': '-73.83575846793126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58838501,2023-09-17T08:11:17.000,2023-09-24T11:16:15.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10461,1346 EDWARDS AVENUE,EDWARDS AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,10 BRONX,2053500020,BRONX,1029697,244483,PHONE,Unspecified,BRONX,40.83760770465401,-73.83575846793126,"{'latitude': '40.83760770465401', 'longitude': '-73.83575846793126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58839643,2023-09-17T08:11:17.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11385,1703 GATES AVENUE,GATES AVENUE,ADDRESS,RIDGEWOOD,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-17T00:00:00.000,05 QUEENS,4034520002,QUEENS,1009370,195161,ONLINE,Unspecified,QUEENS,40.70231297390737,-73.90940276613509,"{'latitude': '40.70231297390737', 'longitude': '-73.90940276613509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58842778,2023-09-17T08:11:17.000,2023-09-24T11:16:14.000,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,10461,1346 EDWARDS AVENUE,EDWARDS AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,10 BRONX,2053500020,BRONX,1029697,244483,PHONE,Unspecified,BRONX,40.83760770465401,-73.83575846793126,"{'latitude': '40.83760770465401', 'longitude': '-73.83575846793126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58840068,2023-09-17T08:11:00.000,2023-09-25T10:50:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10011,221 WEST   21 STREET,WEST   21 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T10:50:00.000,04 MANHATTAN,1007710028,MANHATTAN,984949,210044,ONLINE,Unspecified,MANHATTAN,40.74319883503932,-73.99747745550002,"{'latitude': '40.74319883503932', 'longitude': '-73.99747745550002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVE,8 AVE,N/A,,,,,,,
58837273,2023-09-17T08:10:51.000,2023-09-17T09:19:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11379,64-70 83 PLACE,83 PLACE,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T09:19:20.000,05 QUEENS,4030200031,QUEENS,1020477,201459,ONLINE,Unspecified,QUEENS,40.71956096759072,-73.86931066892235,"{'latitude': '40.71956096759072', 'longitude': '-73.86931066892235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",64 ROAD,FURMANVILLE AVENUE,,64 ROAD,FURMANVILLE AVENUE,83 PLACE,,,,
58837058,2023-09-17T08:10:47.000,2023-09-17T08:34:02.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10453,1650 DR MARTIN LUTHER KING JR BLVD,DR MARTIN LUTHER KING JR BLVD,ADDRESS,BRONX,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T08:34:08.000,05 BRONX,,BRONX,1006682,248219,MOBILE,Unspecified,BRONX,40.84795037807948,-73.91892012087818,"{'latitude': '40.84795037807948', 'longitude': '-73.91892012087818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  175 STREET,TENNEY PLACE,,WEST  175 STREET,TENNEY PLACE,UNIVERSITY AVENUE,,,,
58843566,2023-09-17T08:10:39.000,2023-09-17T08:51:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,108-26 159 STREET,159 STREET,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T08:51:24.000,12 QUEENS,4101460051,QUEENS,1041463,192497,ONLINE,Unspecified,QUEENS,40.694851633900804,-73.79367980321378,"{'latitude': '40.694851633900804', 'longitude': '-73.79367980321378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",108 AVENUE,109 AVENUE,,108 AVENUE,109 AVENUE,159 STREET,,,,
58837817,2023-09-17T08:09:56.000,2023-09-18T11:08:11.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10314,37 MERRILL AVENUE,MERRILL AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-09-18T04:16:59.000,02 STATEN ISLAND,5015800039,STATEN ISLAND,939462,161537,ONLINE,Unspecified,STATEN ISLAND,40.609944934309645,-74.16130796958893,"{'latitude': '40.609944934309645', 'longitude': '-74.16130796958893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHMOND AVENUE,DANNY COURT,,RICHMOND AVENUE,DANNY COURT,MERRILL AVENUE,,,,
58843998,2023-09-17T08:09:53.000,2023-09-17T08:14:13.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11209,313 78 STREET,78 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T08:14:18.000,10 BROOKLYN,3059600079,BROOKLYN,976470,168493,MOBILE,Unspecified,BROOKLYN,40.62914748036203,-74.02802840947419,"{'latitude': '40.62914748036203', 'longitude': '-74.02802840947419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,4 AVENUE,,3 AVENUE,4 AVENUE,78 STREET,,,,
