unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58841169,2023-09-17T03:18:14.000,2023-09-17T03:19:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11238,981 DEAN STREET,DEAN STREET,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,DEAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:19:16.000,08 BROOKLYN,3011340081,BROOKLYN,996005,186304,MOBILE,Unspecified,BROOKLYN,40.67803039848778,-73.95762012074778,"{'latitude': '40.67803039848778', 'longitude': '-73.95762012074778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839001,2023-09-17T03:17:44.000,2023-09-17T04:12:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10455,735 CAULDWELL AVENUE,CAULDWELL AVENUE,WESTCHESTER AVENUE,EAST  156 STREET,WESTCHESTER AVENUE,EAST  156 STREET,ADDRESS,BRONX,CAULDWELL AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T04:12:18.000,01 BRONX,2026247501,BRONX,1009473,237487,MOBILE,Unspecified,BRONX,40.81848661333782,-73.90887248485745,"{'latitude': '40.81848661333782', 'longitude': '-73.90887248485745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837263,2023-09-17T03:17:42.000,2023-09-17T03:33:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11355,58-12 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,58 AVENUE,58 ROAD,58 AVENUE,58 ROAD,ADDRESS,FLUSHING,COLLEGE POINT BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:33:56.000,81 QUEENS,,QUEENS,1029900,211067,ONLINE,Unspecified,QUEENS,40.74588891507333,-73.8352519684369,"{'latitude': '40.74588891507333', 'longitude': '-73.8352519684369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841590,2023-09-17T03:17:36.000,2023-09-17T03:58:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,BERRIAN BOULEVARD,BERRIAN BOULEVARD,43 STREET,BERRIAN BOULEVARD,43 STREET,BERRIAN BOULEVARD,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:58:51.000,01 QUEENS,,QUEENS,1013345,222981,MOBILE,Unspecified,QUEENS,40.77865972022251,-73.89494630244873,"{'latitude': '40.77865972022251', 'longitude': '-73.89494630244873', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841634,2023-09-17T03:17:27.000,2023-09-17T03:21:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11378,54 AVENUE,54 AVENUE,54 AVENUE,MAURICE AVENUE,54 AVENUE,MAURICE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:22:00.000,02 QUEENS,,QUEENS,1010380,204710,PHONE,Unspecified,QUEENS,40.728519754603866,-73.90572305998118,"{'latitude': '40.728519754603866', 'longitude': '-73.90572305998118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839546,2023-09-17T03:17:11.000,2023-09-17T04:14:21.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11231,121 3 STREET,3 STREET,BOND STREET,GOWANUS CANAL SHORELINE,BOND STREET,GOWANUS CANAL SHORELINE,ADDRESS,BROOKLYN,3 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T04:14:27.000,06 BROOKLYN,3004620051,BROOKLYN,986566,185871,ONLINE,Unspecified,BROOKLYN,40.676849413276805,-73.99165035656604,"{'latitude': '40.676849413276805', 'longitude': '-73.99165035656604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837381,2023-09-17T03:17:08.000,2023-09-17T03:30:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,2124 8 AVENUE,8 AVENUE,WEST  114 STREET,WEST  115 STREET,WEST  114 STREET,WEST  115 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T03:30:37.000,10 MANHATTAN,1018300063,MANHATTAN,996435,232039,ONLINE,Unspecified,MANHATTAN,40.80356097547812,-73.95598701055724,"{'latitude': '40.80356097547812', 'longitude': '-73.95598701055724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840364,2023-09-17T03:16:05.000,2023-09-17T05:16:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,2435 CRESTON AVENUE,CRESTON AVENUE,EAST  184 STREET,EAST  188 STREET,EAST  184 STREET,EAST  188 STREET,ADDRESS,BRONX,CRESTON AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T05:16:35.000,05 BRONX,2031730041,BRONX,1012162,252984,ONLINE,Unspecified,BRONX,40.86101325188722,-73.89909297968985,"{'latitude': '40.86101325188722', 'longitude': '-73.89909297968985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839457,2023-09-17T03:15:57.000,2023-09-17T03:47:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,31 STREET,31 STREET,31 STREET,DITMARS BOULEVARD,31 STREET,DITMARS BOULEVARD,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:47:17.000,01 QUEENS,,QUEENS,1008983,222055,ONLINE,Unspecified,QUEENS,40.77613137758405,-73.91069962962875,"{'latitude': '40.77613137758405', 'longitude': '-73.91069962962875', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58843473,2023-09-17T03:15:55.000,2023-09-17T03:21:33.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11378,59-50 54 AVENUE,54 AVENUE,UNNAMED STREET,MAURICE AVENUE,UNNAMED STREET,MAURICE AVENUE,ADDRESS,MASPETH,54 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:21:36.000,02 QUEENS,4026560064,QUEENS,1010007,204950,MOBILE,Unspecified,QUEENS,40.72917958962911,-73.90706792288192,"{'latitude': '40.72917958962911', 'longitude': '-73.90706792288192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
