unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58835349,2023-09-17T00:56:11.000,2023-09-18T05:39:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,107-44 131 STREET,131 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,131 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T05:39:15.000,10 QUEENS,4096100021,QUEENS,1036172,189301,MOBILE,Unspecified,QUEENS,40.68611199393412,-73.8127846561743,"{'latitude': '40.68611199393412', 'longitude': '-73.8127846561743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829878,2023-09-17T00:56:07.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11203,102 EAST   38 STREET,EAST   38 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   38 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-06T14:35:56.000,17 BROOKLYN,3048420022,BROOKLYN,1000253,177960,ONLINE,Unspecified,BROOKLYN,40.65512131869718,-73.94232476939484,"{'latitude': '40.65512131869718', 'longitude': '-73.94232476939484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58841104,2023-09-17T00:56:00.000,2023-10-04T09:00:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10009,162 AVENUE B,AVENUE B,E 10 ST,E 11 ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-04T09:00:00.000,03 MANHATTAN,1004040033,MANHATTAN,989856,204167,ONLINE,Unspecified,MANHATTAN,40.7270661703141,-73.97977401836124,"{'latitude': '40.7270661703141', 'longitude': '-73.97977401836124', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58832024,2023-09-17T00:55:59.000,2023-09-17T01:08:22.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10468,AQUEDUCT WALK,AQUEDUCT WALK,WEST  190 STREET,WEST  192 STREET,WEST  190 STREET,WEST  192 STREET,ADDRESS,BRONX,AQUEDUCT WALK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:08:26.000,07 BRONX,2032140033,BRONX,1011421,254651,ONLINE,Aqueduct Walk,BRONX,40.86559097182579,-73.90176507051558,"{'latitude': '40.86559097182579', 'longitude': '-73.90176507051558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58828431,2023-09-17T00:55:59.000,2023-09-17T01:42:34.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11105,43-01 20 ROAD,20 ROAD,43 STREET,45 STREET,43 STREET,45 STREET,ADDRESS,ASTORIA,20 ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:42:39.000,01 QUEENS,4007860015,QUEENS,1011781,221235,MOBILE,Unspecified,QUEENS,40.77387242228741,-73.90060060644107,"{'latitude': '40.77387242228741', 'longitude': '-73.90060060644107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829704,2023-09-17T00:55:47.000,2023-09-17T01:17:58.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10036,597 10 AVENUE,10 AVENUE,WEST   43 STREET,WEST   44 STREET,WEST   43 STREET,WEST   44 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:18:02.000,04 MANHATTAN,1010720029,MANHATTAN,985678,216351,PHONE,Unspecified,MANHATTAN,40.76050986627776,-73.99484530793359,"{'latitude': '40.76050986627776', 'longitude': '-73.99484530793359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829680,2023-09-17T00:55:42.000,2023-09-17T01:10:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,951 GRAND STREET,GRAND STREET,CATHERINE STREET,MORGAN AVENUE,CATHERINE STREET,MORGAN AVENUE,ADDRESS,BROOKLYN,GRAND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:10:28.000,01 BROOKLYN,3029240048,BROOKLYN,1001906,199054,ONLINE,Unspecified,BROOKLYN,40.71301637641102,-73.93631204306541,"{'latitude': '40.71301637641102', 'longitude': '-73.93631204306541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58833352,2023-09-17T00:55:37.000,2023-09-17T01:11:48.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2645 BRIGGS AVENUE,BRIGGS AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:11:53.000,07 BRONX,2033000001,BRONX,1013985,254569,MOBILE,Unspecified,BRONX,40.86535764249122,-73.892495473103,"{'latitude': '40.86535764249122', 'longitude': '-73.892495473103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58830930,2023-09-17T00:55:28.000,2023-09-17T01:02:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:02:21.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58827041,2023-09-17T00:55:12.000,2023-09-17T01:10:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,501 WEST  139 STREET,WEST  139 STREET,AMSTERDAM AVENUE,HAMILTON PLACE,AMSTERDAM AVENUE,HAMILTON PLACE,ADDRESS,NEW YORK,WEST  139 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:10:28.000,09 MANHATTAN,1020710029,MANHATTAN,997914,238598,MOBILE,Unspecified,MANHATTAN,40.82156143682672,-73.95063141802162,"{'latitude': '40.82156143682672', 'longitude': '-73.95063141802162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
