unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location
58830900,2023-09-16T23:34:55.000,2023-09-17T00:36:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11436,144-03 123 AVENUE,123 AVENUE,144 STREET,145 STREET,144 STREET,145 STREET,ADDRESS,JAMAICA,123 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:36:41.000,12 QUEENS,4120410041,QUEENS,1041123,185211,ONLINE,Unspecified,QUEENS,40.67485547467791,-73.79496739783849,"{'latitude': '40.67485547467791', 'longitude': '-73.79496739783849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833378,2023-09-16T23:34:48.000,2023-09-17T00:19:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11106,32-18 23 STREET,23 STREET,BROADWAY,33 AVENUE,BROADWAY,33 AVENUE,ADDRESS,ASTORIA,23 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:19:17.000,01 QUEENS,4005550042,QUEENS,1003499,217748,ONLINE,Unspecified,QUEENS,40.764323431732805,-73.93051235345989,"{'latitude': '40.764323431732805', 'longitude': '-73.93051235345989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832374,2023-09-16T23:34:46.000,2023-09-17T00:35:50.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11691,20-17 CORNAGA AVENUE,CORNAGA AVENUE,BEACH   20 STREET,BEACH   21 STREET,BEACH   20 STREET,BEACH   21 STREET,ADDRESS,FAR ROCKAWAY,CORNAGA AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T00:35:56.000,14 QUEENS,4157500029,QUEENS,1052553,158785,PHONE,Unspecified,QUEENS,40.60224122932259,-73.75402886431083,"{'latitude': '40.60224122932259', 'longitude': '-73.75402886431083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830637,2023-09-16T23:34:45.000,2023-09-16T23:55:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,177 SANDS STREET,SANDS STREET,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T23:56:00.000,02 BROOKLYN,3000680001,BROOKLYN,988793,194233,ONLINE,Unspecified,BROOKLYN,40.699800319891985,-73.98361593748928,"{'latitude': '40.699800319891985', 'longitude': '-73.98361593748928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833788,2023-09-16T23:34:40.000,2023-09-17T00:07:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11103,31-32 42 STREET,42 STREET,31 AVENUE,BROADWAY,31 AVENUE,BROADWAY,ADDRESS,ASTORIA,42 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:07:20.000,01 QUEENS,4006790054,QUEENS,1007458,216061,MOBILE,Unspecified,QUEENS,40.75968354620579,-73.91622645130565,"{'latitude': '40.75968354620579', 'longitude': '-73.91622645130565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830792,2023-09-16T23:34:31.000,2023-09-17T00:01:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11378,53-43 67 STREET,67 STREET,DEAD END,53 DRIVE,DEAD END,53 DRIVE,ADDRESS,MASPETH,67 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:01:20.000,05 QUEENS,4024040036,QUEENS,1012554,205239,MOBILE,Unspecified,QUEENS,40.72996504009379,-73.8978770580083,"{'latitude': '40.72996504009379', 'longitude': '-73.8978770580083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833310,2023-09-16T23:34:28.000,2023-09-16T23:55:00.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,510 FLATBUSH AVENUE,FLATBUSH AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:55:02.000,09 BROOKLYN,3050240053,BROOKLYN,994920,180403,ONLINE,Unspecified,BROOKLYN,40.66183484805751,-73.96154117220703,"{'latitude': '40.66183484805751', 'longitude': '-73.96154117220703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830394,2023-09-16T23:34:20.000,2023-09-17T00:04:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,45-28 23 STREET,23 STREET,45 ROAD,DAVIS STREET,45 ROAD,DAVIS STREET,ADDRESS,LONG ISLAND CITY,23 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:04:40.000,02 QUEENS,4000760025,QUEENS,999335,211129,MOBILE,Unspecified,QUEENS,40.74616404984508,-73.94555897010797,"{'latitude': '40.74616404984508', 'longitude': '-73.94555897010797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58826862,2023-09-16T23:34:13.000,2023-09-16T23:35:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:35:57.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836139,2023-09-16T23:34:11.000,2023-09-17T00:36:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11367,147-02 70 ROAD,70 ROAD,147 STREET,150 STREET,147 STREET,150 STREET,ADDRESS,FLUSHING,70 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:36:51.000,08 QUEENS,4066760038,QUEENS,1033952,205040,PHONE,Unspecified,QUEENS,40.729324481047875,-73.82067311800112,"{'latitude': '40.729324481047875', 'longitude': '-73.82067311800112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
