unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58834441,2023-09-16T22:20:38.000,2023-09-16T22:31:09.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10314,115 WASHINGTON AVENUE,WASHINGTON AVENUE,NILES PLACE,OAKVILLE STREET,NILES PLACE,OAKVILLE STREET,ADDRESS,STATEN ISLAND,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:31:13.000,02 STATEN ISLAND,5019880135,STATEN ISLAND,946488,157636,ONLINE,Unspecified,STATEN ISLAND,40.59927022473985,-74.13598143931983,"{'latitude': '40.59927022473985', 'longitude': '-74.13598143931983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832926,2023-09-16T22:20:23.000,2023-09-18T15:21:55.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Stoop Line Stand,Business,10305,11 APPLEBY AVENUE,APPLEBY AVENUE,FOCH AVENUE,QUINTARD STREET,FOCH AVENUE,QUINTARD STREET,ADDRESS,STATEN ISLAND,APPLEBY AVENUE,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-18T15:21:58.000,02 STATEN ISLAND,5033940101,STATEN ISLAND,962475,154914,ONLINE,Unspecified,STATEN ISLAND,40.591852585361295,-74.07840331910445,"{'latitude': '40.591852585361295', 'longitude': '-74.07840331910445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828630,2023-09-16T22:20:13.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10010,354 PARK AVENUE SOUTH,PARK AVENUE SOUTH,EAST   25 STREET,EAST   26 STREET,EAST   25 STREET,EAST   26 STREET,ADDRESS,NEW YORK,PARK AVENUE SOUTH,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T11:23:38.000,05 MANHATTAN,1008550024,MANHATTAN,988353,209538,ONLINE,Unspecified,MANHATTAN,40.74180906707277,-73.98519344172153,"{'latitude': '40.74180906707277', 'longitude': '-73.98519344172153', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","354 PARK AVENUE SOUTH, MANHATTAN (NEW YORK), NY, 10010",,,,,,
58836020,2023-09-16T22:20:09.000,2023-09-16T22:35:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11356,11-23 129 STREET,129 STREET,11 AVENUE,14 AVENUE,11 AVENUE,14 AVENUE,ADDRESS,COLLEGE POINT,129 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:35:58.000,07 QUEENS,4040070080,QUEENS,1028780,226101,MOBILE,Unspecified,QUEENS,40.78715899245787,-73.83919436894018,"{'latitude': '40.78715899245787', 'longitude': '-73.83919436894018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828089,2023-09-16T22:20:05.000,2023-09-16T22:29:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11692,532 BEACH   64 STREET,BEACH   64 STREET,THURSBY AVENUE,ALMEDA AVENUE,THURSBY AVENUE,ALMEDA AVENUE,ADDRESS,ARVERNE,BEACH   64 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:29:33.000,14 QUEENS,4160300015,QUEENS,1041587,156442,ONLINE,Unspecified,QUEENS,40.59588792020013,-73.79353908862726,"{'latitude': '40.59588792020013', 'longitude': '-73.79353908862726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826895,2023-09-16T22:20:02.000,2023-09-16T22:33:34.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11354,153-01 BAYSIDE AVENUE,BAYSIDE AVENUE,153 STREET,154 STREET,153 STREET,154 STREET,ADDRESS,FLUSHING,BAYSIDE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:33:38.000,07 QUEENS,4048350025,QUEENS,1036630,220450,ONLINE,Unspecified,QUEENS,40.77160548750629,-73.81089078025481,"{'latitude': '40.77160548750629', 'longitude': '-73.81089078025481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836108,2023-09-16T22:20:02.000,2023-09-16T22:40:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,69 RICHARD LANE,RICHARD LANE,BEND,GARY COURT,BEND,GARY COURT,ADDRESS,STATEN ISLAND,RICHARD LANE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:40:15.000,02 STATEN ISLAND,5015570025,STATEN ISLAND,940204,161082,MOBILE,Unspecified,STATEN ISLAND,40.60869977405409,-74.15863262880605,"{'latitude': '40.60869977405409', 'longitude': '-74.15863262880605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58836021,2023-09-16T22:19:57.000,2023-09-16T22:25:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:25:50.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826687,2023-09-16T22:19:54.000,2023-09-16T22:53:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11235,1809 EMMONS AVENUE,EMMONS AVENUE,SHEEPSHEAD BAY ROAD,EAST   19 STREET,SHEEPSHEAD BAY ROAD,EAST   19 STREET,ADDRESS,BROOKLYN,EMMONS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:53:09.000,15 BROOKLYN,3087737501,BROOKLYN,998075,151857,MOBILE,Unspecified,BROOKLYN,40.583477696749796,-73.95022778988424,"{'latitude': '40.583477696749796', 'longitude': '-73.95022778988424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58835710,2023-09-16T22:19:47.000,2023-09-16T22:37:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10026,307 WEST  111 STREET,WEST  111 STREET,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,ADDRESS,NEW YORK,WEST  111 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:37:43.000,10 MANHATTAN,1018460039,MANHATTAN,995886,231236,MOBILE,Unspecified,MANHATTAN,40.80135770091541,-73.95797142454762,"{'latitude': '40.80135770091541', 'longitude': '-73.95797142454762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
