unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,resolution_description,resolution_action_updated_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,road_ramp,bridge_highway_direction
58836593,2023-09-16T18:39:51.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016,305 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   37 STREET,EAST   38 STREET,EAST   37 STREET,EAST   38 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,In Progress,06 MANHATTAN,1008930066,MANHATTAN,990326,212031,ONLINE,Unspecified,MANHATTAN,40.748650592032014,-73.9780711948099,"{'latitude': '40.748650592032014', 'longitude': '-73.9780711948099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58836591,2023-09-16T18:39:48.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10016,208 EAST   28 STREET,EAST   28 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,In Progress,06 MANHATTAN,1009080047,MANHATTAN,989655,209538,ONLINE,Unspecified,MANHATTAN,40.74180836717385,-73.98049489472714,"{'latitude': '40.74180836717385', 'longitude': '-73.98049489472714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58830934,2023-09-16T18:39:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11373,40-51 DENMAN STREET,DENMAN STREET,ELMHURST AVENUE,WHITNEY AVENUE,ELMHURST AVENUE,WHITNEY AVENUE,ADDRESS,ELMHURST,DENMAN STREET,Closed,04 QUEENS,4015520001,QUEENS,1018511,211572,ONLINE,Unspecified,QUEENS,40.747326470048094,-73.876351530028,"{'latitude': '40.747326470048094', 'longitude': '-73.876351530028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:02:23.000,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T19:02:27.000,,,,,,,
58828542,2023-09-16T18:39:27.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:42:49.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T18:42:52.000,,,,,,,
58833373,2023-09-16T18:39:22.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10467,3545 JEROME AVENUE,JEROME AVENUE,UNNAMED STREET,MAJOR DEEGAN EXPWY NB ET   13,UNNAMED STREET,MAJOR DEEGAN EXPWY NB ET   13,ADDRESS,BRONX,JEROME AVENUE,Closed,26 BRONX,2059000001,BRONX,1017789,263252,ONLINE,Van Cortlandt Park,BRONX,40.889176136507665,-73.87869895902735,"{'latitude': '40.889176136507665', 'longitude': '-73.87869895902735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:35:45.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T19:35:48.000,,,,,,,
58828612,2023-09-16T18:39:11.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11217,378 BERGEN STREET,BERGEN STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,In Progress,06 BROOKLYN,3009320014,BROOKLYN,990125,187811,MOBILE,Unspecified,BROOKLYN,40.68217262688305,-73.97881775848634,"{'latitude': '40.68217262688305', 'longitude': '-73.97881775848634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58831951,2023-09-16T18:39:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11432,,,,,JAMAICA AVENUE,170 STREET,INTERSECTION,QUEENS,,Closed,12 QUEENS,,QUEENS,1042592,197006,UNKNOWN,Unspecified,QUEENS,40.707220377108214,-73.78956938390046,"{'latitude': '40.707220377108214', 'longitude': '-73.78956938390046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T19:31:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-16T19:31:00.000,N/A,,,,,,
58835020,2023-09-16T18:38:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11422,138-08 249 STREET,249 STREET,HOOK CREEK BOULEVARD,139 AVENUE,HOOK CREEK BOULEVARD,139 AVENUE,ADDRESS,ROSEDALE,249 STREET,Closed,13 QUEENS,4136200035,QUEENS,1059133,181367,ONLINE,Unspecified,QUEENS,40.664170577968605,-73.73008268877325,"{'latitude': '40.664170577968605', 'longitude': '-73.73008268877325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T20:38:04.000,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T20:38:07.000,,,,,,,
58833787,2023-09-16T18:38:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,202 WEST  115 STREET,WEST  115 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  115 STREET,Closed,10 MANHATTAN,1018307503,MANHATTAN,997166,231711,MOBILE,Unspecified,MANHATTAN,40.802659667266795,-73.95334722386312,"{'latitude': '40.802659667266795', 'longitude': '-73.95334722386312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:45:17.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:45:22.000,,,,,,,
58830795,2023-09-16T18:38:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10303,69B ARLINGTON AVENUE,ARLINGTON AVENUE,RICHMOND TERRACE,BENJAMIN PLACE,RICHMOND TERRACE,BENJAMIN PLACE,ADDRESS,STATEN ISLAND,ARLINGTON AVENUE,Closed,01 STATEN ISLAND,5012630025,STATEN ISLAND,937793,172056,ONLINE,Unspecified,STATEN ISLAND,40.63880874030758,-74.16739140270063,"{'latitude': '40.63880874030758', 'longitude': '-74.16739140270063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T18:51:43.000,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T18:51:47.000,,,,,,,
