unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,location_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58956055,2023-09-29T19:02:00.000,2023-10-01T09:20:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11230,1583 EAST   15 STREET,EAST   15 STREET,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-01T09:20:00.000,14 BROOKLYN,3067620056,BROOKLYN,995714,161912,ONLINE,Unspecified,BROOKLYN,40.61108000610622,-73.95871070310919,"{'latitude': '40.61108000610622', 'longitude': '-73.95871070310919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58963485,2023-09-29T19:02:00.000,2023-10-01T13:20:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11232,723 4 AVENUE,4 AVENUE,23 ST,24 ST,ADDRESS,BROOKLYN,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-01T13:20:00.000,07 BROOKLYN,3006490001,BROOKLYN,985038,180199,ONLINE,Unspecified,BROOKLYN,40.6612813070868,-73.99715976533709,"{'latitude': '40.6612813070868', 'longitude': '-73.99715976533709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58959027,2023-09-29T19:02:00.000,2023-09-30T14:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11422,245-23 149 DRIVE,149 DRIVE,HUXLEY ST,253 ST,ADDRESS,ROSEDALE,Closed,The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,2023-09-30T14:35:00.000,13 QUEENS,4136450034,QUEENS,1057025,176791,PHONE,Unspecified,QUEENS,40.65162809680765,-73.73773035639638,"{'latitude': '40.65162809680765', 'longitude': '-73.73773035639638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58960432,2023-09-29T19:02:00.000,2023-10-02T16:36:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),10001,105 WEST   29 STREET,WEST   29 STREET,AVENUE OF THE AMERICAS,7 AVE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,2023-10-02T16:36:00.000,05 MANHATTAN,1008057502,MANHATTAN,986863,211385,ONLINE,Unspecified,MANHATTAN,40.74687918585536,-73.99056970969488,"{'latitude': '40.74687918585536', 'longitude': '-73.99056970969488', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,,,
58961957,2023-09-29T19:01:31.000,2023-10-02T11:33:43.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Drug Store or Pharmacy,11365,70-35 PARSONS BOULEVARD,PARSONS BOULEVARD,JEWEL AVENUE,71 AVENUE,ADDRESS,FRESH MEADOWS,Closed,"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-10-02T11:33:46.000,08 QUEENS,4067890065,QUEENS,1036672,205592,PHONE,Unspecified,QUEENS,40.73082388061289,-73.81085497419318,"{'latitude': '40.73082388061289', 'longitude': '-73.81085497419318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Business,JEWEL AVENUE,71 AVENUE,PARSONS BOULEVARD,,,,,,
58962750,2023-09-29T19:01:24.000,2023-10-02T02:02:34.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10032,76 ST NICHOLAS PLACE,ST NICHOLAS PLACE,,,ADDRESS,NEW YORK,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-02T00:00:00.000,09 MANHATTAN,1020540079,MANHATTAN,1000634,241478,MOBILE,Unspecified,MANHATTAN,40.829461589531974,-73.94079691863257,"{'latitude': '40.829461589531974', 'longitude': '-73.94079691863257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,RESIDENTIAL BUILDING,,,,,,,,,
59459246,2023-09-29T19:01:08.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Steam Pipe/Riser,11205,213 TAAFFE PLACE,TAAFFE PLACE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T00:00:00.000,03 BROOKLYN,3019250007,BROOKLYN,995430,191319,ONLINE,Unspecified,BROOKLYN,40.69179617118657,-73.95968482608953,"{'latitude': '40.69179617118657', 'longitude': '-73.95968482608953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Public Area,WILLOUGHBY AVENUE,DEKALB AVENUE,TAAFFE PLACE,,,,,,
59460134,2023-09-29T19:00:59.000,,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,11207,120 COOPER STREET,COOPER STREET,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,In Progress,,,04 BROOKLYN,3034400018,BROOKLYN,1009710,189547,ONLINE,Unspecified,BROOKLYN,40.68690288194461,-73.90819774985472,"{'latitude': '40.68690288194461', 'longitude': '-73.90819774985472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Apartment,EVERGREEN AVENUE,CENTRAL AVENUE,COOPER STREET,,,,,,
59446172,2023-09-29T19:00:54.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11205,213 TAAFFE PLACE,TAAFFE PLACE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-10T00:00:00.000,03 BROOKLYN,3019250007,BROOKLYN,995430,191319,ONLINE,Unspecified,BROOKLYN,40.69179617118657,-73.95968482608953,"{'latitude': '40.69179617118657', 'longitude': '-73.95968482608953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Apartment,WILLOUGHBY AVENUE,DEKALB AVENUE,TAAFFE PLACE,,,,,,
59456582,2023-09-29T19:00:36.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,10034,47 COOPER STREET,COOPER STREET,WEST  204 STREET,WEST  207 STREET,ADDRESS,NEW YORK,In Progress,,,12 MANHATTAN,1022410001,MANHATTAN,1005487,255505,PHONE,Unspecified,MANHATTAN,40.8679512117346,-73.92321633086281,"{'latitude': '40.8679512117346', 'longitude': '-73.92321633086281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,Apartment,WEST  204 STREET,WEST  207 STREET,COOPER STREET,,,,,,
