unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,due_date,taxi_company_borough
58830943,2023-09-16T16:01:54.000,2023-09-16T16:38:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,3114 BAILEY AVENUE,BAILEY AVENUE,WEST  231 STREET,SUMMIT PLACE,WEST  231 STREET,SUMMIT PLACE,ADDRESS,BRONX,BAILEY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:38:37.000,08 BRONX,2032610031,BRONX,1011327,259315,ONLINE,Unspecified,BRONX,40.87839250277802,-73.90208607260666,"{'latitude': '40.87839250277802', 'longitude': '-73.90208607260666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58835288,2023-09-16T16:01:48.000,2023-09-29T11:44:02.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11222,MCCARREN PARK,MCCARREN PARK,BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,UNRECOGNIZED,BROOKLYN,MCCARREN PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-09-29T11:44:00.000,01 BROOKLYN,3026960001,BROOKLYN,997610,201904,ONLINE,Unspecified,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836030,2023-09-16T16:01:45.000,2023-09-16T16:15:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,84 REGIS DRIVE,REGIS DRIVE,LENORE COURT,ARLENE COURT,LENORE COURT,ARLENE COURT,ADDRESS,STATEN ISLAND,REGIS DRIVE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T16:15:59.000,01 STATEN ISLAND,5016570060,STATEN ISLAND,940508,165044,ONLINE,Unspecified,STATEN ISLAND,40.619576134120855,-74.15756343496027,"{'latitude': '40.619576134120855', 'longitude': '-74.15756343496027', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826766,2023-09-16T16:01:20.000,2023-09-16T16:27:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,79 SHERMAN AVENUE,SHERMAN AVENUE,THAYER STREET,DYCKMAN STREET,THAYER STREET,DYCKMAN STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:27:59.000,12 MANHATTAN,1021740038,MANHATTAN,1004626,253862,ONLINE,Unspecified,MANHATTAN,40.86344370639763,-73.92633432299584,"{'latitude': '40.86344370639763', 'longitude': '-73.92633432299584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58827560,2023-09-16T16:01:18.000,2023-09-20T08:08:33.000,DSNY,Department of Sanitation,Dead Animal,Squirrel,Street,11364,67 AVENUE,67 AVENUE,67 AVENUE,217 STREET,67 AVENUE,217 STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T10:36:52.000,11 QUEENS,,QUEENS,1051037,210625,PHONE,Unspecified,QUEENS,40.74454136683814,-73.75897455360897,"{'latitude': '40.74454136683814', 'longitude': '-73.75897455360897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58827184,2023-09-16T16:00:30.000,2023-10-29T15:05:59.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11433,109-12 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-29T00:00:00.000,12 QUEENS,4121520041,QUEENS,1042532,192410,PHONE,Unspecified,QUEENS,40.694605864298175,-73.78982556756519,"{'latitude': '40.694605864298175', 'longitude': '-73.78982556756519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58831149,2023-09-16T16:00:30.000,2023-10-29T15:05:59.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11433,109-12 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-29T00:00:00.000,12 QUEENS,4121520041,QUEENS,1042532,192410,PHONE,Unspecified,QUEENS,40.694605864298175,-73.78982556756519,"{'latitude': '40.694605864298175', 'longitude': '-73.78982556756519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58828802,2023-09-16T16:00:04.000,2023-09-16T16:24:31.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10310,122 SENECA STREET,SENECA STREET,BROADWAY,DEAD END,BROADWAY,DEAD END,ADDRESS,STATEN ISLAND,SENECA STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T16:24:34.000,01 STATEN ISLAND,5002170020,STATEN ISLAND,951552,169411,MOBILE,Unspecified,STATEN ISLAND,40.63161026445073,-74.11780295812666,"{'latitude': '40.63161026445073', 'longitude': '-74.11780295812666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58832322,2023-09-16T15:59:50.000,2023-09-16T16:32:17.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,54 EAST  182 STREET,EAST  182 STREET,WALTON AVENUE,MORRIS AVENUE,WALTON AVENUE,MORRIS AVENUE,ADDRESS,BRONX,EAST  182 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T16:32:19.000,05 BRONX,2031810019,BRONX,1010966,251501,ONLINE,Unspecified,BRONX,40.85694656497296,-73.90342264730121,"{'latitude': '40.85694656497296', 'longitude': '-73.90342264730121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58827482,2023-09-16T15:59:50.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,11105,20-02 36 STREET,36 STREET,20 AVENUE,20 ROAD,20 AVENUE,20 ROAD,ADDRESS,ASTORIA,36 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T19:25:09.000,01 QUEENS,4008280075,QUEENS,1010829,222655,MOBILE,Unspecified,QUEENS,40.777772860596095,-73.90403213855973,"{'latitude': '40.777772860596095', 'longitude': '-73.90403213855973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
