unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction
58834238,2023-09-16T13:24:09.000,2023-09-16T14:30:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10468,2887 RESERVOIR AVENUE,RESERVOIR AVENUE,WEST  195 STREET,GOULDEN AVENUE,WEST  195 STREET,GOULDEN AVENUE,ADDRESS,BRONX,RESERVOIR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T14:30:29.000,08 BRONX,BRONX,1012452,256483,MOBILE,Unspecified,BRONX,40.87061601666171,-73.89802985217285,"{'latitude': '40.87061601666171', 'longitude': '-73.89802985217285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832637,2023-09-16T13:23:32.000,2023-09-19T10:53:30.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11216,1440 BEDFORD AVENUE,BEDFORD AVENUE,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-16T13:23:32.000,08 BROOKLYN,BROOKLYN,997042,184831,ONLINE,Unspecified,BROOKLYN,40.67398590834921,-73.95388425831217,"{'latitude': '40.67398590834921', 'longitude': '-73.95388425831217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3012310047,,,,,,
58833064,2023-09-16T13:23:22.000,2023-09-16T14:30:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2895 RESERVOIR AVENUE,RESERVOIR AVENUE,WEST  195 STREET,GOULDEN AVENUE,WEST  195 STREET,GOULDEN AVENUE,ADDRESS,BRONX,RESERVOIR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T14:30:57.000,08 BRONX,BRONX,1012463,256499,MOBILE,Unspecified,BRONX,40.87065989658516,-73.8979900120702,"{'latitude': '40.87065989658516', 'longitude': '-73.8979900120702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830805,2023-09-16T13:23:12.000,2023-09-16T15:05:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,225 HIMROD STREET,HIMROD STREET,MYRTLE AVENUE,KNICKERBOCKER AVENUE,MYRTLE AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,HIMROD STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T15:05:58.000,04 BROOKLYN,BROOKLYN,1006340,194179,ONLINE,Unspecified,BROOKLYN,40.699625697530344,-73.92033391136604,"{'latitude': '40.699625697530344', 'longitude': '-73.92033391136604', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3032680045,,,,,,
58826348,2023-09-16T13:23:00.000,2023-09-22T16:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",,11358,41-25 162 STREET,162 STREET,STATION RD,SANFORD AVE,,,ADDRESS,FLUSHING,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T16:00:00.000,07 QUEENS,QUEENS,1038579,216606,ONLINE,Unspecified,QUEENS,40.761042965412464,-73.80388533577484,"{'latitude': '40.761042965412464', 'longitude': '-73.80388533577484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4053360043,N/A,,,,,
58836801,2023-09-16T13:22:55.000,2023-09-16T14:31:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10468,2895 RESERVOIR AVENUE,RESERVOIR AVENUE,WEST  195 STREET,GOULDEN AVENUE,WEST  195 STREET,GOULDEN AVENUE,ADDRESS,BRONX,RESERVOIR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T14:31:12.000,08 BRONX,BRONX,1012463,256499,MOBILE,Unspecified,BRONX,40.87065989658516,-73.8979900120702,"{'latitude': '40.87065989658516', 'longitude': '-73.8979900120702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834586,2023-09-16T13:22:52.000,2023-09-16T13:22:52.000,DOT,Department of Transportation,Street Condition,Pothole,,,JEROME AVENUE,JEROME AVENUE,ANDERSON AVENUE,EAST  164 STREET,,,BLOCKFACE,,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-16T13:22:52.000,Unspecified BRONX,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,N/A,,,,,
58836446,2023-09-16T13:22:52.000,2023-09-18T12:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,,JEROME AVENUE,JEROME AVENUE,ANDERSON AVENUE,EAST  164 STREET,,,BLOCKFACE,,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T12:00:00.000,Unspecified BRONX,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,N/A,,,,,
58831177,2023-09-16T13:22:42.000,2023-10-08T18:19:10.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11216,792 STERLING PLACE,STERLING PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-08T00:00:00.000,08 BROOKLYN,BROOKLYN,997528,184335,PHONE,Unspecified,BROOKLYN,40.67262378433157,-73.95213318364927,"{'latitude': '40.67262378433157', 'longitude': '-73.95213318364927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3012470011,,,,,,
58836273,2023-09-16T13:22:28.000,2023-09-16T14:15:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,135 TERRACE VIEW AVENUE,TERRACE VIEW AVENUE,TEUNISSEN PLACE,ADRIAN AVENUE,TEUNISSEN PLACE,ADRIAN AVENUE,ADDRESS,BRONX,TERRACE VIEW AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T14:15:32.000,08 BRONX,BRONX,1008350,258600,ONLINE,Unspecified,BRONX,40.876438681067974,-73.91285385358535,"{'latitude': '40.876438681067974', 'longitude': '-73.91285385358535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1022150061,,,,,,
58833874,2023-09-16T13:22:25.000,2023-09-25T16:36:29.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11234,26 LOTT PLACE,LOTT PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,18 BROOKLYN,BROOKLYN,1002150,165999,PHONE,Unspecified,BROOKLYN,40.622287307082324,-73.93551966573378,"{'latitude': '40.622287307082324', 'longitude': '-73.93551966573378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3078210041,,,,,,
58831796,2023-09-16T13:22:12.000,2023-09-16T15:37:35.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11377,40-47 71 STREET,71 STREET,DEAD END,41 AVENUE,DEAD END,41 AVENUE,ADDRESS,WOODSIDE,71 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T15:37:39.000,02 QUEENS,QUEENS,1013554,210809,MOBILE,Unspecified,QUEENS,40.74525004388867,-73.89424472403708,"{'latitude': '40.74525004388867', 'longitude': '-73.89424472403708', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4013030045,,,,,,
58831615,2023-09-16T13:22:11.000,2023-09-20T12:51:42.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11208,650 COZINE AVENUE,COZINE AVENUE,LOGAN STREET,FOUNTAIN AVENUE,LOGAN STREET,FOUNTAIN AVENUE,ADDRESS,BROOKLYN,COZINE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T12:28:27.000,05 BROOKLYN,BROOKLYN,1020534,180441,MOBILE,Unspecified,BROOKLYN,40.66187123412356,-73.86921824345004,"{'latitude': '40.66187123412356', 'longitude': '-73.86921824345004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3045640010,,,,,,
58831797,2023-09-16T13:22:07.000,2023-09-16T13:36:24.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10034,570 WEST  214 STREET,WEST  214 STREET,SEAMAN AVENUE,INDIAN ROAD,SEAMAN AVENUE,INDIAN ROAD,ADDRESS,NEW YORK,WEST  214 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T13:36:28.000,12 MANHATTAN,MANHATTAN,1006555,256695,MOBILE,Unspecified,MANHATTAN,40.87121476286591,-73.91935095259326,"{'latitude': '40.87121476286591', 'longitude': '-73.91935095259326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1022550001,,,,,,
