unique_key,created_date,agency,agency_name,complaint_type,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,descriptor,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,taxi_company_borough
58828760,2023-09-16T11:22:08.000,DHS,Department of Homeless Services,Homeless Person Assistance,Street/Sidewalk,10026,231 WEST  112 STREET,WEST  112 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  112 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T21:30:33.000,10 MANHATTAN,1018280015,MANHATTAN,996473,231209,MOBILE,Unspecified,MANHATTAN,40.80128280079335,-73.95585126316988,"{'latitude': '40.80128280079335', 'longitude': '-73.95585126316988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58830484,2023-09-16T11:22:04.000,DSNY,Department of Sanitation,Graffiti,Comercial,11230,1677 MCDONALD AVENUE,MCDONALD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-09-21T07:15:27.000,12 BROOKLYN,3065830069,BROOKLYN,991585,162229,UNKNOWN,Unspecified,BROOKLYN,40.61195448579798,-73.97358156373319,"{'latitude': '40.61195448579798', 'longitude': '-73.97358156373319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T00:00:00.000,Graffiti,N/A,2023-10-16T11:22:04.000,,,,,,
58827622,2023-09-16T11:22:01.000,DSNY,Department of Sanitation,Vendor Enforcement,Street,10013,404 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,WALKER STREET,LISPENARD STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-16T13:01:26.000,01 MANHATTAN,1001960003,MANHATTAN,983596,201164,PHONE,Unspecified,MANHATTAN,40.71882541420916,-74.00235928582407,"{'latitude': '40.71882541420916', 'longitude': '-74.00235928582407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T13:01:23.000,Non-Food Vendor,,,,,,,,
58828736,2023-09-16T11:22:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Sidewalk,10310,46 BEMENT AVENUE,BEMENT AVENUE,RICHMOND TERRACE,HOWARD COURT,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-18T12:28:00.000,01 STATEN ISLAND,5001570040,STATEN ISLAND,952716,173092,PHONE,Unspecified,STATEN ISLAND,40.6417180368846,-74.113626555862,"{'latitude': '40.6417180368846', 'longitude': '-74.113626555862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T12:28:00.000,Ewaste appointment,,,,,,,,
58831183,2023-09-16T11:21:32.000,NYPD,New York City Police Department,Drug Activity,Street/Sidewalk,10473,740 BEACH AVENUE,BEACH AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,BEACH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T11:33:10.000,09 BRONX,2035980017,BRONX,1022009,238046,PHONE,Unspecified,BRONX,40.819976219579004,-73.86357841506774,"{'latitude': '40.819976219579004', 'longitude': '-73.86357841506774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:33:05.000,Use Outside,,,,,,,,
58827087,2023-09-16T11:21:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T11:44:54.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:44:50.000,Loud Talking,,,,,,,,
58829053,2023-09-16T11:21:16.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11226,2902 ALBEMARLE ROAD,ALBEMARLE ROAD,EAST   29 STREET,NOSTRAND AVENUE,EAST   29 STREET,NOSTRAND AVENUE,ADDRESS,BROOKLYN,ALBEMARLE ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T12:21:51.000,17 BROOKLYN,3051310001,BROOKLYN,998109,175402,MOBILE,Unspecified,BROOKLYN,40.648103781575166,-73.95005705587697,"{'latitude': '40.648103781575166', 'longitude': '-73.95005705587697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T12:21:47.000,Blocked Sidewalk,,,,,,,,
58829670,2023-09-16T11:21:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,11219,1222 63 STREET,63 STREET,12 AVENUE,13 AVENUE,12 AVENUE,13 AVENUE,ADDRESS,BROOKLYN,63 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T11:54:12.000,10 BROOKLYN,3057390005,BROOKLYN,983738,168095,MOBILE,Unspecified,BROOKLYN,40.62805845579071,-74.00184451301337,"{'latitude': '40.62805845579071', 'longitude': '-74.00184451301337', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:54:07.000,Loud Talking,,,,,,,,
58834142,2023-09-16T11:21:08.000,DHS,Department of Homeless Services,Homeless Person Assistance,Street/Sidewalk,10025,2857 BROADWAY,BROADWAY,CATHEDRAL PARKWAY,WEST 111 STREET,CATHEDRAL PARKWAY,WEST  111 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-16T12:02:54.000,09 MANHATTAN,1018947501,MANHATTAN,993581,232466,MOBILE,Unspecified,MANHATTAN,40.804736447978684,-73.96629524415512,"{'latitude': '40.804736447978684', 'longitude': '-73.96629524415512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T12:02:54.000,,,,,,,,,
58827470,2023-09-16T11:21:08.000,NYPD,New York City Police Department,Encampment,Street/Sidewalk,10025,2857 BROADWAY,BROADWAY,CATHEDRAL PARKWAY,WEST  111 STREET,CATHEDRAL PARKWAY,WEST  111 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-16T11:53:07.000,09 MANHATTAN,1018947501,MANHATTAN,993581,232466,MOBILE,Unspecified,MANHATTAN,40.804736447978684,-73.96629524415512,"{'latitude': '40.804736447978684', 'longitude': '-73.96629524415512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T11:53:04.000,N/A,,,,,,,,
