unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58832494,2023-09-16T09:01:24.000,2023-09-16T16:53:41.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,101 LENOX ROAD,LENOX ROAD,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-16T00:00:00.000,17 BROOKLYN,3050650001,BROOKLYN,996552,177482,PHONE,Unspecified,BROOKLYN,40.65381522834778,-73.9556641395125,"{'latitude': '40.65381522834778', 'longitude': '-73.9556641395125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58831534,2023-09-16T09:01:10.000,2023-09-20T07:24:50.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11413,142-39 230 PLACE,230 PLACE,ADDRESS,SPRINGFIELD GARDENS,Closed,The Department of Sanitation collected the requested items.,2023-09-16T12:41:05.000,13 QUEENS,4135150055,QUEENS,1054641,181640,ONLINE,Unspecified,QUEENS,40.664956751331914,-73.74627125127982,"{'latitude': '40.664956751331914', 'longitude': '-73.74627125127982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH CONDUIT AVENUE,LANSING AVENUE,SOUTH CONDUIT AVENUE,LANSING AVENUE,230 PLACE,,,,,,
58836320,2023-09-16T09:00:36.000,2023-09-16T09:21:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11354,LINDEN PLACE,LINDEN PLACE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T09:22:02.000,07 QUEENS,,QUEENS,1030941,218604,MOBILE,Unspecified,QUEENS,40.7665705862412,-73.8314427327769,"{'latitude': '40.7665705862412', 'longitude': '-73.8314427327769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LATIMER PLACE,LINDEN PLACE,LATIMER PLACE,LINDEN PLACE,,,,,,,
58832635,2023-09-16T09:00:34.000,2023-09-16T09:00:34.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11210,135 AMERSFORT PLACE,AMERSFORT PLACE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-16T09:00:34.000,14 BROOKLYN,3075560018,BROOKLYN,998038,169869,MOBILE,Unspecified,BROOKLYN,40.63291699504363,-73.9503242220154,"{'latitude': '40.63291699504363', 'longitude': '-73.9503242220154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 27 STREET,CAMPUS ROAD,EAST   27 STREET,CAMPUS ROAD,AMERSFORT PLACE,,,,,,
58831535,2023-09-16T09:00:30.000,2023-09-18T12:17:53.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10301,320 FOREST AVENUE,FOREST AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T13:26:16.000,01 STATEN ISLAND,5002500005,STATEN ISLAND,956556,169297,ONLINE,Unspecified,STATEN ISLAND,40.63131441645186,-74.09977430980092,"{'latitude': '40.63131441645186', 'longitude': '-74.09977430980092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",UNIVERSITY PLACE,HART BOULEVARD,UNIVERSITY PLACE,HART BOULEVARD,FOREST AVENUE,,,,,,
58831451,2023-09-16T09:00:19.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10467,EAST 210 STREET,EAST 210 STREET,INTERSECTION,BRONX,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T09:48:33.000,07 BRONX,,BRONX,1017452,259825,PHONE,Unspecified,BRONX,40.87977137681753,-73.87993477931805,"{'latitude': '40.87977137681753', 'longitude': '-73.87993477931805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  210 STREET,ROCHAMBEAU AVENUE,EAST 210 STREET,ROCHAMBEAU AVENUE,,,,,,,
58834239,2023-09-16T09:00:09.000,2023-09-18T15:38:05.000,DSNY,Department of Sanitation,Missed Collection,Compost,Street,11231,192 COLUMBIA STREET,COLUMBIA STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T03:33:21.000,06 BROOKLYN,3003290033,BROOKLYN,983558,189014,ONLINE,Unspecified,BROOKLYN,40.68547651013622,-74.00249512123332,"{'latitude': '40.68547651013622', 'longitude': '-74.00249512123332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEGRAW STREET,SACKETT STREET,DEGRAW STREET,SACKETT STREET,COLUMBIA STREET,,,,,,
58836753,2023-09-16T09:00:06.000,2023-09-19T07:13:01.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11105,23-03 41 STREET,41 STREET,ADDRESS,ASTORIA,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-19T07:13:01.000,01 QUEENS,4007920070,QUEENS,1009827,219977,PHONE,Unspecified,QUEENS,40.770425412703446,-73.90766021488167,"{'latitude': '40.770425412703446', 'longitude': '-73.90766021488167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23 AVENUE,23 ROAD,23 AVENUE,23 ROAD,41 STREET,,,,,,
58827312,2023-09-16T08:59:53.000,,DOHMH,Department of Health and Mental Hygiene,Pet Shop,Dogs or Cats Sold,Commercial Building,11226,969 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3051090002,BROOKLYN,995859,175337,PHONE,Unspecified,BROOKLYN,40.647928605913584,-73.95816537219821,"{'latitude': '40.647928605913584', 'longitude': '-73.95816537219821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SNYDER AVENUE,ALBEMARLE ROAD,SNYDER AVENUE,ALBEMARLE ROAD,FLATBUSH AVENUE,,,,,,
58831603,2023-09-16T08:59:46.000,2023-09-20T04:56:47.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11423,184-19 89 AVENUE,89 AVENUE,ADDRESS,HOLLIS,Closed,The Department of Sanitation cleaned the location.,2023-09-16T12:17:50.000,12 QUEENS,4099310001,QUEENS,1046064,199001,PHONE,Unspecified,QUEENS,40.71267258693586,-73.7770281508134,"{'latitude': '40.71267258693586', 'longitude': '-73.7770281508134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",184 STREET,184 PLACE,184 STREET,184 PLACE,89 AVENUE,,,,,,
