unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,taxi_pick_up_location,road_ramp
58836267,2023-09-16T03:00:40.000,2023-09-16T03:11:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11435,90 AVENUE,90 AVENUE,90 AVENUE,139 STREET,90 AVENUE,139 STREET,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:12:03.000,12 QUEENS,QUEENS,1036237,194892,ONLINE,Unspecified,QUEENS,40.701457577891716,-73.81250713690643,"{'latitude': '40.701457577891716', 'longitude': '-73.81250713690643', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58829639,2023-09-16T03:00:13.000,2023-09-16T03:32:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3456 BROADWAY,BROADWAY,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:32:38.000,09 MANHATTAN,MANHATTAN,997507,239376,ONLINE,Unspecified,MANHATTAN,40.82369744644234,-73.95210038803465,"{'latitude': '40.82369744644234', 'longitude': '-73.95210038803465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,BROADWAY,1020720064,,,,,,
58827088,2023-09-16T02:59:35.000,2023-09-16T20:28:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11419,104-12 122 STREET,122 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T20:28:29.000,10 QUEENS,QUEENS,1033763,189584,MOBILE,Unspecified,QUEENS,40.686902566361475,-73.82146869188188,"{'latitude': '40.686902566361475', 'longitude': '-73.82146869188188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SOUTH RICHMOND HILL,122 STREET,4095750011,,,,,,
58826922,2023-09-16T02:58:03.000,2023-09-16T03:22:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11418,89-31 121 STREET,121 STREET,89 AVENUE,91 AVENUE,89 AVENUE,91 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T03:23:03.000,09 QUEENS,QUEENS,1032176,193332,ONLINE,Unspecified,QUEENS,40.69719867646443,-73.82716433116629,"{'latitude': '40.69719867646443', 'longitude': '-73.82716433116629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHMOND HILL,121 STREET,4093750041,,,,,,
58831462,2023-09-16T02:57:49.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-22T21:09:24.000,Unspecified QUEENS,QUEENS,1022607,205209,MOBILE,Unspecified,QUEENS,40.729844816129585,-73.86160530804291,"{'latitude': '40.729844816129585', 'longitude': '-73.86160530804291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,E,M R to Manhattan,Platform,,,
58833327,2023-09-16T02:57:39.000,2023-09-16T03:37:29.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11226,310 CLARKSON AVENUE,CLARKSON AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T03:37:33.000,17 BROOKLYN,BROOKLYN,998318,178082,ONLINE,Unspecified,BROOKLYN,40.65545946747229,-73.94929830385043,"{'latitude': '40.65545946747229', 'longitude': '-73.94929830385043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,CLARKSON AVENUE,3048370017,,,,,,
58828623,2023-09-16T02:57:34.000,2023-09-16T02:57:34.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Mixed Use Building,10029,424 EAST  116 STREET,EAST  116 STREET,1 AVENUE,PLEASANT AVENUE,1 AVENUE,PLEASANT AVENUE,ADDRESS,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-16T02:57:34.000,11 MANHATTAN,MANHATTAN,1002421,229127,ONLINE,Unspecified,MANHATTAN,40.7955580494095,-73.93437308753764,"{'latitude': '40.7955580494095', 'longitude': '-73.93437308753764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  116 STREET,1017090038,,,,,,
58831046,2023-09-16T02:56:37.000,2023-09-16T05:47:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10462,1525 WHITE PLAINS ROAD,WHITE PLAINS ROAD,ARCHER STREET,GUERLAIN STREET,ARCHER STREET,GUERLAIN STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T05:47:11.000,09 BRONX,BRONX,1021960,244878,ONLINE,Unspecified,BRONX,40.83872829082032,-73.86371704694194,"{'latitude': '40.83872829082032', 'longitude': '-73.86371704694194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WHITE PLAINS ROAD,2039230034,,,,,,
58835794,2023-09-16T02:56:06.000,2023-09-16T03:31:09.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11236,1669 RALPH AVENUE,RALPH AVENUE,EAST   77 STREET,EAST   76 STREET,EAST   77 STREET,EAST   76 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:31:12.000,18 BROOKLYN,BROOKLYN,1006728,171023,ONLINE,Unspecified,BROOKLYN,40.63606668960582,-73.91901182624039,"{'latitude': '40.63606668960582', 'longitude': '-73.91901182624039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,RALPH AVENUE,3079817501,,,,,,
58831005,2023-09-16T02:56:04.000,2023-09-16T03:20:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,159 BRIDGE PARK DRIVE,BRIDGE PARK DRIVE,BEND,JORALEMON STREET,BEND,JORALEMON STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T03:20:47.000,02 BROOKLYN,BROOKLYN,984037,192136,MOBILE,Unspecified,BROOKLYN,40.69404570621333,-74.00076810567666,"{'latitude': '40.69404570621333', 'longitude': '-74.00076810567666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,BRIDGE PARK DRIVE,3002457501,,,,,,
