unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58824540,2023-09-15T23:56:56.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Permit/License/Certificate,Other (Explain Below),11236,1663 RALPH AVENUE,RALPH AVENUE,EAST   77 STREET,EAST   76 STREET,EAST   77 STREET,EAST   76 STREET,ADDRESS,BROOKLYN,RALPH AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-19T12:17:24.000,18 BROOKLYN,3079817501,BROOKLYN,1006721,171099,ONLINE,Unspecified,BROOKLYN,40.63627531109799,-73.9190367941174,"{'latitude': '40.63627531109799', 'longitude': '-73.9190367941174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58821623,2023-09-15T23:56:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,104-64 128 STREET,128 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,128 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T01:38:30.000,10 QUEENS,4095810038,QUEENS,1035040,190188,MOBILE,Unspecified,QUEENS,40.68855316839335,-73.81685961403421,"{'latitude': '40.68855316839335', 'longitude': '-73.81685961403421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T01:38:26.000,,,,,,,
58825473,2023-09-15T23:56:46.000,DSNY,Department of Sanitation,Obstruction,Sign,Sidewalk,11201,126 FRONT STREET,FRONT STREET,PEARL STREET,JAY STREET,PEARL STREET,JAY STREET,ADDRESS,BROOKLYN,FRONT STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-18T21:13:38.000,02 BROOKLYN,3000530009,BROOKLYN,987718,195196,ONLINE,Unspecified,BROOKLYN,40.70244401604341,-73.9874923658561,"{'latitude': '40.70244401604341', 'longitude': '-73.9874923658561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T21:13:35.000,,,,,,,
58823366,2023-09-15T23:56:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10467,EAST  207 STREET,EAST  207 STREET,EAST  207 STREET,PERRY AVENUE,EAST  207 STREET,PERRY AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:34:23.000,07 BRONX,,BRONX,1018407,258270,ONLINE,Unspecified,BRONX,40.875499742763246,-73.87648923718476,"{'latitude': '40.875499742763246', 'longitude': '-73.87648923718476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:34:17.000,,,,,,,
58824036,2023-09-15T23:56:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11358,45-21 160 STREET,160 STREET,45 AVENUE,46 AVENUE,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,160 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T00:11:53.000,07 QUEENS,4054390040,QUEENS,1037864,214685,PHONE,Unspecified,QUEENS,40.75577468916412,-73.80648162512104,"{'latitude': '40.75577468916412', 'longitude': '-73.80648162512104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:11:46.000,,,,,,,
58824956,2023-09-15T23:56:42.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:29:53.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:29:46.000,,,,,,,
58825091,2023-09-15T23:56:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,7 WATER STREET,WATER STREET,OLD FULTON STREET,BROOKLYN BRIDGE,OLD FULTON STREET,BROOKLYN BRIDGE,ADDRESS,BROOKLYN,WATER STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T01:22:39.000,02 BROOKLYN,,BROOKLYN,985871,195456,ONLINE,Unspecified,BROOKLYN,40.70315818613477,-73.99415366433217,"{'latitude': '40.70315818613477', 'longitude': '-73.99415366433217', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T01:22:34.000,,,,,,,
58823348,2023-09-15T23:56:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10026,54 WEST  119 STREET,WEST  119 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  119 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:16:54.000,10 MANHATTAN,1017170057,MANHATTAN,998935,231979,PHONE,Unspecified,MANHATTAN,40.80339249060073,-73.94695698594334,"{'latitude': '40.80339249060073', 'longitude': '-73.94695698594334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:16:49.000,,,,,,,
58824365,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:29.000,,,,,,,
58825199,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:29.000,,,,,,,
