unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,due_date
58821123,2023-09-15T22:02:32.000,2023-09-16T03:41:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11106,14 STREET,14 STREET,14 STREET,31 ROAD,14 STREET,31 ROAD,INTERSECTION,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T03:41:28.000,01 QUEENS,QUEENS,1002958,218983,ONLINE,Unspecified,QUEENS,40.76771434755339,-73.93246189036842,"{'latitude': '40.76771434755339', 'longitude': '-73.93246189036842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58824275,2023-09-15T22:02:24.000,2023-09-15T22:42:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,41 STREET,41 STREET,41 STREET,DITMARS BOULEVARD,41 STREET,DITMARS BOULEVARD,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:42:18.000,01 QUEENS,QUEENS,1010470,220674,ONLINE,Unspecified,QUEENS,40.77233661091446,-73.90533609598134,"{'latitude': '40.77233661091446', 'longitude': '-73.90533609598134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58823317,2023-09-15T22:02:10.000,2023-09-15T22:18:10.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,618 WEST  164 STREET,WEST  164 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T22:18:16.000,12 MANHATTAN,MANHATTAN,1000227,244829,ONLINE,Unspecified,MANHATTAN,40.83865986180468,-73.94225961865097,"{'latitude': '40.83865986180468', 'longitude': '-73.94225961865097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  164 STREET,1021370131,,,,,,,
58824127,2023-09-15T22:02:07.000,2023-09-15T22:22:09.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11231,451 COURT STREET,COURT STREET,4 PLACE,LUQUER STREET,4 PLACE,LUQUER STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:22:16.000,06 BROOKLYN,BROOKLYN,984766,186176,ONLINE,Unspecified,BROOKLYN,40.677686857308835,-73.99813969339056,"{'latitude': '40.677686857308835', 'longitude': '-73.99813969339056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,COURT STREET,3004700108,,,,,,,
58822489,2023-09-15T22:02:04.000,2023-09-15T22:45:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,91 2 AVENUE,2 AVENUE,EAST    5 STREET,EAST    6 STREET,EAST    5 STREET,EAST    6 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:45:21.000,03 MANHATTAN,MANHATTAN,987344,204143,ONLINE,Unspecified,MANHATTAN,40.72700153147677,-73.9888371162854,"{'latitude': '40.72700153147677', 'longitude': '-73.9888371162854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,2 AVENUE,1004610033,,,,,,,
58821640,2023-09-15T22:02:02.000,2023-09-15T22:07:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1480 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:07:46.000,03 BRONX,BRONX,1010929,244302,ONLINE,Unspecified,BRONX,40.83718755388138,-73.90358504457679,"{'latitude': '40.83718755388138', 'longitude': '-73.90358504457679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WASHINGTON AVENUE,2029110001,,,,,,,
58825853,2023-09-15T22:01:45.000,2023-09-15T22:33:02.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,140 WEST  174 STREET,WEST  174 STREET,FEATHERBED LANE,MONTGOMERY AVENUE,FEATHERBED LANE,MONTGOMERY AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T22:33:06.000,05 BRONX,BRONX,1006140,247874,MOBILE,Unspecified,BRONX,40.84700481544166,-73.92088029097887,"{'latitude': '40.84700481544166', 'longitude': '-73.92088029097887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WEST  174 STREET,2028770001,,,,,,,
58823432,2023-09-15T22:01:44.000,2023-09-15T22:28:13.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10473,65 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,HORIZON LANE,PUGSLEY AVENUE,HORIZON LANE,PUGSLEY AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:28:16.000,09 BRONX,BRONX,1025754,233095,ONLINE,Unspecified,BRONX,40.80637032311237,-73.85007853673036,"{'latitude': '40.80637032311237', 'longitude': '-73.85007853673036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,SOUNDVIEW AVENUE,,,,,,,,
58821582,2023-09-15T22:01:28.000,2023-09-15T22:32:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,3443 ATLANTIC AVENUE,ATLANTIC AVENUE,AUTUMN AVENUE,LINCOLN AVENUE,AUTUMN AVENUE,LINCOLN AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:32:31.000,05 BROOKLYN,BROOKLYN,1020391,187858,ONLINE,Unspecified,BROOKLYN,40.68222979878838,-73.86969390268031,"{'latitude': '40.68222979878838', 'longitude': '-73.86969390268031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ATLANTIC AVENUE,3041490050,,,,,,,
58821687,2023-09-15T22:01:17.000,2023-09-15T22:30:53.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,1805 CARTER AVENUE,CARTER AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:30:57.000,05 BRONX,BRONX,1011198,247548,MOBILE,Unspecified,BRONX,40.84609605406589,-73.90259986567719,"{'latitude': '40.84609605406589', 'longitude': '-73.90259986567719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,CARTER AVENUE,2028920063,,,,,,,
