unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58820553,2023-09-15T19:54:58.000,2023-09-15T22:19:05.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11223,623 AVENUE U,AVENUE U,OCEAN PARKWAY,EAST    7 STREET,OCEAN PARKWAY,EAST    7 STREET,ADDRESS,BROOKLYN,AVENUE U,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T22:19:11.000,15 BROOKLYN,3071090045,BROOKLYN,994007,157113,MOBILE,Unspecified,BROOKLYN,40.59790977447187,-73.96486564871562,"{'latitude': '40.59790977447187', 'longitude': '-73.96486564871562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819865,2023-09-15T19:54:54.000,2023-09-15T20:40:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,1641 OCEAN AVENUE,OCEAN AVENUE,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T20:40:54.000,14 BROOKLYN,3076200014,BROOKLYN,996551,165911,ONLINE,Unspecified,BROOKLYN,40.622055308707566,-73.95568883815213,"{'latitude': '40.622055308707566', 'longitude': '-73.95568883815213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823948,2023-09-15T19:54:42.000,2023-09-15T20:55:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,25-39 41 STREET,41 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,ADDRESS,ASTORIA,41 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T20:55:04.000,01 QUEENS,4006850030,QUEENS,1008846,218791,MOBILE,Unspecified,QUEENS,40.767172936518726,-73.91120622406143,"{'latitude': '40.767172936518726', 'longitude': '-73.91120622406143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819670,2023-09-15T19:54:22.000,2023-09-15T22:21:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,62-03 65 STREET,65 STREET,62 AVENUE,METROPOLITAN AVENUE,62 AVENUE,METROPOLITAN AVENUE,ADDRESS,MIDDLE VILLAGE,65 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T22:21:41.000,05 QUEENS,4027730038,QUEENS,1012812,199531,MOBILE,Unspecified,QUEENS,40.714297141088835,-73.8969703987962,"{'latitude': '40.714297141088835', 'longitude': '-73.8969703987962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821676,2023-09-15T19:53:48.000,2023-09-15T20:20:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10023,101 WEST   75 STREET,WEST   75 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   75 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T20:20:55.000,07 MANHATTAN,1011470029,MANHATTAN,990423,223277,MOBILE,Unspecified,MANHATTAN,40.77951789257778,-73.97771078589851,"{'latitude': '40.77951789257778', 'longitude': '-73.97771078589851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824984,2023-09-15T19:53:48.000,2023-09-15T22:39:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,223 HIMROD STREET,HIMROD STREET,MYRTLE AVENUE,KNICKERBOCKER AVENUE,MYRTLE AVENUE,KNICKERBOCKER AVENUE,ADDRESS,BROOKLYN,HIMROD STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:39:36.000,04 BROOKLYN,3032680046,BROOKLYN,1006326,194160,ONLINE,Unspecified,BROOKLYN,40.69957358192541,-73.92038446366847,"{'latitude': '40.69957358192541', 'longitude': '-73.92038446366847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819909,2023-09-15T19:53:34.000,2023-09-15T20:13:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,69 COLUMBIA STREET,COLUMBIA STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,COLUMBIA STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T20:13:50.000,03 MANHATTAN,1003330001,MANHATTAN,989766,200628,ONLINE,Unspecified,MANHATTAN,40.71735252752486,-73.9801016313048,"{'latitude': '40.71735252752486', 'longitude': '-73.9801016313048', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58822846,2023-09-15T19:53:26.000,2023-11-24T09:11:46.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JOHN F KENNEDY AIRPORT,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-24T09:11:50.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,,,,
58825148,2023-09-15T19:53:03.000,2023-09-15T20:05:44.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Park/Playground,10282,HUDSON RIVER,HUDSON RIVER,BEND,BEND,BEND,BEND,UNRECOGNIZED,NEW YORK,HUDSON RIVER,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T20:05:49.000,01 MANHATTAN,1011100001,MANHATTAN,978364,199610,PHONE,Unspecified,MANHATTAN,40.71455812288278,-74.02123221319597,"{'latitude': '40.71455812288278', 'longitude': '-74.02123221319597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820497,2023-09-15T19:53:00.000,2023-09-15T22:25:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11377,52-22 ROOSEVELT AVENUE,ROOSEVELT AVENUE,43 AVE,53 ST,,,ADDRESS,WOODSIDE,,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-15T22:25:00.000,02 QUEENS,4013217501,QUEENS,1008586,210440,PHONE,Unspecified,QUEENS,40.74425229878112,-73.91217507307053,"{'latitude': '40.74425229878112', 'longitude': '-73.91217507307053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
