unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_direction,road_ramp
58824514,2023-09-15T17:14:41.000,2023-09-15T17:37:42.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10019,910 NINTH AVENUE,NINTH AVENUE,WEST   58 STREET,WEST   59 STREET,WEST   58 STREET,WEST   59 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T17:37:47.000,04 MANHATTAN,1010490001,MANHATTAN,988375,219347,MOBILE,Unspecified,MANHATTAN,40.76873226571956,-73.98510803217168,"{'latitude': '40.76873226571956', 'longitude': '-73.98510803217168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58835367,2023-09-15T17:14:24.000,2023-09-19T09:27:05.000,DOT,Department of Transportation,Street Sign - Missing,"No Parking, Standing, Stopping",Street,11232,183 25 STREET,25 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,25 STREET,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-19T09:27:09.000,07 BROOKLYN,3006510025,BROOKLYN,984622,180050,ONLINE,Unspecified,BROOKLYN,40.66087236220575,-73.99865918678017,"{'latitude': '40.66087236220575', 'longitude': '-73.99865918678017', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819716,2023-09-15T17:14:11.000,2023-09-15T18:37:57.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11249,96 WYTHE AVENUE,WYTHE AVENUE,NORTH   11 STREET,NORTH   10 STREET,NORTH   11 STREET,NORTH   10 STREET,ADDRESS,BROOKLYN,WYTHE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T18:38:02.000,01 BROOKLYN,3022950021,BROOKLYN,995800,202137,PHONE,Unspecified,BROOKLYN,40.72148854900699,-73.95833204713233,"{'latitude': '40.72148854900699', 'longitude': '-73.95833204713233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58862515,2023-09-15T17:14:11.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,90-10 SOUTH CONDUIT AVENUE,SOUTH CONDUIT AVENUE,90 STREET,CROSS BAY BOULEVARD,90 STREET,CROSS BAY BOULEVARD,ADDRESS,HOWARD BEACH,SOUTH CONDUIT AVENUE,In Progress,,,10 QUEENS,4114220004,QUEENS,1027349,183059,ONLINE,Unspecified,QUEENS,40.6690265015627,-73.84463762373403,"{'latitude': '40.6690265015627', 'longitude': '-73.84463762373403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825598,2023-09-15T17:14:00.000,2023-09-15T17:14:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10065,,,,,1 AVENUE,EAST 67 STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-15T17:14:00.000,08 MANHATTAN,,MANHATTAN,995795,217850,PHONE,Unspecified,MANHATTAN,40.76461681260692,-73.95832311500644,"{'latitude': '40.76461681260692', 'longitude': '-73.95832311500644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820496,2023-09-15T17:14:00.000,2023-09-15T17:14:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11210,1548 EAST   24 STREET,EAST   24 STREET,AVENUE O,KINGS HWY,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-15T17:14:00.000,14 BROOKLYN,3067700022,BROOKLYN,998104,162609,PHONE,Unspecified,BROOKLYN,40.61298971284153,-73.95010133522243,"{'latitude': '40.61298971284153', 'longitude': '-73.95010133522243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826399,2023-09-15T17:13:36.000,2023-09-16T13:47:27.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11413,139-30 225 STREET,225 STREET,139 AVENUE,141 AVENUE,139 AVENUE,141 AVENUE,ADDRESS,SPRINGFIELD GARDENS,225 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-16T13:47:29.000,13 QUEENS,4131500047,QUEENS,1053753,183542,PHONE,Unspecified,QUEENS,40.67018431179325,-73.74945247580524,"{'latitude': '40.67018431179325', 'longitude': '-73.74945247580524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823058,2023-09-15T17:13:27.000,2023-09-18T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10009,215 AVENUE A,AVENUE A,,,,,ADDRESS,NEW YORK,,Closed,"The City inspected the property for cleaning, but no graffiti was found.",2023-09-19T15:51:01.000,03 MANHATTAN,1004410033,MANHATTAN,989594,205211,UNKNOWN,Unspecified,MANHATTAN,40.729931857625274,-73.98071846343167,"{'latitude': '40.729931857625274', 'longitude': '-73.98071846343167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-15T17:13:27.000,,,,,,,
58868453,2023-09-15T17:13:22.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10019,1680 BROADWAY,BROADWAY,WEST 52 STREET,WEST 53 STREET,WEST   52 STREET,WEST   53 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T19:49:18.000,05 MANHATTAN,1010240038,MANHATTAN,988958,217271,ONLINE,Unspecified,MANHATTAN,40.76303389158646,-73.98300475486235,"{'latitude': '40.76303389158646', 'longitude': '-73.98300475486235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824232,2023-09-15T17:13:03.000,2023-09-15T17:22:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10455,665 WESTCHESTER AVENUE,WESTCHESTER AVENUE,,JACKSON AVENUE,,JACKSON AVENUE,ADDRESS,BRONX,WESTCHESTER AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T17:22:32.000,01 BRONX,2026280001,BRONX,1009677,236675,ONLINE,Unspecified,BRONX,40.81625731768569,-73.9081385356089,"{'latitude': '40.81625731768569', 'longitude': '-73.9081385356089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58822930,2023-09-15T17:13:01.000,2023-09-15T17:31:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11372,BROADWAY,BROADWAY,BROADWAY,ROOSEVELT AVENUE,BROADWAY,ROOSEVELT AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T17:31:35.000,03 QUEENS,,QUEENS,1014244,211379,ONLINE,Unspecified,QUEENS,40.74681223638147,-73.8917520418653,"{'latitude': '40.74681223638147', 'longitude': '-73.8917520418653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823639,2023-09-15T17:12:58.000,2023-09-15T17:37:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10002,176 SUFFOLK STREET,SUFFOLK STREET,STANTON STREET,EAST HOUSTON STREET,STANTON STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,SUFFOLK STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T17:37:35.000,03 MANHATTAN,1003500006,MANHATTAN,988392,201948,MOBILE,Unspecified,MANHATTAN,40.7209763598976,-73.98505737413542,"{'latitude': '40.7209763598976', 'longitude': '-73.98505737413542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
