unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,cross_street_1,cross_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date,vehicle_type,taxi_company_borough
58826151,2023-09-15T15:02:30.000,2023-10-06T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,10472,1210 CROES AVENUE,CROES AVENUE,ADDRESS,BRONX,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-06T00:00:00.000,09 BRONX,2037490001,BRONX,1020034,241595,UNKNOWN,Unspecified,BRONX,40.829725427000035,-73.8706950639468,"{'latitude': '40.829725427000035', 'longitude': '-73.8706950639468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,,
58853059,2023-09-15T15:02:22.000,2023-09-18T14:51:16.000,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,,,,,,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction. It has been referred to the Metropolitan Transportation Authority.,2023-09-18T14:51:22.000,0 Unspecified,,Unspecified,998970,199426,PHONE,Unspecified,Unspecified,40.71404279940364,-73.94690183860439,"{'latitude': '40.71404279940364', 'longitude': '-73.94690183860439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,,,,,,,,,,,,,,
58867697,2023-09-15T15:02:11.000,2023-09-15T16:34:55.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T16:34:59.000,0 Unspecified,,Unspecified,1015419,244120,ONLINE,Unspecified,Unspecified,40.83667331132636,-73.88735954351492,"{'latitude': '40.83667331132636', 'longitude': '-73.88735954351492', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,,,,,,,,,,,,,,
58826256,2023-09-15T15:02:08.000,2023-09-15T19:26:50.000,NYPD,New York City Police Department,Encampment,N/A,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-15T19:26:53.000,0 Unspecified,,Unspecified,,192170,ONLINE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58856731,2023-09-15T15:02:08.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,,,,,,In Progress,,,0 Unspecified,,Unspecified,,183013,ONLINE,Unspecified,Unspecified,,,,Above Address,,,,,,,,,,,,,,
58863412,2023-09-15T15:02:01.000,2023-09-15T16:03:32.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T16:03:36.000,0 Unspecified,,Unspecified,1017208,212187,MOBILE,Unspecified,Unspecified,40.749019441059644,-73.8810510570123,"{'latitude': '40.749019441059644', 'longitude': '-73.8810510570123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,,,,,,,,,,,,,,
58819647,2023-09-15T15:02:00.000,2023-09-17T08:30:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),11217,,,INTERSECTION,BROOKLYN,Closed,The Department of Environmental Protection investigated this complaint and resolved the leak.,2023-09-17T08:30:00.000,02 BROOKLYN,,BROOKLYN,988691,189997,PHONE,Unspecified,BROOKLYN,40.688173532809955,-73.9839865872125,"{'latitude': '40.688173532809955', 'longitude': '-73.9839865872125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,BOND STREET,SCHERMERHORN STREET,,,,,,,,,,,,
58863133,2023-09-15T15:01:57.000,2023-09-15T15:15:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T15:15:32.000,0 Unspecified,,Unspecified,,195143,MOBILE,Unspecified,Unspecified,,,,Street/Sidewalk,,,,,,,,,,,,,,
58862775,2023-09-15T15:01:36.000,2023-09-23T10:47:51.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,11235,2668 EAST   12 STREET,EAST   12 STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation cleaned the location.,2023-09-23T10:23:40.000,15 BROOKLYN,3074550084,BROOKLYN,995940,152727,MOBILE,Unspecified,BROOKLYN,40.58586874628902,-73.95791262502028,"{'latitude': '40.58586874628902', 'longitude': '-73.95791262502028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,GILMORE COURT,SHORE PARKWAY,GILMORE COURT,SHORE PARKWAY,EAST   12 STREET,,,,,,,,,
58828848,2023-09-15T15:01:32.000,2023-09-19T14:35:15.000,DSNY,Department of Sanitation,Missed Collection,Trash,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-16T07:47:13.000,0 Unspecified,,Unspecified,,158597,ONLINE,Unspecified,Unspecified,,,,Street,,,,,,,,,,,,,,
