unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_company_borough,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58965904,2023-09-29T17:21:32.000,2023-10-02T11:43:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,305 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,09 BROOKLYN,3050260313,BROOKLYN,994785,178219,PHONE,Unspecified,BROOKLYN,40.65584041050342,-73.96203117671885,"{'latitude': '40.65584041050342', 'longitude': '-73.96203117671885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58964542,2023-09-29T17:21:31.000,2023-10-08T17:23:39.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11216,1446 PACIFIC STREET,PACIFIC STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-08T00:00:00.000,08 BROOKLYN,3012090034,BROOKLYN,1000261,186017,PHONE,Unspecified,BROOKLYN,40.67723597372279,-73.94227680251228,"{'latitude': '40.67723597372279', 'longitude': '-73.94227680251228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58957745,2023-09-29T17:21:29.000,2023-09-29T18:32:34.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10304,165 DUTCHESS AVENUE,DUTCHESS AVENUE,ADDRESS,STATEN ISLAND,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-29T18:26:41.000,02 STATEN ISLAND,5008690769,STATEN ISLAND,956158,156176,ONLINE,Unspecified,STATEN ISLAND,40.595298749372915,-74.10115361226158,"{'latitude': '40.595298749372915', 'longitude': '-74.10115361226158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ROCHELLE STREET,DELAWARE STREET,ROCHELLE STREET,DELAWARE STREET,DUTCHESS AVENUE,,,,,,,
58957983,2023-09-29T17:21:26.000,2023-09-29T17:30:28.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11212,383 BRISTOL STREET,BRISTOL STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T17:30:32.000,16 BROOKLYN,3035880001,BROOKLYN,1009044,180386,MOBILE,Unspecified,BROOKLYN,40.66175990132775,-73.91063287350205,"{'latitude': '40.66175990132775', 'longitude': '-73.91063287350205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,BRISTOL STREET,,,,,,,
58957776,2023-09-29T17:21:20.000,2023-09-29T19:01:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10309,2 MACGREGOR STREET,MACGREGOR STREET,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T19:01:13.000,03 STATEN ISLAND,5066770030,STATEN ISLAND,929046,130215,ONLINE,Unspecified,STATEN ISLAND,40.523913586498146,-74.1985662883358,"{'latitude': '40.523913586498146', 'longitude': '-74.1985662883358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOLTEN AVENUE,SEGUINE AVENUE,HOLTEN AVENUE,SEGUINE AVENUE,MACGREGOR STREET,,,,,,,
58967590,2023-09-29T17:21:15.000,2023-10-12T09:37:44.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10040,516 WEST  188 STREET,WEST  188 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-12T00:00:00.000,12 MANHATTAN,1021590009,MANHATTAN,1004084,249960,ONLINE,Unspecified,MANHATTAN,40.85273512407151,-73.92830536928264,"{'latitude': '40.85273512407151', 'longitude': '-73.92830536928264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58964839,2023-09-29T17:21:15.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11204,1637 73 STREET,73 STREET,ADDRESS,BROOKLYN,In Progress,,,11 BROOKLYN,3061920076,BROOKLYN,984656,164007,PHONE,Unspecified,BROOKLYN,40.61683775515759,-73.99853760468656,"{'latitude': '40.61683775515759', 'longitude': '-73.99853760468656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW UTRECHT AVENUE,17 AVENUE,NEW UTRECHT AVENUE,17 AVENUE,73 STREET,,,,,,,
58964727,2023-09-29T17:21:15.000,2023-10-05T12:49:02.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10040,516 WEST  188 STREET,WEST  188 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,12 MANHATTAN,1021590009,MANHATTAN,1004084,249960,ONLINE,Unspecified,MANHATTAN,40.85273512407151,-73.92830536928264,"{'latitude': '40.85273512407151', 'longitude': '-73.92830536928264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58959684,2023-09-29T17:21:13.000,2023-10-04T14:45:55.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58961662,2023-09-29T17:21:13.000,2023-10-04T14:45:55.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11221,461 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,03 BROOKLYN,3018310062,BROOKLYN,1001005,188662,ONLINE,Unspecified,BROOKLYN,40.68449451941104,-73.93958794229248,"{'latitude': '40.68449451941104', 'longitude': '-73.93958794229248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
