unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58824345,2023-09-15T13:15:04.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,10035,2060 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,10 MANHATTAN,1017250033,MANHATTAN,1000511,233589,PHONE,Unspecified,MANHATTAN,40.80780873614078,-73.94126049074914,"{'latitude': '40.80780873614078', 'longitude': '-73.94126049074914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58824438,2023-09-15T13:14:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10461,1921 PILGRIM AVENUE,PILGRIM AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,10 BRONX,2042320057,BRONX,1030438,249040,PHONE,Unspecified,BRONX,40.850111467462504,-73.8330491770378,"{'latitude': '40.850111467462504', 'longitude': '-73.8330491770378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T19:57:02.000,,,,,,,,,,,,,
58865082,2023-09-15T13:14:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T14:19:04.000,0 Unspecified,,Unspecified,980925,172607,PHONE,Unspecified,Unspecified,40.64044232845991,-74.01198074999968,"{'latitude': '40.64044232845991', 'longitude': '-74.01198074999968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T14:19:00.000,,,,,,,,,,,,,
58866235,2023-09-15T13:14:43.000,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10303,281 LOCKMAN AVENUE,LOCKMAN AVENUE,ADDRESS,STATEN ISLAND,Closed,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",2023-09-15T13:14:43.000,01 STATEN ISLAND,5012460017,STATEN ISLAND,939341,168798,ONLINE,Unspecified,STATEN ISLAND,40.62987422149426,-74.16179206196266,"{'latitude': '40.62987422149426', 'longitude': '-74.16179206196266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:14:43.000,CONTINENTAL PLACE,NETHERLAND AVENUE,CONTINENTAL PLACE,NETHERLAND AVENUE,LOCKMAN AVENUE,,,,,,,,
58847725,2023-09-15T13:14:43.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Moving Company,Business,,,,,,Closed,"The Department of Consumer and Worker Protection (DCWP) closed your NYC311 Service Request.   DCWP couldn't take action on your complaint because it didn't include important details, such as your contact information or the business's name or location.  If you would like to pursue this complaint, you can file a new NYC311 Service Request. Please provide more information about the complaint so DCWP can help you.",2023-09-18T12:17:12.000,0 Unspecified,,Unspecified,1023284,243925,ONLINE,Unspecified,Unspecified,40.83610683253458,-73.85893769995883,"{'latitude': '40.83610683253458', 'longitude': '-73.85893769995883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T12:17:07.000,,,,,,,,,,,,,
58855007,2023-09-15T13:14:28.000,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,10469,3122 EDSON AVENUE,EDSON AVENUE,ADDRESS,BRONX,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-26T14:33:20.000,12 BRONX,2047790045,BRONX,1029585,257853,ONLINE,Unspecified,BRONX,40.874304871417834,-73.83607280431106,"{'latitude': '40.874304871417834', 'longitude': '-73.83607280431106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T14:33:16.000,HAMMERSLEY AVENUE,BURKE AVENUE,HAMMERSLEY AVENUE,BURKE AVENUE,EDSON AVENUE,,,,,,,,
58858488,2023-09-15T13:13:54.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10466,3925 PRATT AVENUE,PRATT AVENUE,ADDRESS,BRONX,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-15T09:37:49.000,12 BRONX,2049630072,BRONX,1030069,263597,UNKNOWN,Unspecified,BRONX,40.89006783367531,-73.83428341667212,"{'latitude': '40.89006783367531', 'longitude': '-73.83428341667212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-15T09:37:44.000,EAST  233 STREET,BELL AVENUE,EAST  233 STREET,BELL AVENUE,PRATT AVENUE,,,,,,,,
58857567,2023-09-15T13:13:27.000,NYPD,New York City Police Department,Bike/Roller/Skate Chronic,N/A,Residential Building/House,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T13:23:48.000,0 Unspecified,,Unspecified,984835,179312,PHONE,Unspecified,Unspecified,40.65884670320934,-73.99789152710841,"{'latitude': '40.65884670320934', 'longitude': '-73.99789152710841', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:23:43.000,,,,,,,,,,,,,
58860415,2023-09-15T13:13:21.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10128,315 EAST   90 STREET,EAST   90 STREET,ADDRESS,NEW YORK,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T13:13:21.000,08 MANHATTAN,1015530010,MANHATTAN,998296,223527,PHONE,Unspecified,MANHATTAN,40.780195071458245,-73.94928276376025,"{'latitude': '40.780195071458245', 'longitude': '-73.94928276376025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T08:15:15.000,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   90 STREET,,,,,,,,
58868997,2023-09-15T13:13:07.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T13:20:53.000,0 Unspecified,,Unspecified,,209459,MOBILE,Unspecified,Unspecified,,,,2023-09-15T13:20:49.000,,,,,,,,,,,,,
