unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,intersection_street_1,intersection_street_2,facility_type,cross_street_1,cross_street_2,landmark,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58821925,2023-09-15T11:40:08.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10452,1083 GERARD AVENUE,GERARD AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,04 BRONX,2024870032,BRONX,1005928,242809,PHONE,Unspecified,BRONX,40.83310339382704,-73.92166291989889,"{'latitude': '40.83310339382704', 'longitude': '-73.92166291989889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58824335,2023-09-15T11:40:08.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10452,1083 GERARD AVENUE,GERARD AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,04 BRONX,2024870032,BRONX,1005928,242809,PHONE,Unspecified,BRONX,40.83310339382704,-73.92166291989889,"{'latitude': '40.83310339382704', 'longitude': '-73.92166291989889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58826056,2023-09-15T11:40:07.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11433,109-10 GUY R BREWER BOULEVARD,GUY R BREWER BOULEVARD,ADDRESS,JAMAICA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-25T00:00:00.000,12 QUEENS,4121520040,QUEENS,1042528,192418,ONLINE,Unspecified,QUEENS,40.69462784872214,-73.78983992295053,"{'latitude': '40.69462784872214', 'longitude': '-73.78983992295053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-25T14:48:33.000,,,,,,,,,,,,
58831578,2023-09-15T11:40:05.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,,,,,,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-16T12:01:12.000,0 Unspecified,,Unspecified,,208191,PHONE,Unspecified,Unspecified,,,,2023-09-16T12:01:06.000,,,,,,,,,,,,
58824082,2023-09-15T11:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11356,,,INTERSECTION,QUEENS,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T14:10:00.000,07 QUEENS,,QUEENS,1026840,222362,UNKNOWN,Unspecified,QUEENS,40.77690600746287,-73.84622373703468,"{'latitude': '40.77690600746287', 'longitude': '-73.84622373703468', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T14:10:00.000,COLLEGE POINT BOULEVARD,25 AVENUE,N/A,,,,,,,,,
58850303,2023-09-15T11:39:56.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,"Barber Shop, Beauty Salon, or Nail Salon",Business,,,,,,Closed,The Department of Consumer and Worker Protection (DCWP) determined this issue isn't within its jurisdiction.  You should contact the New York State Department of State. Call (800) 697-1220 or visit dos.ny.gov.,2023-09-18T09:07:24.000,0 Unspecified,,Unspecified,1052741,159248,ONLINE,Unspecified,Unspecified,40.60351061414004,-73.753347151934,"{'latitude': '40.60351061414004', 'longitude': '-73.753347151934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T09:07:18.000,,,,,,,,,,,,
58859732,2023-09-15T11:39:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T16:50:57.000,0 Unspecified,,Unspecified,,243154,ONLINE,Unspecified,Unspecified,,,,2023-09-15T16:50:52.000,,,,,,,,,,,,
58858682,2023-09-15T11:39:21.000,DOT,Department of Transportation,Street Sign - Damaged,St Name - Over Intersection,Street,11429,99-15 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,ADDRESS,QUEENS VILLAGE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-28T15:52:59.000,13 QUEENS,4107820001,QUEENS,1057562,200055,ONLINE,Unspecified,QUEENS,40.7154777494519,-73.73554199118175,"{'latitude': '40.7154777494519', 'longitude': '-73.73554199118175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T15:52:56.000,99 AVENUE,100 AVENUE,,99 AVENUE,100 AVENUE,SPRINGFIELD BOULEVARD,,,,,,
58831551,2023-09-15T11:39:16.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,,,,,,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-16T11:57:17.000,0 Unspecified,,Unspecified,,194185,ONLINE,Unspecified,Unspecified,,,,2023-09-16T11:57:11.000,,,,,,,,,,,,
58857093,2023-09-15T11:39:04.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,,,,,,Closed,A Litter Basket was placed at the location.,2023-09-15T11:53:28.000,0 Unspecified,,Unspecified,,218633,ONLINE,Unspecified,Unspecified,,,,2023-09-15T12:44:23.000,,,,,,,,,,,,
58864818,2023-09-15T11:39:00.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,,,,,,Closed,N/A,2023-09-15T13:02:00.000,0 Unspecified,,Unspecified,983739,201240,PHONE,Unspecified,Unspecified,40.719034025347746,-74.00184342328681,"{'latitude': '40.719034025347746', 'longitude': '-74.00184342328681', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:02:00.000,,,,,,,,,,,,
58858645,2023-09-15T11:38:57.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11435,85-05 144 STREET,144 STREET,ADDRESS,JAMAICA,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-26T13:42:51.000,08 QUEENS,4097240173,QUEENS,1036230,198015,PHONE,Unspecified,QUEENS,40.710029498257455,-73.81250827501687,"{'latitude': '40.710029498257455', 'longitude': '-73.81250827501687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T13:42:49.000,85 AVENUE,85 DRIVE,,85 AVENUE,85 DRIVE,144 STREET,,,,,,
