unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location,due_date,vehicle_type
58823553,2023-09-15T09:56:38.000,2023-09-23T02:04:07.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11234,2243 EAST   38 STREET,EAST   38 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,18 BROOKLYN,3085550023,BROOKLYN,1004957,160319,PHONE,Unspecified,BROOKLYN,40.60669077024401,-73.92542556419991,"{'latitude': '40.60669077024401', 'longitude': '-73.92542556419991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58821829,2023-09-15T09:56:38.000,2023-09-17T11:38:03.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11234,2243 EAST   38 STREET,EAST   38 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,18 BROOKLYN,3085550023,BROOKLYN,1004957,160319,PHONE,Unspecified,BROOKLYN,40.60669077024401,-73.92542556419991,"{'latitude': '40.60669077024401', 'longitude': '-73.92542556419991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58823504,2023-09-15T09:56:38.000,2023-09-23T02:04:06.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11234,2243 EAST   38 STREET,EAST   38 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-23T00:00:00.000,18 BROOKLYN,3085550023,BROOKLYN,1004957,160319,PHONE,Unspecified,BROOKLYN,40.60669077024401,-73.92542556419991,"{'latitude': '40.60669077024401', 'longitude': '-73.92542556419991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58868470,2023-09-15T09:56:25.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,10018,301 WEST   37 STREET,WEST   37 STREET,ADDRESS,NEW YORK,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-15T12:31:59.000,04 MANHATTAN,1007610031,MANHATTAN,986377,214102,PHONE,Unspecified,MANHATTAN,40.754336794867875,-73.99232281933696,"{'latitude': '40.754336794867875', 'longitude': '-73.99232281933696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   37 STREET,,,,,,,,
58868631,2023-09-15T09:56:18.000,2023-09-15T12:24:21.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,,,,,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T12:24:08.000,0 Unspecified,,Unspecified,983129,197305,MOBILE,Unspecified,Unspecified,40.70823333280376,-74.00404333205013,"{'latitude': '40.70823333280376', 'longitude': '-74.00404333205013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58819597,2023-09-15T09:56:00.000,2023-09-15T12:37:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10011,202 WEST   24 STREET,WEST   24 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-15T12:37:00.000,04 MANHATTAN,1007730134,MANHATTAN,985468,210678,ONLINE,Unspecified,MANHATTAN,40.74493895028624,-73.99560437846685,"{'latitude': '40.74493895028624', 'longitude': '-73.99560437846685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVE,8 AVE,,,,N/A,,,,,,,
58819592,2023-09-15T09:56:00.000,2023-09-15T12:25:00.000,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10012,183 THOMPSON STREET,THOMPSON STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection (DEP) found asbestos during the inspection. DEP issued a violation.,2023-09-15T12:25:00.000,02 MANHATTAN,1005250016,MANHATTAN,984219,204478,PHONE,Unspecified,MANHATTAN,40.72792156590096,-74.0001118468558,"{'latitude': '40.72792156590096', 'longitude': '-74.0001118468558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",W HOUSTON ST,BLEECKER ST,,,,N/A,,,,,,,
58856623,2023-09-15T09:56:00.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,,,,,,In Progress,,2023-11-27T11:34:22.000,0 Unspecified,,Unspecified,941030,,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,,,,,,,
58856148,2023-09-15T09:55:40.000,2023-09-15T10:00:47.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T10:00:52.000,0 Unspecified,,Unspecified,988353,217920,ONLINE,Unspecified,Unspecified,40.764815530669594,-73.98518832709422,"{'latitude': '40.764815530669594', 'longitude': '-73.98518832709422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58863157,2023-09-15T09:55:40.000,2023-09-15T10:04:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T10:05:02.000,0 Unspecified,,Unspecified,984160,188428,ONLINE,Unspecified,Unspecified,40.68386810055574,-74.00032450215981,"{'latitude': '40.68386810055574', 'longitude': '-74.00032450215981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58870188,2023-09-15T09:55:38.000,2023-09-15T09:55:38.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),11226,341 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-15T09:55:38.000,14 BROOKLYN,3050540004,BROOKLYN,994843,177757,MOBILE,Unspecified,BROOKLYN,40.65457225248549,-73.96182286666736,"{'latitude': '40.65457225248549', 'longitude': '-73.96182286666736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST DRIVE,WOODRUFF AVENUE,EAST DRIVE,WOODRUFF AVENUE,OCEAN AVENUE,,,,,,,,
