unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date,taxi_company_borough,taxi_pick_up_location
58855145,2023-09-15T08:03:03.000,2023-09-18T15:35:30.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11232,810 40 STREET,40 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,40 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-18T11:25:02.000,12 BROOKLYN,3009200010,BROOKLYN,984971,174783,ONLINE,Unspecified,BROOKLYN,40.646415575198155,-73.99740183637611,"{'latitude': '40.646415575198155', 'longitude': '-73.99740183637611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863827,2023-09-15T08:02:52.000,2023-09-15T08:38:34.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:38:38.000,0 Unspecified,,Unspecified,1028125,222986,ONLINE,Unspecified,Unspecified,40.7786124351936,-73.84158002699186,"{'latitude': '40.7786124351936', 'longitude': '-73.84158002699186', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857045,2023-09-15T08:02:26.000,2023-09-15T08:59:46.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,,,,,,,,,,,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-15T08:59:31.000,0 Unspecified,,Unspecified,1039115,218552,ONLINE,Unspecified,Unspecified,40.76638091012175,-73.80193462762361,"{'latitude': '40.76638091012175', 'longitude': '-73.80193462762361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58824433,2023-09-15T08:02:24.000,2023-10-02T08:56:58.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,PHONE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58830209,2023-09-15T08:02:23.000,2023-09-16T15:29:33.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Sidewalk,,,,,,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T11:50:00.000,0 Unspecified,,Unspecified,,219387,ONLINE,Unspecified,Unspecified,,,,,,,,,,,
58822673,2023-09-15T08:02:01.000,2023-09-21T11:26:55.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-21T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,PHONE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820469,2023-09-15T08:02:00.000,2023-09-15T10:30:00.000,DEP,Department of Environmental Protection,Sewer,Highway Flooding (SH),,,,,,,VWE - Northbound,Entrance VWE,INTERSECTION,,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-15T10:30:00.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,,,,
58823876,2023-09-15T08:02:00.000,2023-09-18T09:11:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10465,319 QUINCY AVENUE,QUINCY AVENUE,MILES AVE,SAMPSON AVE,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-18T09:11:00.000,10 BRONX,2055790103,BRONX,1034064,237493,ONLINE,Unspecified,BRONX,40.818398638094735,-73.8200284497056,"{'latitude': '40.818398638094735', 'longitude': '-73.8200284497056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58866525,2023-09-15T08:01:56.000,2023-09-15T08:53:50.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-15T08:53:56.000,0 Unspecified,,Unspecified,1014158,212043,MOBILE,Unspecified,Unspecified,40.748635039328654,-73.89205946154775,"{'latitude': '40.748635039328654', 'longitude': '-73.89205946154775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58823104,2023-09-15T08:01:52.000,2023-09-15T17:31:10.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T17:31:15.000,0 Unspecified,,Unspecified,,237079,PHONE,Unspecified,Unspecified,,,,,,,,,,,
