unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_company_borough
58857956,2023-09-15T01:52:11.000,2023-09-15T02:14:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11212,91 JUNIUS STREET,JUNIUS STREET,LIBERTY AVENUE,GLENMORE AVENUE,LIBERTY AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,JUNIUS STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:14:43.000,16 BROOKLYN,3036967501,BROOKLYN,1010942,184416,ONLINE,Unspecified,BROOKLYN,40.6728158292927,-73.90377579949111,"{'latitude': '40.6728158292927', 'longitude': '-73.90377579949111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864431,2023-09-15T01:52:01.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,,10017,348 EAST   49 STREET,EAST   49 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   49 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T12:08:49.000,06 MANHATTAN,1013410030,MANHATTAN,993159,213893,MOBILE,Unspecified,MANHATTAN,40.75375891058745,-73.96784418870361,"{'latitude': '40.75375891058745', 'longitude': '-73.96784418870361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","348 EAST   49 STREET, MANHATTAN (NEW YORK), NY, 10017",,,,,,,
58867382,2023-09-15T01:51:58.000,2023-09-15T01:58:36.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Store/Commercial,10009,180 AVENUE B,AVENUE B,EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,ADDRESS,NEW YORK,AVENUE B,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:58:41.000,03 MANHATTAN,1004057502,MANHATTAN,989977,204386,ONLINE,Unspecified,MANHATTAN,40.72766719443229,-73.97933727406384,"{'latitude': '40.72766719443229', 'longitude': '-73.97933727406384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863113,2023-09-15T01:51:19.000,2023-09-15T02:41:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10018,1410 BROADWAY,BROADWAY,WEST   38 STREET,WEST   39 STREET,WEST   38 STREET,WEST   39 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:41:33.000,05 MANHATTAN,1008140052,MANHATTAN,987821,213796,MOBILE,Unspecified,MANHATTAN,40.7534964372902,-73.98711101722698,"{'latitude': '40.7534964372902', 'longitude': '-73.98711101722698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58823605,2023-09-15T01:50:44.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11211,159 SOUTH    2 STREET,SOUTH    2 STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-15T00:00:00.000,01 BROOKLYN,3024060037,BROOKLYN,994974,199044,PHONE,Unspecified,BROOKLYN,40.71300004663157,-73.96131686424636,"{'latitude': '40.71300004663157', 'longitude': '-73.96131686424636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817510,2023-09-15T01:50:42.000,2023-10-17T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10033,1474 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The City has removed the graffiti from this property.,2023-10-18T06:53:52.000,12 MANHATTAN,1021540072,MANHATTAN,1002918,249311,UNKNOWN,Unspecified,MANHATTAN,40.85095635453268,-73.93252195435025,"{'latitude': '40.85095635453268', 'longitude': '-73.93252195435025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,2023-10-15T01:50:42.000,,,,,
58869473,2023-09-15T01:50:34.000,2023-09-15T01:56:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11104,43-39 41 STREET,41 STREET,43 AVENUE,QUEENS BOULEVARD,43 AVENUE,QUEENS BOULEVARD,ADDRESS,SUNNYSIDE,41 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T01:56:56.000,02 QUEENS,4001880009,QUEENS,1005555,210628,ONLINE,Unspecified,QUEENS,40.744776133085736,-73.92311289007951,"{'latitude': '40.744776133085736', 'longitude': '-73.92311289007951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861803,2023-09-15T01:50:31.000,2023-09-15T02:45:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10451,828 GERARD AVENUE,GERARD AVENUE,EAST  157 STREET,EAST  158 STREET,EAST  157 STREET,EAST  158 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T02:45:49.000,04 BRONX,2024740010,BRONX,1004804,240268,MOBILE,Unspecified,BRONX,40.826131766279985,-73.92573246501276,"{'latitude': '40.826131766279985', 'longitude': '-73.92573246501276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857813,2023-09-15T01:50:27.000,2023-09-15T02:17:32.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11355,ASH AVENUE,ASH AVENUE,ASH AVENUE,MURRAY STREET,ASH AVENUE,MURRAY STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T02:17:38.000,07 QUEENS,,QUEENS,1036369,216306,ONLINE,Unspecified,QUEENS,40.76023284849211,-73.8118652066871,"{'latitude': '40.76023284849211', 'longitude': '-73.8118652066871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58819585,2023-09-15T01:50:00.000,2023-09-18T18:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11106,,,,,33 STREET,BROADWAY,INTERSECTION,QUEENS,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-18T18:30:00.000,01 QUEENS,,QUEENS,1005363,216621,ONLINE,Unspecified,QUEENS,40.761225853018914,-73.9237869767819,"{'latitude': '40.761225853018914', 'longitude': '-73.9237869767819', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,
