unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,road_ramp,bridge_highway_direction
58865360,2023-09-14T22:46:47.000,2023-09-14T22:56:46.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11232,648 39 STREET,39 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T22:56:53.000,07 BROOKLYN,3009140026,BROOKLYN,984074,175826,PHONE,Unspecified,BROOKLYN,40.64927841205069,-74.00063425300834,"{'latitude': '40.64927841205069', 'longitude': '-74.00063425300834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58857863,2023-09-14T22:46:46.000,2023-09-15T00:06:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11421,92-08 97 STREET,97 STREET,91 DRIVE,ATLANTIC AVENUE,91 DRIVE,ATLANTIC AVENUE,ADDRESS,WOODHAVEN,97 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T00:07:00.000,09 QUEENS,,QUEENS,1026907,190539,ONLINE,Unspecified,QUEENS,40.68955951583038,-73.84618358586151,"{'latitude': '40.68955951583038', 'longitude': '-73.84618358586151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58868589,2023-09-14T22:46:34.000,2023-09-19T14:11:39.000,DSNY,Department of Sanitation,Dead Animal,Dog,Sidewalk,11691,25-33 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,BAY   25 STREET,HARTMAN LANE,BAY   25 STREET,HARTMAN LANE,ADDRESS,FAR ROCKAWAY,BEACH CHANNEL DRIVE,Closed,The Department of Sanitation removed the items.,2023-09-15T11:02:38.000,14 QUEENS,4157850012,QUEENS,1050239,158118,PHONE,Unspecified,QUEENS,40.60042798908526,-73.76236846038525,"{'latitude': '40.60042798908526', 'longitude': '-73.76236846038525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58859686,2023-09-14T22:46:31.000,2023-09-14T23:21:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10011,258 WEST   15 STREET,WEST   15 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   15 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:21:38.000,04 MANHATTAN,1007640069,MANHATTAN,984031,208847,ONLINE,Unspecified,MANHATTAN,40.73991339303542,-74.00079028612932,"{'latitude': '40.73991339303542', 'longitude': '-74.00079028612932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58857741,2023-09-14T22:45:52.000,2023-09-14T23:09:43.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11105,35-03 DITMARS BOULEVARD,DITMARS BOULEVARD,35 STREET,36 STREET,35 STREET,36 STREET,ADDRESS,ASTORIA,DITMARS BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T23:09:48.000,01 QUEENS,4008240002,QUEENS,1009516,221565,ONLINE,Unspecified,QUEENS,40.77478494953705,-73.90877703653284,"{'latitude': '40.77478494953705', 'longitude': '-73.90877703653284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58863667,2023-09-14T22:45:50.000,2023-09-14T22:46:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11204,5709 19 AVENUE,19 AVENUE,55 STREET,58 STREET,55 STREET,58 STREET,ADDRESS,BROOKLYN,19 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T22:46:47.000,12 BROOKLYN,3055060006,BROOKLYN,988836,165975,ONLINE,Unspecified,BROOKLYN,40.622238328097545,-73.98348007983238,"{'latitude': '40.622238328097545', 'longitude': '-73.98348007983238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58869540,2023-09-14T22:45:37.000,2023-09-14T23:09:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,459 TAYLOR AVENUE,TAYLOR AVENUE,PATTERSON AVENUE,LACOMBE AVENUE,PATTERSON AVENUE,LACOMBE AVENUE,ADDRESS,BRONX,TAYLOR AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:09:28.000,09 BRONX,2034950045,BRONX,1022649,235910,ONLINE,Unspecified,BRONX,40.814110747395034,-73.86127834871117,"{'latitude': '40.814110747395034', 'longitude': '-73.86127834871117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58857828,2023-09-14T22:45:24.000,2023-09-14T23:09:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,97 2 AVENUE,2 AVENUE,EAST    5 STREET,EAST    6 STREET,EAST    5 STREET,EAST    6 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:09:28.000,03 MANHATTAN,1004610030,MANHATTAN,987381,204211,MOBILE,Unspecified,MANHATTAN,40.727188161896876,-73.98870359185675,"{'latitude': '40.727188161896876', 'longitude': '-73.98870359185675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58856082,2023-09-14T22:45:18.000,2023-09-14T23:10:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,462 EAST   10 STREET,EAST   10 STREET,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,EAST   10 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:10:48.000,03 MANHATTAN,,MANHATTAN,991278,203286,MOBILE,Unspecified,MANHATTAN,40.72464702404579,-73.97464448097112,"{'latitude': '40.72464702404579', 'longitude': '-73.97464448097112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58858014,2023-09-14T22:44:53.000,2023-09-14T23:58:09.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  184 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:58:14.000,12 MANHATTAN,1021650063,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
