unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,taxi_company_borough,road_ramp
58867030,2023-09-14T20:31:30.000,2023-09-14T21:33:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11375,67-129 CLYDE STREET,CLYDE STREET,YELLOWSTONE BOULEVARD,68 AVENUE,YELLOWSTONE BOULEVARD,68 AVENUE,ADDRESS,FOREST HILLS,CLYDE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T21:33:11.000,06 QUEENS,4031910033,QUEENS,1025122,201951,MOBILE,Unspecified,QUEENS,40.720891146408015,-73.85255081870983,"{'latitude': '40.720891146408015', 'longitude': '-73.85255081870983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58820645,2023-09-14T20:31:09.000,2023-09-15T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11216,449 EASTERN PARKWAY,EASTERN PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-15T00:00:00.000,08 BROOKLYN,3012600027,BROOKLYN,997114,183393,UNKNOWN,Unspecified,BROOKLYN,40.6700388168879,-73.95362743944155,"{'latitude': '40.6700388168879', 'longitude': '-73.95362743944155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58825701,2023-09-14T20:31:03.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,11229,1713 AVENUE T,AVENUE T,,,,,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-09-19T00:00:00.000,15 BROOKLYN,3072960047,BROOKLYN,996825,158360,UNKNOWN,Unspecified,BROOKLYN,40.60132898609492,-73.95471588592905,"{'latitude': '40.60132898609492', 'longitude': '-73.95471588592905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863732,2023-09-14T20:30:29.000,2023-09-14T21:15:30.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201,ASHLAND PLACE,ASHLAND PLACE,ASHLAND PLACE,WILLOUGHBY STREET,ASHLAND PLACE,WILLOUGHBY STREET,INTERSECTION,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T21:15:36.000,02 BROOKLYN,,BROOKLYN,990088,191363,ONLINE,Unspecified,BROOKLYN,40.69192207702148,-73.97894808374932,"{'latitude': '40.69192207702148', 'longitude': '-73.97894808374932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860865,2023-09-14T20:30:29.000,2023-09-15T04:26:04.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,10467,334 EAST  205 STREET,EAST  205 STREET,HULL AVENUE,DECATUR AVENUE,HULL AVENUE,DECATUR AVENUE,ADDRESS,BRONX,EAST  205 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T04:26:11.000,07 BRONX,2033490023,BRONX,1018444,257588,ONLINE,Unspecified,BRONX,40.87362772131575,-73.87635892721052,"{'latitude': '40.87362772131575', 'longitude': '-73.87635892721052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867498,2023-09-14T20:30:13.000,2023-09-14T21:13:27.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,2411 EAST    3 STREET,EAST    3 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,EAST    3 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T21:13:31.000,15 BROOKLYN,3071790042,BROOKLYN,993268,154723,PHONE,Unspecified,BROOKLYN,40.5913504885388,-73.96752993169969,"{'latitude': '40.5913504885388', 'longitude': '-73.96752993169969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868056,2023-09-14T20:30:05.000,2023-09-14T21:36:13.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11365,160-07 HORACE HARDING EXPRESSWAY,HORACE HARDING EXPRESSWAY,160 STREET,LONG ISLAND EXPWY WB ET   24,160 STREET,LONG ISLAND EXPWY WB ET   24,ADDRESS,FRESH MEADOWS,HORACE HARDING EXPRESSWAY,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T21:36:21.000,07 QUEENS,4067380106,QUEENS,1037429,208496,ONLINE,Unspecified,QUEENS,40.738790106990876,-73.8081006796277,"{'latitude': '40.738790106990876', 'longitude': '-73.8081006796277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867369,2023-09-14T20:30:01.000,2023-09-14T21:29:16.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11436,116-48 147 STREET,147 STREET,116 AVENUE,FOCH BOULEVARD,116 AVENUE,FOCH BOULEVARD,ADDRESS,JAMAICA,147 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T21:29:21.000,12 QUEENS,4120060027,QUEENS,1041335,187508,PHONE,Unspecified,QUEENS,40.681158838325516,-73.7941836638006,"{'latitude': '40.681158838325516', 'longitude': '-73.7941836638006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58810770,2023-09-14T20:30:00.000,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11204,,,,,17 AVENUE,47 STREET,INTERSECTION,BROOKLYN,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T08:27:00.000,12 BROOKLYN,,BROOKLYN,989277,169048,UNKNOWN,Unspecified,BROOKLYN,40.63067282824027,-73.98188919879235,"{'latitude': '40.63067282824027', 'longitude': '-73.98188919879235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867344,2023-09-14T20:29:51.000,2023-09-14T21:01:57.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11231,79 HAMILTON AVENUE,HAMILTON AVENUE,SUMMIT STREET,WOODHULL STREET,SUMMIT STREET,WOODHULL STREET,ADDRESS,BROOKLYN,HAMILTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T21:02:00.000,06 BROOKLYN,3003520001,BROOKLYN,982533,188011,MOBILE,Unspecified,BROOKLYN,40.68272336451938,-74.00619067382564,"{'latitude': '40.68272336451938', 'longitude': '-74.00619067382564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865492,2023-09-14T20:29:35.000,2023-09-14T21:15:50.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11373,79-17 ALBION AVENUE,ALBION AVENUE,HILLYER STREET,BARNWELL AVENUE,HILLYER STREET,BARNWELL AVENUE,ADDRESS,ELMHURST,ALBION AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T21:15:55.000,04 QUEENS,4015360113,QUEENS,1016077,208552,MOBILE,Unspecified,QUEENS,40.739046426384576,-73.88515015269228,"{'latitude': '40.739046426384576', 'longitude': '-73.88515015269228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869027,2023-09-14T20:29:13.000,2023-09-14T23:37:27.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11228,1400 BENSON AVENUE,BENSON AVENUE,14 AVENUE,BAY    7 STREET,14 AVENUE,BAY    7 STREET,ADDRESS,BROOKLYN,BENSON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T23:37:30.000,11 BROOKLYN,3063910024,BROOKLYN,980536,161867,ONLINE,Unspecified,BROOKLYN,40.61096312789921,-74.01337649817597,"{'latitude': '40.61096312789921', 'longitude': '-74.01337649817597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866166,2023-09-14T20:28:44.000,2023-09-14T21:13:18.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Street/Sidewalk,11375,72 AVENUE,72 AVENUE,72 AVENUE,JUNO STREET,72 AVENUE,JUNO STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T21:13:26.000,06 QUEENS,,QUEENS,1026794,199132,PHONE,Unspecified,QUEENS,40.713145796344854,-73.84653676664398,"{'latitude': '40.713145796344854', 'longitude': '-73.84653676664398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815543,2023-09-14T20:28:43.000,2023-09-20T09:45:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
