unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58811390,2023-09-14T18:08:48.000,2023-09-17T11:48:11.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,10009,250 1 AVENUE,1 AVENUE,EAST   14 STREET,EAST   15 STREET,EAST   14 STREET,EAST   15 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-17T11:48:17.000,06 MANHATTAN,1009720001,MANHATTAN,989227,205914,ONLINE,Unspecified,MANHATTAN,40.731861634499985,-73.98204210581282,"{'latitude': '40.731861634499985', 'longitude': '-73.98204210581282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814776,2023-09-14T18:08:48.000,2023-09-14T18:32:22.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10009,250 1 AVENUE,1 AVENUE,EAST   14 STREET,EAST   15 STREET,EAST   14 STREET,EAST   15 STREET,ADDRESS,NEW YORK,1 AVENUE,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-14T18:32:26.000,06 MANHATTAN,1009720001,MANHATTAN,989227,205914,ONLINE,Unspecified,MANHATTAN,40.731861634499985,-73.98204210581282,"{'latitude': '40.731861634499985', 'longitude': '-73.98204210581282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58810995,2023-09-14T18:08:36.000,2023-10-09T11:05:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10029,1274 5 AVENUE,5 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,11 MANHATTAN,1016140069,MANHATTAN,998152,229307,ONLINE,Unspecified,MANHATTAN,40.79605984776229,-73.94979075566805,"{'latitude': '40.79605984776229', 'longitude': '-73.94979075566805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58813368,2023-09-14T18:08:24.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11204,1637 73 STREET,73 STREET,NEW UTRECHT AVENUE,17 AVENUE,NEW UTRECHT AVENUE,17 AVENUE,ADDRESS,BROOKLYN,73 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T09:40:33.000,11 BROOKLYN,3061920076,BROOKLYN,984656,164007,ONLINE,Unspecified,BROOKLYN,40.61683775515759,-73.99853760468656,"{'latitude': '40.61683775515759', 'longitude': '-73.99853760468656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818129,2023-09-14T18:08:10.000,2023-09-18T13:46:14.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,11378,69-62 CALDWELL AVENUE,CALDWELL AVENUE,69 PLACE,69 LANE,69 PLACE,69 LANE,ADDRESS,MASPETH,CALDWELL AVENUE,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-18T13:46:19.000,05 QUEENS,4028310004,QUEENS,1014153,203109,PHONE,Unspecified,QUEENS,40.724113452008226,-73.89211721739882,"{'latitude': '40.724113452008226', 'longitude': '-73.89211721739882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58814128,2023-09-14T18:08:00.000,2023-09-22T07:41:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11206,199 THROOP AVENUE,THROOP AVENUE,MYRTLE AVE,PARK AVE,THROOP AVENUE,MYRTLE AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T07:41:00.000,03 BROOKLYN,3017490001,BROOKLYN,999910,192864,UNKNOWN,Unspecified,BROOKLYN,40.696030044398285,-73.94352632050455,"{'latitude': '40.696030044398285', 'longitude': '-73.94352632050455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58812744,2023-09-14T18:08:00.000,2023-09-20T11:45:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11369,24-20 90 PLACE,90 PLACE,24 AVE,24 RD,,,ADDRESS,EAST ELMHURST,,Closed,"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-20T11:45:00.000,03 QUEENS,4011010165,QUEENS,1017773,218043,ONLINE,Unspecified,QUEENS,40.76509052782671,-73.87898271592462,"{'latitude': '40.76509052782671', 'longitude': '-73.87898271592462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58811263,2023-09-14T18:07:56.000,2023-09-14T20:35:08.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11385,1683 GROVE STREET,GROVE STREET,GROVE STREET,CYPRESS AVENUE,GROVE STREET,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,GROVE STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T20:35:14.000,05 QUEENS,4034420035,QUEENS,1008789,195261,PHONE,Unspecified,QUEENS,40.70258908056358,-73.91149782199963,"{'latitude': '40.70258908056358', 'longitude': '-73.91149782199963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58815089,2023-09-14T18:07:54.000,2023-09-14T18:19:20.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2618 EAST   21 STREET,EAST   21 STREET,AVENUE Z,JEROME AVENUE,AVENUE Z,JEROME AVENUE,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:19:22.000,15 BROOKLYN,,BROOKLYN,998614,153655,MOBILE,Unspecified,BROOKLYN,40.58841199121644,-73.94828348251531,"{'latitude': '40.58841199121644', 'longitude': '-73.94828348251531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58818663,2023-09-14T18:07:14.000,2023-09-14T18:57:13.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11238,450 VANDERBILT AVENUE,VANDERBILT AVENUE,GATES AVENUE,FULTON STREET,GATES AVENUE,FULTON STREET,ADDRESS,BROOKLYN,VANDERBILT AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T18:57:17.000,02 BROOKLYN,,BROOKLYN,993129,188404,PHONE,Unspecified,BROOKLYN,40.68379777311882,-73.96798609219574,"{'latitude': '40.68379777311882', 'longitude': '-73.96798609219574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
