unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58816788,2023-09-14T16:03:50.000,2023-09-14T16:42:56.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11201,170 ATLANTIC AVENUE,ATLANTIC AVENUE,CLINTON STREET,COURT STREET,CLINTON STREET,COURT STREET,ADDRESS,BROOKLYN,ATLANTIC AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T16:43:01.000,06 BROOKLYN,3002860011,BROOKLYN,985993,190681,ONLINE,Unspecified,BROOKLYN,40.69005189810301,-73.99371489199669,"{'latitude': '40.69005189810301', 'longitude': '-73.99371489199669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816472,2023-09-14T16:03:38.000,2023-09-14T16:38:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,95 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GREENE AVENUE,LEXINGTON AVENUE,GREENE AVENUE,LEXINGTON AVENUE,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T16:38:21.000,03 BROOKLYN,3016220005,BROOKLYN,1003512,190827,ONLINE,Unspecified,BROOKLYN,40.69043184539353,-73.93054248261684,"{'latitude': '40.69043184539353', 'longitude': '-73.93054248261684', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810836,2023-09-14T16:03:32.000,2023-09-14T17:10:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11205,171 CLERMONT AVENUE,CLERMONT AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,CLERMONT AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T17:10:09.000,02 BROOKLYN,3020750012,BROOKLYN,992370,191577,ONLINE,Unspecified,BROOKLYN,40.69250765806443,-73.97071889982843,"{'latitude': '40.69250765806443', 'longitude': '-73.97071889982843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815091,2023-09-14T16:03:24.000,2023-09-14T16:16:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11207,621 JEROME STREET,JEROME STREET,NEW LOTS AVENUE,MCCLANCY PLACE,NEW LOTS AVENUE,MCCLANCY PLACE,ADDRESS,BROOKLYN,JEROME STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T16:16:42.000,05 BROOKLYN,3043100001,BROOKLYN,1016200,181678,ONLINE,Unspecified,BROOKLYN,40.66528322201551,-73.88483379695587,"{'latitude': '40.66528322201551', 'longitude': '-73.88483379695587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812639,2023-09-14T16:03:19.000,2023-09-15T10:08:16.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Sidewalk,11412,114-43 FARMERS BOULEVARD,FARMERS BOULEVARD,114 ROAD,114 DRIVE,114 ROAD,114 DRIVE,ADDRESS,SAINT ALBANS,FARMERS BOULEVARD,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-15T10:08:08.000,12 QUEENS,4110080001,QUEENS,1050301,193238,PHONE,Unspecified,QUEENS,40.696823950182306,-73.76180129240835,"{'latitude': '40.696823950182306', 'longitude': '-73.76180129240835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812945,2023-09-14T16:03:16.000,2023-09-14T17:38:40.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11222,657 LEONARD STREET,LEONARD STREET,NORMAN AVENUE,MESEROLE AVENUE,NORMAN AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,LEONARD STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T17:38:45.000,01 BROOKLYN,3026200010,BROOKLYN,997669,204126,PHONE,Unspecified,BROOKLYN,40.726945233318986,-73.95158545014861,"{'latitude': '40.726945233318986', 'longitude': '-73.95158545014861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814861,2023-09-14T16:03:14.000,2023-09-20T05:20:01.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11434,120-22 171 STREET,171 STREET,120 AVENUE,BAISLEY BOULEVARD,120 AVENUE,BAISLEY BOULEVARD,ADDRESS,JAMAICA,171 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-15T03:46:05.000,12 QUEENS,4123870129,QUEENS,1046979,188051,ONLINE,Unspecified,QUEENS,40.68261104710486,-73.77382961241598,"{'latitude': '40.68261104710486', 'longitude': '-73.77382961241598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815782,2023-09-14T16:03:12.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811920,2023-09-14T16:03:10.000,2023-09-14T16:42:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11104,43-06 GREENPOINT AVENUE,GREENPOINT AVENUE,43 STREET,44 STREET,43 STREET,44 STREET,ADDRESS,SUNNYSIDE,GREENPOINT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T16:42:11.000,02 QUEENS,4001730016,QUEENS,1005921,209244,ONLINE,Unspecified,QUEENS,40.74097651063098,-73.92179650110846,"{'latitude': '40.74097651063098', 'longitude': '-73.92179650110846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816678,2023-09-14T16:03:04.000,2023-09-22T07:16:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10460,866 EAST  178 STREET,EAST  178 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,06 BRONX,2031210014,BRONX,1016087,246617,PHONE,Unspecified,BRONX,40.84352446040918,-73.88493363308801,"{'latitude': '40.84352446040918', 'longitude': '-73.88493363308801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58817709,2023-09-14T16:03:04.000,2023-09-22T07:16:18.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,10460,866 EAST  178 STREET,EAST  178 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,06 BRONX,2031210014,BRONX,1016087,246617,PHONE,Unspecified,BRONX,40.84352446040918,-73.88493363308801,"{'latitude': '40.84352446040918', 'longitude': '-73.88493363308801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810956,2023-09-14T16:03:04.000,2023-09-22T07:16:19.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10460,866 EAST  178 STREET,EAST  178 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,06 BRONX,2031210014,BRONX,1016087,246617,PHONE,Unspecified,BRONX,40.84352446040918,-73.88493363308801,"{'latitude': '40.84352446040918', 'longitude': '-73.88493363308801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810867,2023-09-14T16:03:04.000,2023-09-22T07:16:18.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10460,866 EAST  178 STREET,EAST  178 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,06 BRONX,2031210014,BRONX,1016087,246617,PHONE,Unspecified,BRONX,40.84352446040918,-73.88493363308801,"{'latitude': '40.84352446040918', 'longitude': '-73.88493363308801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816260,2023-09-14T16:02:53.000,2023-09-14T17:10:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,298 CLASSON AVENUE,CLASSON AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,CLASSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T17:10:24.000,02 BROOKLYN,3019330121,BROOKLYN,995261,190775,ONLINE,Unspecified,BROOKLYN,40.690303228634036,-73.96029513058312,"{'latitude': '40.690303228634036', 'longitude': '-73.96029513058312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58812010,2023-09-14T16:02:32.000,2023-09-18T19:22:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810958,2023-09-14T16:02:32.000,2023-09-18T19:22:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815472,2023-09-14T16:02:32.000,2023-09-18T19:22:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58810875,2023-09-14T16:02:32.000,2023-09-18T19:22:36.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814711,2023-09-14T16:02:32.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JOHN F KENNEDY AIRPORT,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-09-21T11:21:20.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,,,,
58810968,2023-09-14T16:02:32.000,2023-09-18T19:22:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58813131,2023-09-14T16:02:32.000,2023-09-18T19:22:35.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814245,2023-09-14T16:02:32.000,2023-09-18T19:22:35.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10301,33 YORK AVENUE,YORK AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,01 STATEN ISLAND,5000520065,STATEN ISLAND,959616,174500,PHONE,Unspecified,STATEN ISLAND,40.64560457092299,-74.08876892608303,"{'latitude': '40.64560457092299', 'longitude': '-74.08876892608303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811198,2023-09-14T16:02:29.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,Street,11215,373 6 AVENUE,6 AVENUE,5 STREET,6 STREET,5 STREET,6 STREET,ADDRESS,BROOKLYN,6 AVENUE,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T10:45:12.000,06 BROOKLYN,3009890007,BROOKLYN,989206,183443,ONLINE,Unspecified,BROOKLYN,40.6701840144804,-73.98213441376727,"{'latitude': '40.6701840144804', 'longitude': '-73.98213441376727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58816037,2023-09-14T16:02:24.000,2023-09-15T12:43:39.000,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11377,62-05 30 AVENUE,30 AVENUE,BROOKLYN QUEENS EXPRESSWAY WEST,BROOKLYN QUEENS EXPWY WB ET   43,BROOKLYN QUEENS EXPRESSWAY WEST,BROOKLYN QUEENS EXPWY WB ET   43,ADDRESS,WOODSIDE,30 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T07:02:32.000,01 QUEENS,4010160125,QUEENS,1011711,216073,PHONE,Unspecified,QUEENS,40.75970429635071,-73.90087442788378,"{'latitude': '40.75970429635071', 'longitude': '-73.90087442788378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
