unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,vehicle_type
58818189,2023-09-14T14:07:26.000,2023-09-14T14:38:57.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10011,509 6 AVENUE,6 AVENUE,WEST   13 STREET,WEST   14 STREET,WEST   13 STREET,WEST   14 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T14:39:03.000,02 MANHATTAN,1006090047,MANHATTAN,985015,207722,MOBILE,Unspecified,MANHATTAN,40.736825516433484,-73.99723953940034,"{'latitude': '40.736825516433484', 'longitude': '-73.99723953940034', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58819069,2023-09-14T14:07:10.000,2023-09-14T14:22:17.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11375,87-50 69 AVENUE,69 AVENUE,SYBILLA STREET,METROPOLITAN AVENUE,SYBILLA STREET,METROPOLITAN AVENUE,ADDRESS,FOREST HILLS,69 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T14:22:19.000,06 QUEENS,4038920001,QUEENS,1024278,198323,PHONE,Unspecified,QUEENS,40.71093702757045,-73.85561718709603,"{'latitude': '40.71093702757045', 'longitude': '-73.85561718709603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817138,2023-09-14T14:06:45.000,2023-09-20T05:19:22.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11434,120-56 SMITH STREET,SMITH STREET,165 STREET,122 AVENUE,165 STREET,122 AVENUE,ADDRESS,JAMAICA,SMITH STREET,Closed,The Department of Sanitation removed the items.,2023-09-15T10:07:38.000,12 QUEENS,4123790060,QUEENS,1045637,187169,ONLINE,Unspecified,QUEENS,40.68019957406097,-73.7786762282793,"{'latitude': '40.68019957406097', 'longitude': '-73.7786762282793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813935,2023-09-14T14:06:44.000,2023-09-14T14:43:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T14:43:18.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58814194,2023-09-14T14:06:15.000,2023-09-14T14:24:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,985 OCEAN AVENUE,OCEAN AVENUE,DITMAS AVENUE,NEWKIRK AVENUE,DITMAS AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T14:24:42.000,14 BROOKLYN,3052060054,BROOKLYN,995687,171882,ONLINE,Unspecified,BROOKLYN,40.63844559863239,-73.95879105495952,"{'latitude': '40.63844559863239', 'longitude': '-73.95879105495952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58811525,2023-09-14T14:06:06.000,2023-09-19T14:25:21.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,11417,104-05 LIBERTY AVENUE,LIBERTY AVENUE,104 STREET,105 STREET,104 STREET,105 STREET,ADDRESS,OZONE PARK,LIBERTY AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-15T10:10:51.000,10 QUEENS,4095080048,QUEENS,1029505,187815,MOBILE,Unspecified,QUEENS,40.68206986911416,-73.83683380296984,"{'latitude': '40.68206986911416', 'longitude': '-73.83683380296984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817068,2023-09-14T14:06:04.000,2023-09-14T15:21:35.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10128,1640 3 AVENUE,3 AVENUE,EAST   91 STREET,EAST   92 STREET,EAST   91 STREET,EAST   92 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T15:21:39.000,08 MANHATTAN,1015200038,MANHATTAN,997734,224366,PHONE,Unspecified,MANHATTAN,40.78249877894092,-73.95131034663049,"{'latitude': '40.78249877894092', 'longitude': '-73.95131034663049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817188,2023-09-14T14:05:36.000,2023-09-14T16:03:20.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,10013,400 BROADWAY,BROADWAY,WALKER STREET,LISPENARD STREET,WALKER STREET,LISPENARD STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-14T16:03:24.000,01 MANHATTAN,1001960001,MANHATTAN,983567,201119,ONLINE,Unspecified,MANHATTAN,40.71870189783701,-74.00246389790759,"{'latitude': '40.71870189783701', 'longitude': '-74.00246389790759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817083,2023-09-14T14:05:36.000,2023-09-14T14:10:50.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11214,8514 18 AVENUE,18 AVENUE,85 STREET,86 STREET,85 STREET,86 STREET,ADDRESS,BROOKLYN,18 AVENUE,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-14T14:10:50.000,11 BROOKLYN,3063430050,BROOKLYN,983659,160672,MOBILE,Unspecified,BROOKLYN,40.60768385671392,-74.00212846582532,"{'latitude': '40.60768385671392', 'longitude': '-74.00212846582532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815669,2023-09-14T14:05:26.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11209,7608 6 AVENUE,6 AVENUE,76 STREET,77 STREET,76 STREET,77 STREET,ADDRESS,BROOKLYN,6 AVENUE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-23T08:58:32.000,10 BROOKLYN,3059520036,BROOKLYN,978512,167756,MOBILE,Unspecified,BROOKLYN,40.62712612859966,-74.02067122640541,"{'latitude': '40.62712612859966', 'longitude': '-74.02067122640541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
