unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,due_date,vehicle_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58963721,2023-09-29T16:17:00.000,2023-09-30T13:20:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11221,25 DITMARS STREET,DITMARS STREET,BROADWAY,MYRTLE AVE,ADDRESS,BROOKLYN,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-30T13:20:00.000,04 BROOKLYN,3031930006,BROOKLYN,1002766,193163,ONLINE,Unspecified,BROOKLYN,40.696845215003286,-73.93322608789852,"{'latitude': '40.696845215003286', 'longitude': '-73.93322608789852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58956068,2023-09-29T16:17:00.000,2023-09-30T08:55:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),11218,,,,,INTERSECTION,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T08:55:00.000,14 BROOKLYN,,BROOKLYN,992767,174994,PHONE,Unspecified,BROOKLYN,40.64699065855479,-73.96930825136621,"{'latitude': '40.64699065855479', 'longitude': '-73.96930825136621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHURCH AVENUE,STRATFORD ROAD,,,,,,,,,,
58958969,2023-09-29T16:17:00.000,2023-10-02T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11101,,,,,INTERSECTION,QUEENS,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-02T12:30:00.000,01 QUEENS,,QUEENS,1007747,212960,ONLINE,Unspecified,QUEENS,40.75117133098466,-73.91519409018495,"{'latitude': '40.75117133098466', 'longitude': '-73.91519409018495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37 AVENUE,48 STREET,,,,,,,,,,
58966804,2023-09-29T16:17:00.000,2023-09-30T12:05:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11692,74-23 HILLMEYER AVENUE,HILLMEYER AVENUE,BARBADOES DR,DEAD END,ADDRESS,ARVERNE,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T12:05:00.000,14 QUEENS,4160620010,QUEENS,1038727,156924,PHONE,Unspecified,QUEENS,40.59722895042091,-73.80383354643939,"{'latitude': '40.59722895042091', 'longitude': '-73.80383354643939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58966738,2023-09-29T16:17:00.000,2023-09-29T19:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11422,149-48 256 STREET,256 STREET,149 RD,CRAFT AVE,ADDRESS,ROSEDALE,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-29T19:45:00.000,13 QUEENS,4136760062,QUEENS,1058322,176705,PHONE,Unspecified,QUEENS,40.65138129291957,-73.73305714573354,"{'latitude': '40.65138129291957', 'longitude': '-73.73305714573354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59460109,2023-09-29T16:16:59.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,11206,366 STOCKTON STREET,STOCKTON STREET,LEWIS AVENUE,BROADWAY,ADDRESS,BROOKLYN,In Progress,,,03 BROOKLYN,3015840009,BROOKLYN,1001635,193399,ONLINE,Unspecified,BROOKLYN,40.69749527403364,-73.93730418192808,"{'latitude': '40.69749527403364', 'longitude': '-73.93730418192808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEWIS AVENUE,BROADWAY,Apartment,STOCKTON STREET,,,,,,,,
58959514,2023-09-29T16:16:58.000,2023-09-29T16:30:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T16:31:09.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,MERMAID AVENUE,Residential Building/House,WEST   23 STREET,,,,,,,,
58961914,2023-09-29T16:16:56.000,2023-09-29T21:14:18.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,11213,135 ALBANY AVENUE,ALBANY AVENUE,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T21:14:22.000,08 BROOKLYN,3013460008,BROOKLYN,1001230,185564,ONLINE,Unspecified,BROOKLYN,40.67599078558638,-73.9387844855263,"{'latitude': '40.67599078558638', 'longitude': '-73.9387844855263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DEAN STREET,BERGEN STREET,Street/Sidewalk,ALBANY AVENUE,,,,,,,,
59449267,2023-09-29T16:16:51.000,2023-09-30T11:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11428,92-06 215 STREET,215 STREET,92 AVENUE,92 ROAD,ADDRESS,QUEENS VILLAGE,Closed,,2023-09-30T11:00:00.000,13 QUEENS,4106290034,QUEENS,1055191,202130,PHONE,Unspecified,QUEENS,40.72119243112396,-73.74407296930711,"{'latitude': '40.72119243112396', 'longitude': '-73.74407296930711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",92 AVENUE,92 ROAD,Street,215 STREET,,,,,,,,
59456012,2023-09-29T16:16:47.000,2023-09-30T11:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11364,56-52 206 STREET,206 STREET,56 AVENUE,58 AVENUE,ADDRESS,OAKLAND GARDENS,Closed,,2023-09-30T11:15:00.000,11 QUEENS,4074340031,QUEENS,1047427,211999,ONLINE,Unspecified,QUEENS,40.74833916598248,-73.77198959857336,"{'latitude': '40.74833916598248', 'longitude': '-73.77198959857336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",56 AVENUE,58 AVENUE,Sewer,206 STREET,,,,,,,,
