unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,bbl,landmark,facility_type,taxi_pick_up_location,due_date,taxi_company_borough,bridge_highway_name,bridge_highway_segment
58816987,2023-09-14T12:26:05.000,2023-09-20T10:14:15.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11224,NEPTUNE AVENUE,NEPTUNE AVENUE,NEPTUNE AVENUE,WEST    8 STREET,NEPTUNE AVENUE,WEST    8 STREET,INTERSECTION,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-20T10:14:17.000,13 BROOKLYN,BROOKLYN,990858,150524,PHONE,Unspecified,BROOKLYN,40.579827193257636,-73.97621144490112,"{'latitude': '40.579827193257636', 'longitude': '-73.97621144490112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58815039,2023-09-14T12:26:00.000,2023-09-14T14:00:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11239,160 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ELMIRA LOOP,ELMIRA LOOP,,,ADDRESS,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T14:00:00.000,05 BROOKLYN,BROOKLYN,1017657,175651,PHONE,Unspecified,BROOKLYN,40.648735066784575,-73.87961179337388,"{'latitude': '40.648735066784575', 'longitude': '-73.87961179337388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3044520200,,,,,,,
58813887,2023-09-14T12:26:00.000,2023-09-15T12:10:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10458,,,,,EAST 184 STREET,TIEBOUT AVENUE,INTERSECTION,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-15T12:10:00.000,05 BRONX,BRONX,1012918,252024,ONLINE,Unspecified,BRONX,40.85837591960775,-73.89636400900667,"{'latitude': '40.85837591960775', 'longitude': '-73.89636400900667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,,,,,,
58817430,2023-09-14T12:25:55.000,2023-09-14T12:44:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10009,754 EAST    6 STREET,EAST    6 STREET,AVENUE C,AVENUE D,AVENUE C,AVENUE D,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:45:00.000,03 MANHATTAN,MANHATTAN,990424,202628,PHONE,Unspecified,MANHATTAN,40.722841610784144,-73.97772613358562,"{'latitude': '40.722841610784144', 'longitude': '-73.97772613358562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,1003757501,EAST    6 STREET,,,,,,
58818745,2023-09-14T12:25:40.000,2023-09-14T12:38:44.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,233 LANDING ROAD,LANDING ROAD,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:38:48.000,07 BRONX,BRONX,1008841,253488,ONLINE,Unspecified,BRONX,40.86240645467484,-73.91109714827905,"{'latitude': '40.86240645467484', 'longitude': '-73.91109714827905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2032367501,LANDING ROAD,,,,,,
58811697,2023-09-14T12:25:35.000,2023-09-14T13:31:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11201,120 NASSAU STREET,NASSAU STREET,JAY STREET,BRIDGE PLAZA COURT,JAY STREET,BRIDGE PLAZA COURT,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T13:31:14.000,02 BROOKLYN,BROOKLYN,987949,193754,MOBILE,Unspecified,BROOKLYN,40.69848596973355,-73.98666003690991,"{'latitude': '40.69848596973355', 'longitude': '-73.98666003690991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3001077501,NASSAU STREET,,,,,,
58814216,2023-09-14T12:25:09.000,2023-09-14T12:45:07.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10458,2845 BRIGGS AVENUE,BRIGGS AVENUE,EAST  198 STREET,EAST  199 STREET,EAST  198 STREET,EAST  199 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:45:12.000,07 BRONX,BRONX,1015005,255994,ONLINE,Unspecified,BRONX,40.86926533601374,-73.88880120806499,"{'latitude': '40.86926533601374', 'longitude': '-73.88880120806499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2033020072,BRIGGS AVENUE,,,,,,
58812233,2023-09-14T12:24:56.000,2023-11-21T15:25:00.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11214,7902 19 AVENUE,19 AVENUE,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-21T15:25:07.000,11 BROOKLYN,BROOKLYN,985238,161445,PHONE,Unspecified,BROOKLYN,40.60980554787128,-73.99644163947555,"{'latitude': '40.60980554787128', 'longitude': '-73.99644163947555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3062730031,19 AVENUE,,,,,,
58815074,2023-09-14T12:24:51.000,2023-09-14T17:52:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2784 EAST   12 STREET,EAST   12 STREET,LAWN COURT,GUIDER AVENUE,LAWN COURT,GUIDER AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T17:52:55.000,15 BROOKLYN,BROOKLYN,996125,151751,MOBILE,Unspecified,BROOKLYN,40.58318957450248,-73.95724828665979,"{'latitude': '40.58318957450248', 'longitude': '-73.95724828665979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3088107505,EAST   12 STREET,,,,,,
58819130,2023-09-14T12:24:34.000,2023-09-15T10:28:30.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11377,39-17 50 STREET,50 STREET,39 AVENUE,SKILLMAN AVENUE,39 AVENUE,SKILLMAN AVENUE,ADDRESS,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-15T10:28:35.000,02 QUEENS,QUEENS,1008119,211924,PHONE,Unspecified,QUEENS,40.748326777326454,-73.91385513729395,"{'latitude': '40.748326777326454', 'longitude': '-73.91385513729395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE,4001290028,50 STREET,,,,,,
