unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,taxi_company_borough,bridge_highway_name,bridge_highway_segment
58814385,2023-09-14T11:08:21.000,2023-09-24T18:40:29.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10065,4 EAST   64 STREET,EAST   64 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 MANHATTAN,1013780066,MANHATTAN,992445,218808,PHONE,Unspecified,MANHATTAN,40.76725001464452,-73.97041528194882,"{'latitude': '40.76725001464452', 'longitude': '-73.97041528194882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58816537,2023-09-14T11:08:21.000,2023-09-27T16:22:42.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10065,4 EAST   64 STREET,EAST   64 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,08 MANHATTAN,1013780066,MANHATTAN,992445,218808,PHONE,Unspecified,MANHATTAN,40.76725001464452,-73.97041528194882,"{'latitude': '40.76725001464452', 'longitude': '-73.97041528194882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58813256,2023-09-14T11:08:18.000,2023-09-19T17:35:18.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11201,82 PIERREPONT STREET,PIERREPONT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,02 BROOKLYN,3002420037,BROOKLYN,985840,192678,PHONE,Unspecified,BROOKLYN,40.69553323028122,-73.99426612547,"{'latitude': '40.69553323028122', 'longitude': '-73.99426612547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58815514,2023-09-14T11:08:18.000,2023-09-19T17:35:18.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11201,82 PIERREPONT STREET,PIERREPONT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,02 BROOKLYN,3002420037,BROOKLYN,985840,192678,PHONE,Unspecified,BROOKLYN,40.69553323028122,-73.99426612547,"{'latitude': '40.69553323028122', 'longitude': '-73.99426612547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58815094,2023-09-14T11:08:07.000,2023-09-14T14:24:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11205,90 RYERSON STREET,RYERSON STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T14:24:37.000,02 BROOKLYN,3018910055,BROOKLYN,993880,192454,ONLINE,Unspecified,BROOKLYN,40.694913305642466,-73.96527251589882,"{'latitude': '40.694913305642466', 'longitude': '-73.96527251589882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK AVENUE,MYRTLE AVENUE,PARK AVENUE,MYRTLE AVENUE,RYERSON STREET,,,,,,
58814829,2023-09-14T11:08:05.000,2023-09-18T11:00:13.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11208,533 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Sanitation removed the items.,2023-09-15T10:45:32.000,05 BROOKLYN,3041210057,BROOKLYN,1020465,189322,ONLINE,Unspecified,BROOKLYN,40.686247837749576,-73.86941922810422,"{'latitude': '40.686247837749576', 'longitude': '-73.86941922810422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINCOLN AVENUE,NICHOLS AVENUE,LINCOLN AVENUE,NICHOLS AVENUE,RIDGEWOOD AVENUE,,,,,,
58814132,2023-09-14T11:08:00.000,2023-09-27T09:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,10459,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T09:30:00.000,02 BRONX,,BRONX,1014160,239740,UNKNOWN,Unspecified,BRONX,40.82465583046518,-73.89192891903191,"{'latitude': '40.82465583046518', 'longitude': '-73.89192891903191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,SOUTHERN BOULEVARD,WESTCHESTER AVENUE,,N/A,,,,,
58816206,2023-09-14T11:08:00.000,2023-09-14T11:10:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11377,32-31 53 PLACE,53 PLACE,ADDRESS,WOODSIDE,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-14T11:10:00.000,01 QUEENS,4011550065,QUEENS,1009792,214165,PHONE,Unspecified,QUEENS,40.75447307814516,-73.90780865743935,"{'latitude': '40.75447307814516', 'longitude': '-73.90780865743935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32 AVE,BROADWAY,,,,,,,,,
58810629,2023-09-14T11:07:54.000,2023-09-14T11:42:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10013,125 HUDSON STREET,HUDSON STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T11:42:41.000,01 MANHATTAN,1001887503,MANHATTAN,981880,201667,MOBILE,Unspecified,MANHATTAN,40.72020573484705,-74.00854988259313,"{'latitude': '40.72020573484705', 'longitude': '-74.00854988259313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NORTH MOORE STREET,ERICSSON PLACE,NORTH MOORE STREET,ERICSSON PLACE,HUDSON STREET,,,,,,
58819440,2023-09-14T11:07:37.000,2023-09-14T18:34:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11385,58-01 69 AVENUE,69 AVENUE,ADDRESS,RIDGEWOOD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T18:34:41.000,05 QUEENS,4034740048,QUEENS,1011344,194801,ONLINE,Unspecified,QUEENS,40.70131903497039,-73.90228483562147,"{'latitude': '40.70131903497039', 'longitude': '-73.90228483562147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ONDERDONK AVENUE,FOREST AVENUE,ONDERDONK AVENUE,FOREST AVENUE,69 AVENUE,,,,,,
